date,AVGO stock
2016-05-04,7
2016-05-05,15
2016-05-06,15
2016-05-07,8
2016-05-08,0
2016-05-09,7
2016-05-10,14
2016-05-11,7
2016-05-12,7
2016-05-13,15
2016-05-14,0
2016-05-15,8
2016-05-16,7
2016-05-17,14
2016-05-18,7
2016-05-19,14
2016-05-20,15
2016-05-21,8
2016-05-22,8
2016-05-23,0
2016-05-24,14
2016-05-25,7
2016-05-26,22
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,15
2016-05-31,7
2016-06-01,29
2016-06-02,58
2016-06-03,97
2016-06-04,8
2016-06-05,0
2016-06-06,28
2016-06-07,0
2016-06-08,29
2016-06-09,7
2016-06-10,15
2016-06-11,17
2016-06-12,0
2016-06-13,29
2016-06-14,7
2016-06-15,21
2016-06-16,21
2016-06-17,7
2016-06-18,0
2016-06-19,0
2016-06-20,7
2016-06-21,36
2016-06-22,0
2016-06-23,29
2016-06-24,23
2016-06-25,43
2016-06-26,0
2016-06-27,14
2016-06-28,14
2016-06-29,22
2016-06-30,7
2016-07-01,23
2016-07-02,9
2016-07-03,0
2016-07-04,23
2016-07-05,23
2016-07-06,15
2016-07-07,8
2016-07-08,8
2016-07-09,9
2016-07-10,0
2016-07-11,8
2016-07-12,23
2016-07-13,0
2016-07-14,7
2016-07-15,0
2016-07-16,9
2016-07-17,0
2016-07-18,31
2016-07-19,15
2016-07-20,31
2016-07-21,23
2016-07-22,8
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,8
2016-07-27,23
2016-07-28,15
2016-07-29,24
2016-07-30,0
2016-07-31,0
2016-08-01,22
2016-08-02,23
2016-08-03,30
2016-08-04,15
2016-08-05,0
2016-08-06,18
2016-08-07,18
2016-08-08,38
2016-08-09,39
2016-08-10,8
2016-08-11,16
2016-08-12,25
2016-08-13,0
2016-08-14,0
2016-08-15,25
2016-08-16,24
2016-08-17,8
2016-08-18,49
2016-08-19,17
2016-08-20,37
2016-08-21,0
2016-08-22,0
2016-08-23,16
2016-08-24,39
2016-08-25,30
2016-08-26,16
2016-08-27,17
2016-08-28,9
2016-08-29,22
2016-08-30,44
2016-08-31,15
2016-09-01,81
2016-09-02,100
2016-09-03,9
2016-09-04,17
2016-09-05,15
2016-09-06,22
2016-09-07,45
2016-09-08,8
2016-09-09,47
2016-09-10,0
2016-09-11,0
2016-09-12,22
2016-09-13,29
2016-09-14,7
2016-09-15,7
2016-09-16,0
2016-09-17,8
2016-09-18,16
2016-09-19,22
2016-09-20,29
2016-09-21,7
2016-09-22,15
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,14
2016-09-27,0
2016-09-28,22
2016-09-29,15
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,14
2016-10-04,22
2016-10-05,14
2016-10-06,7
2016-10-07,15
2016-10-08,0
2016-10-09,8
2016-10-10,7
2016-10-11,7
2016-10-12,15
2016-10-13,0
2016-10-14,8
2016-10-15,8
2016-10-16,0
2016-10-17,7
2016-10-18,21
2016-10-19,14
2016-10-20,7
2016-10-21,15
2016-10-22,0
2016-10-23,0
2016-10-24,14
2016-10-25,21
2016-10-26,7
2016-10-27,15
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,29
2016-11-01,7
2016-11-02,7
2016-11-03,43
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,14
2016-11-09,39
2016-11-10,22
2016-11-11,22
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,7
2016-11-16,7
2016-11-17,21
2016-11-18,7
2016-11-19,0
2016-11-20,0
2016-11-21,14
2016-11-22,14
2016-11-23,14
2016-11-24,0
2016-11-25,0
2016-11-26,8
2016-11-27,0
2016-11-28,20
2016-11-29,0
2016-11-30,14
2016-12-01,49
2016-12-02,43
2016-12-03,0
2016-12-04,0
2016-12-05,25
2016-12-06,0
2016-12-07,7
2016-12-08,76
2016-12-09,79
2016-12-10,24
2016-12-11,8
2016-12-12,73
2016-12-13,27
2016-12-14,41
2016-12-15,28
2016-12-16,15
2016-12-17,24
2016-12-18,0
2016-12-19,21
2016-12-20,57
2016-12-21,44
2016-12-22,37
2016-12-23,8
2016-12-24,9
2016-12-25,0
2016-12-26,8
2016-12-27,15
2016-12-28,7
2016-12-29,0
2016-12-30,8
2016-12-31,17
2017-01-01,0
2017-01-02,7
2017-01-03,14
2017-01-04,7
2017-01-05,21
2017-01-06,21
2017-01-07,23
2017-01-08,8
2017-01-09,0
2017-01-10,20
2017-01-11,33
2017-01-12,7
2017-01-13,14
2017-01-14,0
2017-01-15,0
2017-01-16,13
2017-01-17,13
2017-01-18,26
2017-01-19,27
