date,PayPal,isPartial
2017-10-06,76,False
2017-10-07,68,False
2017-10-08,68,False
2017-10-09,78,False
2017-10-10,79,False
2017-10-11,79,False
2017-10-12,82,False
2017-10-13,76,False
2017-10-14,65,False
2017-10-15,66,False
2017-10-16,80,False
2017-10-17,77,False
2017-10-18,80,False
2017-10-19,78,False
2017-10-20,79,False
2017-10-21,66,False
2017-10-22,64,False
2017-10-23,78,False
2017-10-24,81,False
2017-10-25,78,False
2017-10-26,76,False
2017-10-27,74,False
2017-10-28,65,False
2017-10-29,63,False
2017-10-30,79,False
2017-10-31,78,False
2017-11-01,77,False
2017-11-02,80,False
2017-11-03,78,False
2017-11-04,71,False
2017-11-05,69,False
2017-11-06,83,False
2017-11-07,83,False
2017-11-08,84,False
2017-11-09,83,False
2017-11-10,83,False
2017-11-11,73,False
2017-11-12,72,False
2017-11-13,85,False
2017-11-14,85,False
2017-11-15,83,False
2017-11-16,78,False
2017-11-17,81,False
2017-11-18,70,False
2017-11-19,70,False
2017-11-20,85,False
2017-11-21,86,False
2017-11-22,84,False
2017-11-23,76,False
2017-11-24,94,False
2017-11-25,82,False
2017-11-26,80,False
2017-11-27,100,False
2017-11-28,96,False
2017-11-29,91,False
2017-11-30,88,False
2017-12-01,87,False
2017-12-02,76,False
2017-12-03,77,False
2017-12-04,94,False
2017-12-05,95,False
2017-12-06,91,False
2017-12-07,89,False
2017-12-08,86,False
2017-12-09,76,False
2017-12-10,76,False
2017-12-11,92,False
2017-12-12,91,False
2017-12-13,90,False
2017-12-14,90,False
2017-12-15,87,False
2017-12-16,76,False
2017-12-17,77,False
2017-12-18,90,False
2017-12-19,91,False
2017-12-20,89,False
2017-12-21,85,False
2017-12-22,82,False
2017-12-23,68,False
2017-12-24,55,False
2017-12-25,55,False
2017-12-26,70,False
2017-12-27,82,False
2017-12-28,84,False
2017-12-29,88,False
2017-12-30,73,False
2017-12-31,62,False
2018-01-01,64,False
2018-01-02,91,False
2018-01-03,92,False
2018-01-04,89,False
2018-01-05,86,False
2018-01-06,76,False
2018-01-07,70,False
2018-01-08,84,False
2018-01-09,84,False
2018-01-10,86,False
2018-01-11,82,False
2018-01-12,80,False
2018-01-13,72,False
2018-01-14,69,False
2018-01-15,84,False
2018-01-16,82,False
2018-01-17,80,False
2018-01-18,81,False
2018-01-19,80,False
2018-01-20,70,False
2018-01-21,67,False
