date,Intuit inc,isPartial
2015-04-10,57,False
2015-04-11,0,False
2015-04-12,0,False
2015-04-13,54,False
2015-04-14,27,False
2015-04-15,41,False
2015-04-16,27,False
2015-04-17,28,False
2015-04-18,32,False
2015-04-19,0,False
2015-04-20,27,False
2015-04-21,0,False
2015-04-22,0,False
2015-04-23,28,False
2015-04-24,28,False
2015-04-25,0,False
2015-04-26,0,False
2015-04-27,27,False
2015-04-28,27,False
2015-04-29,54,False
2015-04-30,28,False
2015-05-01,31,False
2015-05-02,32,False
2015-05-03,0,False
2015-05-04,41,False
2015-05-05,27,False
2015-05-06,27,False
2015-05-07,0,False
2015-05-08,0,False
2015-05-09,33,False
2015-05-10,33,False
2015-05-11,27,False
2015-05-12,0,False
2015-05-13,54,False
2015-05-14,0,False
2015-05-15,0,False
2015-05-16,0,False
2015-05-17,32,False
2015-05-18,0,False
2015-05-19,26,False
2015-05-20,27,False
2015-05-21,0,False
2015-05-22,57,False
2015-05-23,0,False
2015-05-24,33,False
2015-05-25,0,False
2015-05-26,0,False
2015-05-27,53,False
2015-05-28,27,False
2015-05-29,28,False
2015-05-30,0,False
2015-05-31,0,False
2015-06-01,0,False
2015-06-02,54,False
2015-06-03,54,False
2015-06-04,28,False
2015-06-05,0,False
2015-06-06,33,False
2015-06-07,0,False
2015-06-08,0,False
2015-06-09,27,False
2015-06-10,0,False
2015-06-11,28,False
2015-06-12,0,False
2015-06-13,0,False
2015-06-14,0,False
2015-06-15,53,False
2015-06-16,0,False
2015-06-17,27,False
2015-06-18,55,False
2015-06-19,29,False
2015-06-20,0,False
2015-06-21,32,False
2015-06-22,27,False
2015-06-23,54,False
2015-06-24,27,False
2015-06-25,27,False
2015-06-26,0,False
2015-06-27,0,False
2015-06-28,0,False
2015-06-29,27,False
2015-06-30,27,False
2015-07-01,27,False
2015-07-02,28,False
2015-07-03,0,False
2015-07-04,0,False
2015-07-05,0,False
2015-07-06,27,False
2015-07-07,27,False
2015-07-08,0,False
2015-07-09,0,False
2015-07-10,28,False
2015-07-11,0,False
2015-07-12,0,False
2015-07-13,54,False
2015-07-14,27,False
2015-07-15,27,False
2015-07-16,56,False
2015-07-17,29,False
2015-07-18,0,False
2015-07-19,35,False
2015-07-20,28,False
2015-07-21,27,False
2015-07-22,0,False
2015-07-23,27,False
2015-07-24,29,False
2015-07-25,0,False
2015-07-26,32,False
2015-07-27,0,False
2015-07-28,27,False
2015-07-29,27,False
2015-07-30,27,False
2015-07-31,0,False
2015-08-01,0,False
2015-08-02,0,False
2015-08-03,0,False
2015-08-04,27,False
2015-08-05,27,False
2015-08-06,28,False
2015-08-07,28,False
2015-08-08,32,False
2015-08-09,0,False
2015-08-10,27,False
2015-08-11,27,False
2015-08-12,27,False
2015-08-13,54,False
2015-08-14,28,False
2015-08-15,0,False
2015-08-16,0,False
2015-08-17,54,False
2015-08-18,67,False
2015-08-19,54,False
2015-08-20,27,False
2015-08-21,0,False
2015-08-22,0,False
2015-08-23,0,False
2015-08-24,39,False
2015-08-25,39,False
2015-08-26,26,False
