date,CHKP stock
2016-09-11,0
2016-09-12,23
2016-09-13,0
2016-09-14,0
2016-09-15,22
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,26
2016-09-25,0
2016-09-26,22
2016-09-27,0
2016-09-28,0
2016-09-29,22
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,22
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,22
2016-10-12,22
2016-10-13,0
2016-10-14,23
2016-10-15,25
2016-10-16,0
2016-10-17,21
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,25
2016-10-23,0
2016-10-24,0
2016-10-25,0
2016-10-26,21
2016-10-27,0
2016-10-28,23
2016-10-29,25
2016-10-30,0
2016-10-31,45
2016-11-01,22
2016-11-02,22
2016-11-03,0
2016-11-04,0
2016-11-05,25
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,21
2016-11-17,21
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,41
2016-12-01,0
2016-12-02,22
2016-12-03,0
2016-12-04,0
2016-12-05,19
2016-12-06,0
2016-12-07,40
2016-12-08,21
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,22
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,27
2016-12-26,23
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,26
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,21
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,20
2017-01-10,20
2017-01-11,0
2017-01-12,20
2017-01-13,0
2017-01-14,23
2017-01-15,0
2017-01-16,0
2017-01-17,40
2017-01-18,60
2017-01-19,100
2017-01-20,21
2017-01-21,23
2017-01-22,0
2017-01-23,20
2017-01-24,20
2017-01-25,80
2017-01-26,20
2017-01-27,0
2017-01-28,24
2017-01-29,0
2017-01-30,20
2017-01-31,0
2017-02-01,20
2017-02-02,20
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,20
2017-02-08,39
2017-02-09,20
2017-02-10,21
2017-02-11,23
2017-02-12,22
2017-02-13,0
2017-02-14,40
2017-02-15,0
2017-02-16,20
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,20
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,38
2017-02-28,39
2017-03-01,57
2017-03-02,0
2017-03-03,40
2017-03-04,22
2017-03-05,0
2017-03-06,19
2017-03-07,0
2017-03-08,0
2017-03-09,20
2017-03-10,21
2017-03-11,0
2017-03-12,0
2017-03-13,18
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,21
2017-03-18,0
2017-03-19,22
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,20
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,20
2017-03-29,0
2017-03-30,20
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,20
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,21
2017-04-14,23
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,20
2017-04-19,19
2017-04-20,0
2017-04-21,21
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,19
2017-04-26,0
2017-04-27,40
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,42
2017-05-02,20
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,19
2017-05-10,20
2017-05-11,0
2017-05-12,21
2017-05-13,0
2017-05-14,23
2017-05-15,42
2017-05-16,21
2017-05-17,21
2017-05-18,21
2017-05-19,0
2017-05-20,0
2017-05-21,24
2017-05-22,0
2017-05-23,0
2017-05-24,21
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
