date,CHKP stock
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,85
2018-02-17,47
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,40
2018-02-22,81
2018-02-23,84
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,79
2018-02-28,79
2018-03-01,39
2018-03-02,41
2018-03-03,46
2018-03-04,45
2018-03-05,39
2018-03-06,40
2018-03-07,0
2018-03-08,80
2018-03-09,63
2018-03-10,46
2018-03-11,0
2018-03-12,58
2018-03-13,59
2018-03-14,39
2018-03-15,80
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,40
2018-03-20,59
2018-03-21,40
2018-03-22,61
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,40
2018-03-27,41
2018-03-28,41
2018-03-29,43
2018-03-30,0
2018-03-31,48
2018-04-01,48
2018-04-02,43
2018-04-03,80
2018-04-04,100
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
