date,Western Digital,isPartial
2012-01-26,96,False
2012-01-27,79,False
2012-01-28,90,False
2012-01-29,97,False
2012-01-30,84,False
2012-01-31,96,False
2012-02-01,82,False
2012-02-02,87,False
2012-02-03,80,False
2012-02-04,81,False
2012-02-05,82,False
2012-02-06,80,False
2012-02-07,79,False
2012-02-08,76,False
2012-02-09,86,False
2012-02-10,82,False
2012-02-11,79,False
2012-02-12,81,False
2012-02-13,75,False
2012-02-14,81,False
2012-02-15,82,False
2012-02-16,72,False
2012-02-17,85,False
2012-02-18,74,False
2012-02-19,96,False
2012-02-20,76,False
2012-02-21,74,False
2012-02-22,95,False
2012-02-23,82,False
2012-02-24,77,False
2012-02-25,71,False
2012-02-26,87,False
2012-02-27,88,False
2012-02-28,87,False
2012-02-29,100,False
2012-03-01,90,False
2012-03-02,82,False
2012-03-03,72,False
2012-03-04,76,False
2012-03-05,81,False
2012-03-06,86,False
2012-03-07,74,False
2012-03-08,74,False
2012-03-09,86,False
2012-03-10,78,False
2012-03-11,84,False
2012-03-12,68,False
2012-03-13,79,False
2012-03-14,79,False
2012-03-15,76,False
2012-03-16,73,False
2012-03-17,78,False
2012-03-18,81,False
2012-03-19,81,False
2012-03-20,76,False
2012-03-21,85,False
2012-03-22,84,False
2012-03-23,74,False
2012-03-24,72,False
2012-03-25,67,False
2012-03-26,72,False
2012-03-27,70,False
2012-03-28,62,False
2012-03-29,75,False
2012-03-30,76,False
2012-03-31,80,False
2012-04-01,72,False
2012-04-02,72,False
2012-04-03,80,False
2012-04-04,73,False
2012-04-05,74,False
2012-04-06,74,False
2012-04-07,81,False
2012-04-08,63,False
2012-04-09,78,False
2012-04-10,72,False
2012-04-11,68,False
2012-04-12,79,False
2012-04-13,74,False
2012-04-14,64,False
2012-04-15,75,False
2012-04-16,72,False
2012-04-17,74,False
2012-04-18,74,False
2012-04-19,68,False
2012-04-20,61,False
2012-04-21,69,False
2012-04-22,64,False
2012-04-23,77,False
2012-04-24,79,False
2012-04-25,69,False
2012-04-26,71,False
2012-04-27,68,False
2012-04-28,78,False
2012-04-29,73,False
2012-04-30,87,False
2012-05-01,65,False
2012-05-02,74,False
2012-05-03,63,False
2012-05-04,66,False
2012-05-05,78,False
2012-05-06,77,False
2012-05-07,78,False
2012-05-08,74,False
2012-05-09,82,False
2012-05-10,69,False
2012-05-11,60,False
2012-05-12,64,False
2012-05-13,64,False
2012-05-14,64,False
2012-05-15,65,False
2012-05-16,73,False
2012-05-17,67,False
2012-05-18,69,False
2012-05-19,75,False
2012-05-20,68,False
2012-05-21,69,False
2012-05-22,76,False
2012-05-23,78,False
2012-05-24,75,False
2012-05-25,74,False
2012-05-26,58,False
2012-05-27,61,False
2012-05-28,65,False
2012-05-29,68,False
2012-05-30,74,False
2012-05-31,71,False
2012-06-01,67,False
2012-06-02,60,False
2012-06-03,64,False
2012-06-04,74,False
2012-06-05,68,False
2012-06-06,69,False
2012-06-07,75,False
2012-06-08,71,False
2012-06-09,68,False
2012-06-10,65,False
2012-06-11,67,False
2012-06-12,83,False
2012-06-13,67,False
2012-06-14,81,False
2012-06-15,72,False
2012-06-16,76,False
2012-06-17,67,False
2012-06-18,74,False
2012-06-19,71,False
2012-06-20,78,False
2012-06-21,72,False
2012-06-22,66,False
2012-06-23,70,False
2012-06-24,78,False
2012-06-25,74,False
2012-06-26,80,False
2012-06-27,63,False
2012-06-28,66,False
2012-06-29,75,False
2012-06-30,72,False
2012-07-01,65,False
2012-07-02,70,False
2012-07-03,66,False
2012-07-04,65,False
2012-07-05,66,False
2012-07-06,72,False
2012-07-07,72,False
2012-07-08,67,False
2012-07-09,73,False
2012-07-10,73,False
2012-07-11,78,False
2012-07-12,83,False
2012-07-13,72,False
2012-07-14,81,False
2012-07-15,79,False
2012-07-16,87,False
2012-07-17,68,False
2012-07-18,90,False
2012-07-19,80,False
2012-07-20,74,False
2012-07-21,82,False
2012-07-22,79,False
2012-07-23,78,False
2012-07-24,67,False
2012-07-25,75,False
2012-07-26,87,False
2012-07-27,73,False
2012-07-28,62,False
2012-07-29,71,False
2012-07-30,71,False
2012-07-31,77,False
2012-08-01,73,False
2012-08-02,75,False
2012-08-03,76,False
2012-08-04,81,False
2012-08-05,70,False
2012-08-06,95,False
2012-08-07,77,False
2012-08-08,70,False
2012-08-09,72,False
2012-08-10,67,False
2012-08-11,73,False
2012-08-12,76,False
2012-08-13,75,False
2012-08-14,81,False
2012-08-15,75,False
2012-08-16,66,False
2012-08-17,68,False
2012-08-18,77,False
2012-08-19,72,False
2012-08-20,73,False
2012-08-21,71,False
2012-08-22,76,False
2012-08-23,74,False
2012-08-24,86,False
2012-08-25,73,False
2012-08-26,80,False
2012-08-27,82,False
2012-08-28,92,False
2012-08-29,72,False
2012-08-30,85,False
2012-08-31,78,False
2012-09-01,70,False
2012-09-02,71,False
2012-09-03,81,False
2012-09-04,74,False
2012-09-05,75,False
2012-09-06,59,False
2012-09-07,77,False
2012-09-08,69,False
2012-09-09,71,False
2012-09-10,70,False
2012-09-11,75,False
2012-09-12,64,False
2012-09-13,75,False
2012-09-14,72,False
2012-09-15,73,False
2012-09-16,73,False
2012-09-17,76,False
2012-09-18,87,False
2012-09-19,72,False
2012-09-20,76,False
2012-09-21,71,False
2012-09-22,65,False
2012-09-23,67,False
2012-09-24,79,False
2012-09-25,81,False
2012-09-26,74,False
