date,Western Digital,isPartial
2018-02-13,75,False
2018-02-14,79,False
2018-02-15,64,False
2018-02-16,76,False
2018-02-17,69,False
2018-02-18,61,False
2018-02-19,80,False
2018-02-20,70,False
2018-02-21,74,False
2018-02-22,74,False
2018-02-23,81,False
2018-02-24,60,False
2018-02-25,65,False
2018-02-26,64,False
2018-02-27,76,False
2018-02-28,80,False
2018-03-01,69,False
2018-03-02,81,False
2018-03-03,68,False
2018-03-04,67,False
2018-03-05,71,False
2018-03-06,74,False
2018-03-07,91,False
2018-03-08,81,False
2018-03-09,74,False
2018-03-10,55,False
2018-03-11,57,False
2018-03-12,59,False
2018-03-13,72,False
2018-03-14,78,False
2018-03-15,56,False
2018-03-16,87,False
2018-03-17,87,False
2018-03-18,67,False
2018-03-19,68,False
2018-03-20,100,False
2018-03-21,80,False
2018-03-22,78,False
2018-03-23,70,False
2018-03-24,54,False
2018-03-25,56,False
2018-03-26,77,False
2018-03-27,80,False
2018-03-28,87,False
2018-03-29,70,False
2018-03-30,66,False
2018-03-31,49,False
2018-04-01,54,False
2018-04-02,62,False
2018-04-03,69,False
2018-04-04,68,False
2018-04-05,89,False
2018-04-06,73,False
2018-04-07,68,False
2018-04-08,53,False
2018-04-09,67,False
2018-04-10,78,False
2018-04-11,81,False
2018-04-12,74,False
2018-04-13,61,False
2018-04-14,51,False
2018-04-15,55,False
2018-04-16,65,False
2018-04-17,77,False
2018-04-18,65,False
2018-04-19,69,False
2018-04-20,80,False
2018-04-21,48,False
2018-04-22,48,False
2018-04-23,67,False
2018-04-24,62,False
2018-04-25,67,False
2018-04-26,74,False
2018-04-27,64,False
2018-04-28,56,False
2018-04-29,55,False
2018-04-30,63,False
2018-05-01,67,False
2018-05-02,81,False
2018-05-03,56,False
2018-05-04,71,False
2018-05-05,68,False
2018-05-06,49,False
2018-05-07,66,False
2018-05-08,72,False
2018-05-09,71,False
2018-05-10,73,False
2018-05-11,61,False
2018-05-12,54,False
2018-05-13,54,False
2018-05-14,63,False
2018-05-15,74,False
2018-05-16,70,False
2018-05-17,75,False
2018-05-18,55,False
2018-05-19,49,False
2018-05-20,68,False
2018-05-21,71,False
2018-05-22,71,False
2018-05-23,67,False
2018-05-24,79,False
2018-05-25,51,False
2018-05-26,55,False
2018-05-27,55,False
2018-05-28,56,False
2018-05-29,65,False
2018-05-30,77,False
2018-05-31,65,False
2018-06-01,72,False
2018-06-02,51,False
2018-06-03,64,False
2018-06-04,68,False
2018-06-05,79,False
2018-06-06,54,False
2018-06-07,70,False
2018-06-08,60,False
2018-06-09,61,False
2018-06-10,49,False
2018-06-11,58,False
2018-06-12,70,False
2018-06-13,72,False
2018-06-14,61,False
2018-06-15,71,False
2018-06-16,56,False
2018-06-17,60,False
2018-06-18,57,False
2018-06-19,66,False
2018-06-20,67,False
2018-06-21,59,False
2018-06-22,64,False
2018-06-23,61,False
2018-06-24,47,False
2018-06-25,74,False
2018-06-26,82,False
2018-06-27,71,False
2018-06-28,57,False
2018-06-29,65,False
