date,Western Digital,isPartial
2014-12-01,100,False
2014-12-02,84,False
2014-12-03,88,False
2014-12-04,74,False
2014-12-05,88,False
2014-12-06,77,False
2014-12-07,77,False
2014-12-08,79,False
2014-12-09,80,False
2014-12-10,76,False
2014-12-11,82,False
2014-12-12,80,False
2014-12-13,84,False
2014-12-14,82,False
2014-12-15,83,False
2014-12-16,82,False
2014-12-17,81,False
2014-12-18,83,False
2014-12-19,85,False
2014-12-20,81,False
2014-12-21,86,False
2014-12-22,85,False
2014-12-23,83,False
2014-12-24,70,False
2014-12-25,86,False
2014-12-26,85,False
2014-12-27,91,False
2014-12-28,87,False
2014-12-29,94,False
2014-12-30,90,False
2014-12-31,74,False
2015-01-01,77,False
2015-01-02,91,False
2015-01-03,95,False
2015-01-04,90,False
2015-01-05,91,False
2015-01-06,80,False
2015-01-07,94,False
2015-01-08,82,False
2015-01-09,83,False
2015-01-10,84,False
2015-01-11,73,False
2015-01-12,75,False
2015-01-13,77,False
2015-01-14,74,False
2015-01-15,83,False
2015-01-16,75,False
2015-01-17,72,False
2015-01-18,78,False
2015-01-19,74,False
2015-01-20,79,False
2015-01-21,75,False
2015-01-22,80,False
2015-01-23,82,False
2015-01-24,66,False
2015-01-25,69,False
2015-01-26,77,False
2015-01-27,73,False
2015-01-28,75,False
2015-01-29,71,False
2015-01-30,72,False
2015-01-31,80,False
2015-02-01,73,False
2015-02-02,73,False
2015-02-03,74,False
2015-02-04,65,False
2015-02-05,65,False
2015-02-06,76,False
2015-02-07,78,False
2015-02-08,65,False
2015-02-09,74,False
2015-02-10,68,False
2015-02-11,66,False
2015-02-12,71,False
2015-02-13,69,False
2015-02-14,64,False
2015-02-15,63,False
2015-02-16,70,False
2015-02-17,74,False
2015-02-18,80,False
2015-02-19,71,False
2015-02-20,66,False
2015-02-21,70,False
2015-02-22,57,False
2015-02-23,73,False
2015-02-24,71,False
2015-02-25,69,False
2015-02-26,74,False
2015-02-27,65,False
2015-02-28,60,False
2015-03-01,66,False
2015-03-02,66,False
2015-03-03,67,False
2015-03-04,68,False
2015-03-05,75,False
2015-03-06,64,False
2015-03-07,67,False
2015-03-08,67,False
2015-03-09,65,False
2015-03-10,61,False
2015-03-11,68,False
2015-03-12,61,False
2015-03-13,59,False
2015-03-14,68,False
2015-03-15,72,False
2015-03-16,67,False
2015-03-17,72,False
2015-03-18,76,False
2015-03-19,66,False
2015-03-20,54,False
2015-03-21,62,False
2015-03-22,62,False
2015-03-23,73,False
2015-03-24,66,False
2015-03-25,65,False
2015-03-26,66,False
2015-03-27,59,False
2015-03-28,59,False
2015-03-29,59,False
2015-03-30,73,False
2015-03-31,71,False
2015-04-01,66,False
2015-04-02,61,False
2015-04-03,66,False
2015-04-04,67,False
2015-04-05,52,False
2015-04-06,63,False
2015-04-07,64,False
2015-04-08,63,False
2015-04-09,64,False
2015-04-10,62,False
2015-04-11,62,False
2015-04-12,56,False
2015-04-13,70,False
2015-04-14,61,False
2015-04-15,64,False
2015-04-16,66,False
