date,Alexion,isPartial
2017-10-06,34,False
2017-10-07,17,False
2017-10-08,4,False
2017-10-09,29,False
2017-10-10,67,False
2017-10-11,73,False
2017-10-12,15,False
2017-10-13,34,False
2017-10-14,8,False
2017-10-15,8,False
2017-10-16,54,False
2017-10-17,47,False
2017-10-18,69,False
2017-10-19,44,False
2017-10-20,53,False
2017-10-21,0,False
2017-10-22,8,False
2017-10-23,71,False
2017-10-24,82,False
2017-10-25,28,False
2017-10-26,80,False
2017-10-27,60,False
2017-10-28,17,False
2017-10-29,16,False
2017-10-30,47,False
2017-10-31,58,False
2017-11-01,44,False
2017-11-02,26,False
2017-11-03,47,False
2017-11-04,0,False
2017-11-05,12,False
2017-11-06,38,False
2017-11-07,63,False
2017-11-08,29,False
2017-11-09,36,False
2017-11-10,15,False
2017-11-11,4,False
2017-11-12,20,False
2017-11-13,18,False
2017-11-14,38,False
2017-11-15,60,False
2017-11-16,49,False
2017-11-17,18,False
2017-11-18,4,False
2017-11-19,16,False
2017-11-20,17,False
2017-11-21,39,False
2017-11-22,53,False
2017-11-23,22,False
2017-11-24,26,False
2017-11-25,16,False
2017-11-26,12,False
2017-11-27,48,False
2017-11-28,48,False
2017-11-29,42,False
2017-11-30,21,False
2017-12-01,26,False
2017-12-02,20,False
2017-12-03,16,False
2017-12-04,55,False
2017-12-05,31,False
2017-12-06,38,False
2017-12-07,35,False
2017-12-08,100,False
2017-12-09,41,False
2017-12-10,12,False
2017-12-11,56,False
2017-12-12,41,False
2017-12-13,25,False
2017-12-14,36,False
2017-12-15,30,False
2017-12-16,29,False
2017-12-17,12,False
2017-12-18,21,False
2017-12-19,25,False
2017-12-20,33,False
2017-12-21,31,False
2017-12-22,8,False
2017-12-23,17,False
2017-12-24,0,False
2017-12-25,32,False
2017-12-26,16,False
2017-12-27,23,False
2017-12-28,30,False
2017-12-29,8,False
2017-12-30,21,False
2017-12-31,9,False
2018-01-01,0,False
2018-01-02,29,False
2018-01-03,63,False
2018-01-04,39,False
2018-01-05,33,False
2018-01-06,16,False
2018-01-07,12,False
2018-01-08,38,False
2018-01-09,41,False
2018-01-10,42,False
2018-01-11,42,False
2018-01-12,36,False
2018-01-13,16,False
2018-01-14,16,False
2018-01-15,31,False
2018-01-16,41,False
2018-01-17,54,False
2018-01-18,44,False
2018-01-19,36,False
2018-01-20,31,False
2018-01-21,19,False
2018-01-22,34,False
2018-01-23,44,False
2018-01-24,41,False
2018-01-25,34,False
2018-01-26,71,False
2018-01-27,20,False
2018-01-28,27,False
2018-01-29,37,False
2018-01-30,34,False
2018-01-31,41,False
2018-02-01,34,False
2018-02-02,39,False
2018-02-03,8,False
2018-02-04,12,False
2018-02-05,47,False
2018-02-06,23,False
2018-02-07,57,False
2018-02-08,62,False
2018-02-09,21,False
2018-02-10,31,False
2018-02-11,8,False
2018-02-12,59,False
2018-02-13,45,False
2018-02-14,45,False
2018-02-15,55,False
2018-02-16,39,False
2018-02-17,12,False
2018-02-18,16,False
2018-02-19,37,False
2018-02-20,50,False
2018-02-21,64,False
2018-02-22,44,False
2018-02-23,36,False
2018-02-24,16,False
2018-02-25,11,False
2018-02-26,27,False
2018-02-27,26,False
2018-02-28,40,False
2018-03-01,40,False
2018-03-02,11,False
2018-03-03,27,False
2018-03-04,0,False
2018-03-05,39,False
2018-03-06,37,False
2018-03-07,20,False
2018-03-08,37,False
2018-03-09,56,False
2018-03-10,15,False
2018-03-11,4,False
2018-03-12,53,False
2018-03-13,23,False
2018-03-14,37,False
2018-03-15,37,False
2018-03-16,38,False
2018-03-17,8,False
