date,Alexion,isPartial
2014-03-16,10,False
2014-03-17,37,False
2014-03-18,40,False
2014-03-19,18,False
2014-03-20,46,False
2014-03-21,19,False
2014-03-22,5,False
2014-03-23,15,False
2014-03-24,36,False
2014-03-25,49,False
2014-03-26,58,False
2014-03-27,55,False
2014-03-28,53,False
2014-03-29,16,False
2014-03-30,21,False
2014-03-31,40,False
2014-04-01,58,False
2014-04-02,32,False
2014-04-03,100,False
2014-04-04,71,False
2014-04-05,27,False
2014-04-06,11,False
2014-04-07,72,False
2014-04-08,54,False
2014-04-09,46,False
2014-04-10,74,False
2014-04-11,39,False
2014-04-12,28,False
2014-04-13,11,False
2014-04-14,55,False
2014-04-15,32,False
2014-04-16,33,False
2014-04-17,20,False
2014-04-18,31,False
2014-04-19,6,False
2014-04-20,12,False
2014-04-21,29,False
2014-04-22,68,False
2014-04-23,41,False
2014-04-24,55,False
2014-04-25,38,False
2014-04-26,0,False
2014-04-27,16,False
2014-04-28,36,False
2014-04-29,45,False
2014-04-30,41,False
2014-05-01,25,False
2014-05-02,49,False
2014-05-03,16,False
2014-05-04,5,False
2014-05-05,60,False
2014-05-06,45,False
2014-05-07,45,False
2014-05-08,45,False
2014-05-09,23,False
2014-05-10,21,False
2014-05-11,11,False
2014-05-12,53,False
2014-05-13,49,False
2014-05-14,50,False
2014-05-15,55,False
2014-05-16,52,False
2014-05-17,6,False
2014-05-18,11,False
2014-05-19,50,False
2014-05-20,36,False
2014-05-21,65,False
2014-05-22,30,False
2014-05-23,57,False
2014-05-24,12,False
2014-05-25,18,False
2014-05-26,20,False
2014-05-27,38,False
2014-05-28,60,False
2014-05-29,36,False
2014-05-30,74,False
2014-05-31,12,False
2014-06-01,30,False
2014-06-02,60,False
2014-06-03,44,False
2014-06-04,64,False
2014-06-05,25,False
2014-06-06,38,False
2014-06-07,6,False
2014-06-08,6,False
2014-06-09,41,False
2014-06-10,31,False
2014-06-11,35,False
2014-06-12,41,False
2014-06-13,32,False
2014-06-14,6,False
2014-06-15,12,False
2014-06-16,30,False
2014-06-17,50,False
2014-06-18,41,False
2014-06-19,47,False
2014-06-20,54,False
2014-06-21,19,False
2014-06-22,12,False
2014-06-23,50,False
2014-06-24,30,False
2014-06-25,45,False
2014-06-26,31,False
2014-06-27,27,False
2014-06-28,25,False
2014-06-29,0,False
2014-06-30,41,False
2014-07-01,40,False
2014-07-02,15,False
2014-07-03,47,False
2014-07-04,39,False
2014-07-05,6,False
2014-07-06,25,False
2014-07-07,20,False
2014-07-08,35,False
2014-07-09,46,False
2014-07-10,46,False
2014-07-11,43,False
2014-07-12,6,False
2014-07-13,12,False
2014-07-14,51,False
2014-07-15,50,False
2014-07-16,37,False
2014-07-17,42,False
2014-07-18,32,False
2014-07-19,19,False
2014-07-20,6,False
2014-07-21,25,False
2014-07-22,51,False
2014-07-23,47,False
2014-07-24,83,False
2014-07-25,49,False
