date,Hologic,isPartial
2013-11-06,34,False
2013-11-07,36,False
2013-11-08,42,False
2013-11-09,24,False
2013-11-10,6,False
2013-11-11,40,False
2013-11-12,100,False
2013-11-13,61,False
2013-11-14,41,False
2013-11-15,32,False
2013-11-16,30,False
2013-11-17,0,False
2013-11-18,24,False
2013-11-19,54,False
2013-11-20,49,False
2013-11-21,80,False
2013-11-22,77,False
2013-11-23,18,False
2013-11-24,6,False
2013-11-25,24,False
2013-11-26,29,False
2013-11-27,15,False
2013-11-28,32,False
2013-11-29,16,False
2013-11-30,12,False
2013-12-01,39,False
2013-12-02,43,False
2013-12-03,53,False
2013-12-04,54,False
2013-12-05,30,False
2013-12-06,41,False
2013-12-07,24,False
2013-12-08,17,False
2013-12-09,83,False
2013-12-10,68,False
2013-12-11,70,False
2013-12-12,81,False
2013-12-13,16,False
2013-12-14,18,False
2013-12-15,0,False
2013-12-16,50,False
2013-12-17,46,False
2013-12-18,51,False
2013-12-19,26,False
2013-12-20,28,False
2013-12-21,0,False
2013-12-22,6,False
2013-12-23,17,False
2013-12-24,6,False
2013-12-25,0,False
2013-12-26,11,False
2013-12-27,39,False
2013-12-28,6,False
2013-12-29,12,False
2013-12-30,43,False
2013-12-31,6,False
2014-01-01,0,False
2014-01-02,41,False
2014-01-03,31,False
2014-01-04,28,False
2014-01-05,11,False
2014-01-06,35,False
2014-01-07,73,False
2014-01-08,43,False
2014-01-09,64,False
2014-01-10,50,False
2014-01-11,17,False
2014-01-12,17,False
2014-01-13,57,False
2014-01-14,39,False
2014-01-15,19,False
2014-01-16,34,False
2014-01-17,35,False
2014-01-18,23,False
2014-01-19,0,False
2014-01-20,28,False
2014-01-21,42,False
2014-01-22,47,False
2014-01-23,86,False
2014-01-24,40,False
2014-01-25,11,False
2014-01-26,6,False
2014-01-27,38,False
2014-01-28,42,False
2014-01-29,28,False
2014-01-30,44,False
2014-01-31,55,False
2014-02-01,28,False
2014-02-02,11,False
2014-02-03,47,False
2014-02-04,61,False
2014-02-05,24,False
2014-02-06,66,False
2014-02-07,37,False
2014-02-08,5,False
2014-02-09,5,False
2014-02-10,28,False
2014-02-11,28,False
2014-02-12,19,False
2014-02-13,28,False
2014-02-14,44,False
2014-02-15,17,False
2014-02-16,0,False
2014-02-17,19,False
2014-02-18,9,False
2014-02-19,33,False
2014-02-20,33,False
2014-02-21,40,False
2014-02-22,27,False
2014-02-23,11,False
2014-02-24,28,False
2014-02-25,52,False
2014-02-26,46,False
2014-02-27,28,False
2014-02-28,35,False
2014-03-01,33,False
2014-03-02,17,False
2014-03-03,71,False
2014-03-04,48,False
2014-03-05,43,False
2014-03-06,43,False
2014-03-07,40,False
2014-03-08,11,False
2014-03-09,6,False
2014-03-10,53,False
2014-03-11,47,False
2014-03-12,38,False
2014-03-13,43,False
2014-03-14,10,False
2014-03-15,33,False
2014-03-16,11,False
2014-03-17,24,False
2014-03-18,28,False
2014-03-19,43,False
2014-03-20,10,False
2014-03-21,35,False
2014-03-22,11,False
2014-03-23,16,False
2014-03-24,56,False
2014-03-25,70,False
2014-03-26,47,False
2014-03-27,14,False
2014-03-28,15,False
2014-03-29,0,False
2014-03-30,22,False
2014-03-31,19,False
2014-04-01,23,False
2014-04-02,28,False
2014-04-03,47,False
2014-04-04,24,False
2014-04-05,6,False
2014-04-06,6,False
2014-04-07,46,False
2014-04-08,42,False
