date,Hologic,isPartial
2016-05-04,57,False
2016-05-05,27,False
2016-05-06,49,False
2016-05-07,6,False
2016-05-08,24,False
2016-05-09,58,False
2016-05-10,41,False
2016-05-11,66,False
2016-05-12,41,False
2016-05-13,38,False
2016-05-14,12,False
2016-05-15,18,False
2016-05-16,36,False
2016-05-17,46,False
2016-05-18,46,False
2016-05-19,63,False
2016-05-20,60,False
2016-05-21,6,False
2016-05-22,36,False
2016-05-23,41,False
2016-05-24,57,False
2016-05-25,26,False
2016-05-26,16,False
2016-05-27,73,False
2016-05-28,6,False
2016-05-29,12,False
2016-05-30,48,False
2016-05-31,31,False
2016-06-01,69,False
2016-06-02,47,False
2016-06-03,44,False
2016-06-04,6,False
2016-06-05,12,False
2016-06-06,31,False
2016-06-07,36,False
2016-06-08,37,False
2016-06-09,43,False
2016-06-10,93,False
2016-06-11,12,False
2016-06-12,6,False
2016-06-13,57,False
2016-06-14,36,False
2016-06-15,52,False
2016-06-16,26,False
2016-06-17,44,False
2016-06-18,12,False
2016-06-19,12,False
2016-06-20,31,False
2016-06-21,63,False
2016-06-22,69,False
2016-06-23,48,False
2016-06-24,39,False
2016-06-25,25,False
2016-06-26,12,False
2016-06-27,37,False
2016-06-28,32,False
2016-06-29,48,False
2016-06-30,76,False
2016-07-01,34,False
2016-07-02,6,False
2016-07-03,13,False
2016-07-04,11,False
2016-07-05,34,False
2016-07-06,28,False
2016-07-07,46,False
2016-07-08,70,False
2016-07-09,0,False
2016-07-10,0,False
2016-07-11,44,False
2016-07-12,55,False
2016-07-13,39,False
2016-07-14,43,False
2016-07-15,23,False
2016-07-16,0,False
2016-07-17,19,False
2016-07-18,39,False
2016-07-19,78,False
2016-07-20,51,False
2016-07-21,40,False
2016-07-22,58,False
2016-07-23,7,False
2016-07-24,19,False
2016-07-25,61,False
2016-07-26,56,False
2016-07-27,61,False
2016-07-28,44,False
2016-07-29,46,False
2016-07-30,13,False
2016-07-31,19,False
2016-08-01,28,False
2016-08-02,55,False
2016-08-03,56,False
2016-08-04,51,False
2016-08-05,54,False
2016-08-06,20,False
2016-08-07,7,False
2016-08-08,34,False
2016-08-09,34,False
2016-08-10,29,False
2016-08-11,12,False
2016-08-12,42,False
2016-08-13,0,False
2016-08-14,27,False
2016-08-15,54,False
2016-08-16,35,False
2016-08-17,64,False
2016-08-18,30,False
2016-08-19,30,False
2016-08-20,14,False
2016-08-21,14,False
2016-08-22,46,False
2016-08-23,52,False
2016-08-24,68,False
2016-08-25,49,False
2016-08-26,52,False
2016-08-27,6,False
2016-08-28,13,False
2016-08-29,60,False
2016-08-30,54,False
2016-08-31,38,False
2016-09-01,22,False
2016-09-02,23,False
2016-09-03,13,False
2016-09-04,19,False
2016-09-05,27,False
2016-09-06,59,False
2016-09-07,50,False
2016-09-08,67,False
2016-09-09,51,False
2016-09-10,13,False
2016-09-11,0,False
2016-09-12,66,False
2016-09-13,43,False
2016-09-14,49,False
2016-09-15,43,False
2016-09-16,22,False
2016-09-17,18,False
2016-09-18,30,False
2016-09-19,37,False
2016-09-20,47,False
2016-09-21,26,False
2016-09-22,44,False
2016-09-23,56,False
2016-09-24,6,False
2016-09-25,6,False
2016-09-26,32,False
2016-09-27,84,False
2016-09-28,48,False
2016-09-29,32,False
2016-09-30,67,False
2016-10-01,6,False
2016-10-02,0,False
2016-10-03,63,False
2016-10-04,58,False
2016-10-05,42,False
2016-10-06,58,False
2016-10-07,50,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,42,False
2016-10-11,26,False
2016-10-12,27,False
2016-10-13,47,False
2016-10-14,66,False
2016-10-15,31,False
2016-10-16,6,False
2016-10-17,41,False
2016-10-18,52,False
2016-10-19,21,False
2016-10-20,68,False
2016-10-21,33,False
2016-10-22,18,False
2016-10-23,24,False
2016-10-24,31,False
2016-10-25,62,False
2016-10-26,52,False
2016-10-27,59,False
2016-10-28,56,False
2016-10-29,12,False
2016-10-30,6,False
2016-10-31,38,False
2016-11-01,32,False
2016-11-02,47,False
2016-11-03,52,False
2016-11-04,38,False
2016-11-05,12,False
2016-11-06,6,False
2016-11-07,51,False
2016-11-08,46,False
2016-11-09,47,False
2016-11-10,53,False
2016-11-11,27,False
2016-11-12,24,False
2016-11-13,12,False
2016-11-14,21,False
2016-11-15,57,False
2016-11-16,63,False
2016-11-17,52,False
2016-11-18,33,False
2016-11-19,18,False
2016-11-20,12,False
2016-11-21,41,False
2016-11-22,67,False
2016-11-23,73,False
2016-11-24,37,False
2016-11-25,16,False
2016-11-26,17,False
2016-11-27,0,False
2016-11-28,44,False
2016-11-29,25,False
2016-11-30,55,False
2016-12-01,41,False
2016-12-02,26,False
2016-12-03,23,False
2016-12-04,11,False
2016-12-05,23,False
2016-12-06,58,False
2016-12-07,44,False
2016-12-08,71,False
2016-12-09,21,False
2016-12-10,6,False
2016-12-11,11,False
2016-12-12,34,False
2016-12-13,20,False
2016-12-14,100,False
2016-12-15,97,False
2016-12-16,54,False
2016-12-17,6,False
2016-12-18,6,False
2016-12-19,36,False
2016-12-20,47,False
2016-12-21,48,False
2016-12-22,66,False
2016-12-23,17,False
2016-12-24,19,False
2016-12-25,0,False
2016-12-26,6,False
2016-12-27,27,False
2016-12-28,48,False
2016-12-29,27,False
2016-12-30,17,False
2016-12-31,25,False
2017-01-01,13,False
2017-01-02,27,False
2017-01-03,46,False
2017-01-04,45,False
2017-01-05,36,False
2017-01-06,63,False
2017-01-07,11,False
2017-01-08,11,False
2017-01-09,44,False
2017-01-10,54,False
2017-01-11,72,False
2017-01-12,45,False
2017-01-13,61,False
2017-01-14,0,False
2017-01-15,6,False
2017-01-16,20,False
2017-01-17,48,False
2017-01-18,67,False
2017-01-19,54,False
