date,Intuitive Surgical,isPartial
2014-12-01,8,False
2014-12-02,51,False
2014-12-03,26,False
2014-12-04,35,False
2014-12-05,45,False
2014-12-06,41,False
2014-12-07,31,False
2014-12-08,35,False
2014-12-09,51,False
2014-12-10,35,False
2014-12-11,26,False
2014-12-12,37,False
2014-12-13,21,False
2014-12-14,31,False
2014-12-15,9,False
2014-12-16,35,False
2014-12-17,72,False
2014-12-18,37,False
2014-12-19,10,False
2014-12-20,11,False
2014-12-21,43,False
2014-12-22,19,False
2014-12-23,39,False
2014-12-24,32,False
2014-12-25,0,False
2014-12-26,10,False
2014-12-27,21,False
2014-12-28,11,False
2014-12-29,37,False
2014-12-30,9,False
2014-12-31,11,False
2015-01-01,0,False
2015-01-02,10,False
2015-01-03,20,False
2015-01-04,20,False
2015-01-05,9,False
2015-01-06,35,False
2015-01-07,51,False
2015-01-08,34,False
2015-01-09,18,False
2015-01-10,29,False
2015-01-11,10,False
2015-01-12,50,False
2015-01-13,49,False
2015-01-14,25,False
2015-01-15,34,False
2015-01-16,26,False
2015-01-17,10,False
2015-01-18,10,False
2015-01-19,8,False
2015-01-20,58,False
2015-01-21,25,False
2015-01-22,51,False
2015-01-23,43,False
2015-01-24,10,False
2015-01-25,0,False
2015-01-26,33,False
2015-01-27,74,False
2015-01-28,17,False
2015-01-29,58,False
2015-01-30,42,False
2015-01-31,58,False
2015-02-01,19,False
2015-02-02,24,False
2015-02-03,16,False
2015-02-04,25,False
2015-02-05,66,False
2015-02-06,52,False
2015-02-07,10,False
2015-02-08,19,False
2015-02-09,33,False
2015-02-10,33,False
2015-02-11,41,False
2015-02-12,42,False
2015-02-13,52,False
2015-02-14,20,False
2015-02-15,10,False
2015-02-16,9,False
2015-02-17,26,False
2015-02-18,34,False
2015-02-19,67,False
2015-02-20,44,False
2015-02-21,29,False
2015-02-22,48,False
2015-02-23,57,False
2015-02-24,49,False
2015-02-25,33,False
2015-02-26,41,False
2015-02-27,34,False
2015-02-28,29,False
2015-03-01,28,False
2015-03-02,89,False
2015-03-03,49,False
2015-03-04,49,False
2015-03-05,58,False
2015-03-06,26,False
2015-03-07,10,False
2015-03-08,10,False
2015-03-09,65,False
2015-03-10,74,False
2015-03-11,32,False
2015-03-12,17,False
2015-03-13,9,False
2015-03-14,0,False
2015-03-15,47,False
2015-03-16,66,False
2015-03-17,57,False
2015-03-18,41,False
2015-03-19,65,False
2015-03-20,25,False
2015-03-21,19,False
2015-03-22,0,False
2015-03-23,41,False
2015-03-24,33,False
2015-03-25,36,False
2015-03-26,29,False
2015-03-27,9,False
2015-03-28,10,False
2015-03-29,50,False
2015-03-30,33,False
2015-03-31,0,False
2015-04-01,50,False
2015-04-02,79,False
2015-04-03,37,False
2015-04-04,20,False
2015-04-05,51,False
2015-04-06,35,False
2015-04-07,41,False
2015-04-08,33,False
2015-04-09,17,False
2015-04-10,34,False
2015-04-11,10,False
2015-04-12,19,False
2015-04-13,66,False
2015-04-14,41,False
2015-04-15,57,False
2015-04-16,33,False
2015-04-17,51,False
2015-04-18,20,False
2015-04-19,10,False
2015-04-20,57,False
2015-04-21,66,False
2015-04-22,33,False
2015-04-23,50,False
2015-04-24,43,False
2015-04-25,0,False
2015-04-26,29,False
2015-04-27,40,False
2015-04-28,48,False
2015-04-29,17,False
2015-04-30,25,False
2015-05-01,19,False
2015-05-02,20,False
2015-05-03,0,False
2015-05-04,16,False
2015-05-05,41,False
2015-05-06,41,False
2015-05-07,58,False
2015-05-08,70,False
2015-05-09,20,False
2015-05-10,0,False
2015-05-11,25,False
2015-05-12,24,False
2015-05-13,58,False
2015-05-14,58,False
2015-05-15,60,False
2015-05-16,19,False
2015-05-17,19,False
2015-05-18,8,False
2015-05-19,32,False
2015-05-20,65,False
2015-05-21,33,False
2015-05-22,17,False
2015-05-23,39,False
2015-05-24,20,False
2015-05-25,17,False
2015-05-26,48,False
2015-05-27,8,False
2015-05-28,16,False
2015-05-29,43,False
2015-05-30,20,False
2015-05-31,39,False
2015-06-01,40,False
2015-06-02,32,False
2015-06-03,16,False
2015-06-04,59,False
2015-06-05,35,False
2015-06-06,10,False
2015-06-07,30,False
2015-06-08,40,False
2015-06-09,24,False
2015-06-10,41,False
2015-06-11,42,False
2015-06-12,0,False
2015-06-13,0,False
2015-06-14,10,False
2015-06-15,32,False
2015-06-16,32,False
2015-06-17,16,False
2015-06-18,58,False
2015-06-19,52,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,33,False
2015-06-23,49,False
2015-06-24,33,False
2015-06-25,66,False
2015-06-26,26,False
2015-06-27,40,False
2015-06-28,0,False
2015-06-29,33,False
2015-06-30,25,False
2015-07-01,25,False
2015-07-02,25,False
2015-07-03,9,False
2015-07-04,0,False
2015-07-05,10,False
2015-07-06,24,False
2015-07-07,16,False
2015-07-08,41,False
2015-07-09,33,False
2015-07-10,77,False
2015-07-11,10,False
2015-07-12,10,False
2015-07-13,33,False
2015-07-14,33,False
2015-07-15,41,False
2015-07-16,43,False
2015-07-17,26,False
2015-07-18,21,False
2015-07-19,11,False
2015-07-20,34,False
2015-07-21,99,False
2015-07-22,100,False
2015-07-23,33,False
2015-07-24,51,False
2015-07-25,30,False
2015-07-26,19,False
2015-07-27,16,False
2015-07-28,40,False
2015-07-29,41,False
2015-07-30,82,False
2015-07-31,26,False
2015-08-01,20,False
2015-08-02,10,False
2015-08-03,33,False
2015-08-04,41,False
2015-08-05,41,False
2015-08-06,17,False
2015-08-07,26,False
2015-08-08,0,False
2015-08-09,10,False
2015-08-10,25,False
2015-08-11,32,False
2015-08-12,41,False
2015-08-13,17,False
2015-08-14,59,False
2015-08-15,19,False
2015-08-16,19,False
2015-08-17,49,False
2015-08-18,8,False
