date,Intuitive Surgical,isPartial
2012-06-04,28,False
2012-06-05,28,False
2012-06-06,39,False
2012-06-07,23,False
2012-06-08,18,False
2012-06-09,7,False
2012-06-10,7,False
2012-06-11,22,False
2012-06-12,28,False
2012-06-13,17,False
2012-06-14,23,False
2012-06-15,18,False
2012-06-16,14,False
2012-06-17,7,False
2012-06-18,11,False
2012-06-19,28,False
2012-06-20,23,False
2012-06-21,17,False
2012-06-22,18,False
2012-06-23,22,False
2012-06-24,21,False
2012-06-25,39,False
2012-06-26,22,False
2012-06-27,0,False
2012-06-28,29,False
2012-06-29,36,False
2012-06-30,7,False
2012-07-01,14,False
2012-07-02,23,False
2012-07-03,17,False
2012-07-04,6,False
2012-07-05,6,False
2012-07-06,24,False
2012-07-07,14,False
2012-07-08,14,False
2012-07-09,6,False
2012-07-10,34,False
2012-07-11,11,False
2012-07-12,23,False
2012-07-13,12,False
2012-07-14,7,False
2012-07-15,0,False
2012-07-16,34,False
2012-07-17,17,False
2012-07-18,6,False
2012-07-19,41,False
2012-07-20,49,False
2012-07-21,22,False
2012-07-22,0,False
2012-07-23,57,False
2012-07-24,17,False
2012-07-25,23,False
2012-07-26,46,False
2012-07-27,18,False
2012-07-28,7,False
2012-07-29,7,False
2012-07-30,17,False
2012-07-31,39,False
2012-08-01,23,False
2012-08-02,23,False
2012-08-03,30,False
2012-08-04,21,False
2012-08-05,0,False
2012-08-06,23,False
2012-08-07,34,False
2012-08-08,29,False
2012-08-09,52,False
2012-08-10,24,False
2012-08-11,14,False
2012-08-12,36,False
2012-08-13,23,False
2012-08-14,11,False
2012-08-15,48,False
2012-08-16,23,False
2012-08-17,12,False
2012-08-18,15,False
2012-08-19,15,False
2012-08-20,23,False
2012-08-21,29,False
2012-08-22,40,False
2012-08-23,29,False
2012-08-24,24,False
2012-08-25,7,False
2012-08-26,14,False
2012-08-27,39,False
2012-08-28,28,False
2012-08-29,22,False
2012-08-30,28,False
2012-08-31,29,False
2012-09-01,0,False
2012-09-02,7,False
2012-09-03,0,False
2012-09-04,22,False
2012-09-05,28,False
2012-09-06,39,False
2012-09-07,53,False
2012-09-08,0,False
2012-09-09,7,False
2012-09-10,22,False
2012-09-11,27,False
2012-09-12,11,False
2012-09-13,27,False
2012-09-14,12,False
2012-09-15,13,False
2012-09-16,20,False
2012-09-17,22,False
2012-09-18,32,False
2012-09-19,38,False
2012-09-20,17,False
2012-09-21,46,False
2012-09-22,13,False
2012-09-23,32,False
2012-09-24,11,False
2012-09-25,38,False
2012-09-26,27,False
2012-09-27,38,False
2012-09-28,17,False
2012-09-29,13,False
2012-09-30,6,False
2012-10-01,21,False
2012-10-02,21,False
2012-10-03,33,False
2012-10-04,59,False
2012-10-05,17,False
2012-10-06,39,False
2012-10-07,12,False
2012-10-08,42,False
2012-10-09,26,False
2012-10-10,37,False
2012-10-11,42,False
2012-10-12,44,False
2012-10-13,19,False
2012-10-14,6,False
2012-10-15,15,False
2012-10-16,31,False
2012-10-17,37,False
2012-10-18,26,False
2012-10-19,22,False
2012-10-20,6,False
2012-10-21,0,False
2012-10-22,26,False
2012-10-23,31,False
2012-10-24,52,False
2012-10-25,42,False
2012-10-26,22,False
2012-10-27,19,False
2012-10-28,18,False
2012-10-29,0,False
2012-10-30,25,False
2012-10-31,10,False
2012-11-01,38,False
2012-11-02,22,False
2012-11-03,0,False
2012-11-04,0,False
2012-11-05,25,False
2012-11-06,15,False
2012-11-07,10,False
2012-11-08,21,False
2012-11-09,11,False
2012-11-10,6,False
2012-11-11,18,False
2012-11-12,26,False
2012-11-13,16,False
2012-11-14,15,False
2012-11-15,26,False
2012-11-16,21,False
2012-11-17,6,False
2012-11-18,12,False
2012-11-19,15,False
2012-11-20,30,False
2012-11-21,31,False
2012-11-22,5,False
2012-11-23,0,False
2012-11-24,6,False
2012-11-25,6,False
2012-11-26,20,False
2012-11-27,50,False
2012-11-28,20,False
2012-11-29,25,False
2012-11-30,21,False
2012-12-01,18,False
2012-12-02,6,False
2012-12-03,20,False
2012-12-04,24,False
2012-12-05,40,False
2012-12-06,20,False
2012-12-07,27,False
2012-12-08,12,False
2012-12-09,6,False
2012-12-10,34,False
2012-12-11,40,False
2012-12-12,5,False
2012-12-13,26,False
2012-12-14,37,False
2012-12-15,0,False
2012-12-16,0,False
2012-12-17,10,False
2012-12-18,25,False
2012-12-19,31,False
2012-12-20,42,False
2012-12-21,61,False
2012-12-22,6,False
2012-12-23,0,False
2012-12-24,25,False
2012-12-25,0,False
2012-12-26,17,False
2012-12-27,43,False
2012-12-28,17,False
2012-12-29,6,False
2012-12-30,6,False
2012-12-31,50,False
2013-01-01,19,False
2013-01-02,15,False
2013-01-03,15,False
2013-01-04,10,False
2013-01-05,17,False
2013-01-06,23,False
2013-01-07,29,False
2013-01-08,24,False
2013-01-09,15,False
2013-01-10,15,False
2013-01-11,45,False
2013-01-12,17,False
2013-01-13,22,False
2013-01-14,10,False
2013-01-15,28,False
2013-01-16,24,False
2013-01-17,24,False
2013-01-18,29,False
2013-01-19,11,False
2013-01-20,11,False
2013-01-21,33,False
2013-01-22,56,False
2013-01-23,100,False
2013-01-24,53,False
2013-01-25,30,False
2013-01-26,6,False
2013-01-27,22,False
2013-01-28,28,False
2013-01-29,33,False
2013-01-30,47,False
2013-01-31,29,False
2013-02-01,45,False
2013-02-02,11,False
2013-02-03,16,False
2013-02-04,9,False
2013-02-05,61,False
2013-02-06,19,False
2013-02-07,19,False
2013-02-08,40,False
2013-02-09,6,False
2013-02-10,29,False
2013-02-11,19,False
2013-02-12,48,False
2013-02-13,19,False
2013-02-14,34,False
2013-02-15,10,False
2013-02-16,22,False
2013-02-17,11,False
2013-02-18,33,False
2013-02-19,33,False
