date,Costco,isPartial
2012-06-04,48,False
2012-06-05,46,False
2012-06-06,44,False
2012-06-07,46,False
2012-06-08,50,False
2012-06-09,56,False
2012-06-10,60,False
2012-06-11,48,False
2012-06-12,47,False
2012-06-13,42,False
2012-06-14,47,False
2012-06-15,52,False
2012-06-16,64,False
2012-06-17,59,False
2012-06-18,46,False
2012-06-19,47,False
2012-06-20,45,False
2012-06-21,47,False
2012-06-22,46,False
2012-06-23,60,False
2012-06-24,63,False
2012-06-25,48,False
2012-06-26,46,False
2012-06-27,44,False
2012-06-28,47,False
2012-06-29,52,False
2012-06-30,64,False
2012-07-01,70,False
2012-07-02,55,False
2012-07-03,56,False
2012-07-04,67,False
2012-07-05,47,False
2012-07-06,54,False
2012-07-07,64,False
2012-07-08,64,False
2012-07-09,52,False
2012-07-10,48,False
2012-07-11,47,False
2012-07-12,47,False
2012-07-13,50,False
2012-07-14,64,False
2012-07-15,68,False
2012-07-16,52,False
2012-07-17,50,False
2012-07-18,48,False
2012-07-19,47,False
2012-07-20,51,False
2012-07-21,63,False
2012-07-22,65,False
2012-07-23,49,False
2012-07-24,49,False
2012-07-25,47,False
2012-07-26,47,False
2012-07-27,50,False
2012-07-28,60,False
2012-07-29,61,False
2012-07-30,48,False
2012-07-31,48,False
2012-08-01,47,False
2012-08-02,46,False
2012-08-03,50,False
2012-08-04,62,False
2012-08-05,66,False
2012-08-06,50,False
2012-08-07,47,False
2012-08-08,49,False
2012-08-09,50,False
2012-08-10,49,False
2012-08-11,61,False
2012-08-12,66,False
2012-08-13,48,False
2012-08-14,50,False
2012-08-15,54,False
2012-08-16,50,False
2012-08-17,55,False
2012-08-18,66,False
2012-08-19,70,False
2012-08-20,52,False
2012-08-21,47,False
2012-08-22,47,False
2012-08-23,47,False
2012-08-24,49,False
2012-08-25,61,False
2012-08-26,64,False
2012-08-27,49,False
2012-08-28,47,False
2012-08-29,45,False
2012-08-30,46,False
2012-08-31,51,False
2012-09-01,63,False
2012-09-02,72,False
2012-09-03,69,False
2012-09-04,46,False
2012-09-05,48,False
2012-09-06,52,False
2012-09-07,51,False
2012-09-08,64,False
2012-09-09,68,False
2012-09-10,47,False
2012-09-11,45,False
2012-09-12,43,False
2012-09-13,44,False
2012-09-14,47,False
2012-09-15,60,False
2012-09-16,64,False
2012-09-17,52,False
2012-09-18,48,False
2012-09-19,43,False
2012-09-20,43,False
2012-09-21,47,False
2012-09-22,61,False
2012-09-23,61,False
2012-09-24,46,False
2012-09-25,42,False
2012-09-26,43,False
2012-09-27,45,False
2012-09-28,47,False
2012-09-29,60,False
2012-09-30,64,False
2012-10-01,48,False
2012-10-02,47,False
2012-10-03,47,False
2012-10-04,44,False
2012-10-05,48,False
2012-10-06,63,False
2012-10-07,62,False
2012-10-08,53,False
2012-10-09,44,False
2012-10-10,46,False
2012-10-11,44,False
2012-10-12,44,False
2012-10-13,58,False
2012-10-14,58,False
2012-10-15,46,False
2012-10-16,45,False
2012-10-17,44,False
2012-10-18,43,False
2012-10-19,45,False
2012-10-20,58,False
2012-10-21,59,False
2012-10-22,46,False
2012-10-23,43,False
2012-10-24,44,False
2012-10-25,43,False
2012-10-26,53,False
2012-10-27,61,False
2012-10-28,57,False
2012-10-29,45,False
2012-10-30,44,False
2012-10-31,45,False
2012-11-01,46,False
2012-11-02,55,False
2012-11-03,67,False
2012-11-04,66,False
2012-11-05,51,False
2012-11-06,47,False
2012-11-07,46,False
2012-11-08,48,False
2012-11-09,55,False
2012-11-10,66,False
2012-11-11,74,False
2012-11-12,64,False
2012-11-13,55,False
2012-11-14,52,False
2012-11-15,55,False
2012-11-16,61,False
2012-11-17,77,False
2012-11-18,82,False
2012-11-19,67,False
2012-11-20,67,False
2012-11-21,72,False
2012-11-22,72,False
2012-11-23,97,False
2012-11-24,88,False
2012-11-25,85,False
2012-11-26,78,False
2012-11-27,68,False
2012-11-28,65,False
2012-11-29,63,False
2012-11-30,65,False
2012-12-01,78,False
2012-12-02,78,False
2012-12-03,63,False
2012-12-04,60,False
2012-12-05,59,False
2012-12-06,60,False
2012-12-07,62,False
2012-12-08,77,False
2012-12-09,77,False
2012-12-10,64,False
2012-12-11,60,False
2012-12-12,60,False
2012-12-13,61,False
2012-12-14,59,False
2012-12-15,78,False
