date,Vertex Pharmaceuticals,isPartial
2014-03-16,10,False
2014-03-17,9,False
2014-03-18,18,False
2014-03-19,12,False
2014-03-20,6,False
2014-03-21,3,False
2014-03-22,7,False
2014-03-23,3,False
2014-03-24,24,False
2014-03-25,15,False
2014-03-26,18,False
2014-03-27,12,False
2014-03-28,3,False
2014-03-29,0,False
2014-03-30,14,False
2014-03-31,3,False
2014-04-01,6,False
2014-04-02,6,False
2014-04-03,6,False
2014-04-04,3,False
2014-04-05,7,False
2014-04-06,10,False
2014-04-07,12,False
2014-04-08,15,False
2014-04-09,18,False
2014-04-10,18,False
2014-04-11,10,False
2014-04-12,11,False
2014-04-13,0,False
2014-04-14,3,False
2014-04-15,12,False
2014-04-16,9,False
2014-04-17,19,False
2014-04-18,7,False
2014-04-19,4,False
2014-04-20,4,False
2014-04-21,7,False
2014-04-22,27,False
2014-04-23,15,False
2014-04-24,12,False
2014-04-25,6,False
2014-04-26,0,False
2014-04-27,10,False
2014-04-28,24,False
2014-04-29,12,False
2014-04-30,6,False
2014-05-01,10,False
2014-05-02,13,False
2014-05-03,11,False
2014-05-04,4,False
2014-05-05,9,False
2014-05-06,18,False
2014-05-07,15,False
2014-05-08,6,False
2014-05-09,3,False
2014-05-10,4,False
2014-05-11,0,False
2014-05-12,6,False
2014-05-13,12,False
2014-05-14,6,False
2014-05-15,6,False
2014-05-16,6,False
2014-05-17,4,False
2014-05-18,0,False
2014-05-19,6,False
2014-05-20,6,False
2014-05-21,16,False
2014-05-22,16,False
2014-05-23,3,False
2014-05-24,0,False
2014-05-25,12,False
2014-05-26,3,False
2014-05-27,6,False
2014-05-28,19,False
2014-05-29,10,False
2014-05-30,7,False
2014-05-31,8,False
2014-06-01,8,False
2014-06-02,20,False
2014-06-03,10,False
2014-06-04,10,False
2014-06-05,3,False
2014-06-06,3,False
2014-06-07,0,False
2014-06-08,8,False
2014-06-09,20,False
2014-06-10,17,False
2014-06-11,0,False
2014-06-12,10,False
2014-06-13,14,False
2014-06-14,12,False
2014-06-15,8,False
2014-06-16,23,False
2014-06-17,13,False
2014-06-18,23,False
2014-06-19,3,False
2014-06-20,7,False
2014-06-21,0,False
2014-06-22,4,False
2014-06-23,13,False
2014-06-24,100,False
2014-06-25,49,False
2014-06-26,14,False
2014-06-27,10,False
2014-06-28,4,False
2014-06-29,4,False
2014-06-30,10,False
2014-07-01,13,False
2014-07-02,14,False
2014-07-03,14,False
2014-07-04,11,False
2014-07-05,4,False
2014-07-06,4,False
2014-07-07,13,False
2014-07-08,0,False
2014-07-09,17,False
2014-07-10,7,False
2014-07-11,7,False
2014-07-12,0,False
2014-07-13,4,False
2014-07-14,17,False
2014-07-15,10,False
2014-07-16,3,False
2014-07-17,0,False
2014-07-18,11,False
2014-07-19,0,False
2014-07-20,8,False
2014-07-21,17,False
2014-07-22,10,False
2014-07-23,10,False
2014-07-24,7,False
2014-07-25,11,False
2014-07-26,0,False
2014-07-27,4,False
2014-07-28,20,False
2014-07-29,10,False
2014-07-30,17,False
2014-07-31,17,False
2014-08-01,7,False
2014-08-02,8,False
2014-08-03,8,False
2014-08-04,17,False
2014-08-05,0,False
2014-08-06,14,False
2014-08-07,24,False
2014-08-08,11,False
2014-08-09,8,False
2014-08-10,4,False
2014-08-11,0,False
2014-08-12,10,False
2014-08-13,13,False
2014-08-14,10,False
2014-08-15,0,False
2014-08-16,0,False
2014-08-17,0,False
2014-08-18,10,False
2014-08-19,10,False
2014-08-20,17,False
2014-08-21,3,False
2014-08-22,7,False
2014-08-23,8,False
2014-08-24,12,False
2014-08-25,16,False
2014-08-26,0,False
2014-08-27,6,False
2014-08-28,13,False
2014-08-29,3,False
2014-08-30,0,False
2014-08-31,0,False
2014-09-01,0,False
2014-09-02,6,False
2014-09-03,13,False
2014-09-04,0,False
2014-09-05,13,False
2014-09-06,12,False
2014-09-07,11,False
2014-09-08,6,False
2014-09-09,6,False
2014-09-10,6,False
2014-09-11,6,False
2014-09-12,7,False
2014-09-13,8,False
2014-09-14,4,False
2014-09-15,19,False
2014-09-16,16,False
2014-09-17,6,False
2014-09-18,6,False
2014-09-19,17,False
2014-09-20,15,False
2014-09-21,4,False
2014-09-22,22,False
2014-09-23,9,False
2014-09-24,16,False
2014-09-25,13,False
2014-09-26,13,False
2014-09-27,4,False
2014-09-28,0,False
2014-09-29,6,False
2014-09-30,6,False
2014-10-01,3,False
2014-10-02,16,False
2014-10-03,17,False
2014-10-04,4,False
2014-10-05,0,False
2014-10-06,16,False
2014-10-07,3,False
2014-10-08,6,False
2014-10-09,6,False
2014-10-10,0,False
2014-10-11,8,False
2014-10-12,4,False
2014-10-13,9,False
2014-10-14,12,False
2014-10-15,3,False
2014-10-16,16,False
2014-10-17,19,False
2014-10-18,8,False
2014-10-19,0,False
2014-10-20,12,False
2014-10-21,3,False
2014-10-22,3,False
2014-10-23,3,False
2014-10-24,13,False
2014-10-25,4,False
2014-10-26,7,False
2014-10-27,6,False
2014-10-28,18,False
2014-10-29,21,False
2014-10-30,9,False
2014-10-31,10,False
2014-11-01,0,False
2014-11-02,0,False
2014-11-03,25,False
2014-11-04,6,False
2014-11-05,18,False
2014-11-06,3,False
2014-11-07,6,False
2014-11-08,4,False
2014-11-09,0,False
2014-11-10,3,False
2014-11-11,0,False
2014-11-12,12,False
2014-11-13,6,False
2014-11-14,25,False
2014-11-15,7,False
2014-11-16,7,False
2014-11-17,6,False
2014-11-18,6,False
2014-11-19,28,False
2014-11-20,24,False
2014-11-21,6,False
2014-11-22,4,False
2014-11-23,3,False
2014-11-24,0,False
2014-11-25,6,False
2014-11-26,6,False
2014-11-27,3,False
2014-11-28,10,False
2014-11-29,7,False
2014-11-30,3,False
2014-12-01,12,False
