date,Vertex Pharmaceuticals,isPartial
2013-11-06,6,False
2013-11-07,6,False
2013-11-08,16,False
2013-11-09,0,False
2013-11-10,4,False
2013-11-11,6,False
2013-11-12,15,False
2013-11-13,12,False
2013-11-14,13,False
2013-11-15,3,False
2013-11-16,4,False
2013-11-17,4,False
2013-11-18,12,False
2013-11-19,9,False
2013-11-20,15,False
2013-11-21,16,False
2013-11-22,6,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,6,False
2013-11-26,9,False
2013-11-27,6,False
2013-11-28,3,False
2013-11-29,7,False
2013-11-30,0,False
2013-12-01,0,False
2013-12-02,15,False
2013-12-03,0,False
2013-12-04,18,False
2013-12-05,9,False
2013-12-06,10,False
2013-12-07,4,False
2013-12-08,7,False
2013-12-09,6,False
2013-12-10,0,False
2013-12-11,9,False
2013-12-12,3,False
2013-12-13,7,False
2013-12-14,7,False
2013-12-15,0,False
2013-12-16,6,False
2013-12-17,19,False
2013-12-18,13,False
2013-12-19,23,False
2013-12-20,24,False
2013-12-21,4,False
2013-12-22,8,False
2013-12-23,7,False
2013-12-24,4,False
2013-12-25,4,False
2013-12-26,4,False
2013-12-27,3,False
2013-12-28,4,False
2013-12-29,4,False
2013-12-30,7,False
2013-12-31,7,False
2014-01-01,8,False
2014-01-02,0,False
2014-01-03,6,False
2014-01-04,3,False
2014-01-05,4,False
2014-01-06,15,False
2014-01-07,21,False
2014-01-08,18,False
2014-01-09,27,False
2014-01-10,6,False
2014-01-11,0,False
2014-01-12,0,False
2014-01-13,6,False
2014-01-14,6,False
2014-01-15,9,False
2014-01-16,6,False
2014-01-17,3,False
2014-01-18,7,False
2014-01-19,3,False
2014-01-20,6,False
2014-01-21,12,False
2014-01-22,0,False
2014-01-23,3,False
2014-01-24,12,False
2014-01-25,0,False
2014-01-26,10,False
2014-01-27,12,False
2014-01-28,14,False
2014-01-29,6,False
2014-01-30,9,False
2014-01-31,16,False
2014-02-01,7,False
2014-02-02,3,False
2014-02-03,15,False
2014-02-04,20,False
2014-02-05,12,False
2014-02-06,16,False
2014-02-07,10,False
2014-02-08,7,False
2014-02-09,7,False
2014-02-10,3,False
2014-02-11,17,False
2014-02-12,26,False
2014-02-13,9,False
2014-02-14,12,False
2014-02-15,10,False
2014-02-16,10,False
2014-02-17,6,False
2014-02-18,0,False
2014-02-19,6,False
2014-02-20,3,False
2014-02-21,9,False
2014-02-22,0,False
2014-02-23,3,False
2014-02-24,14,False
2014-02-25,17,False
2014-02-26,17,False
2014-02-27,9,False
2014-02-28,6,False
2014-03-01,0,False
2014-03-02,7,False
2014-03-03,9,False
2014-03-04,12,False
2014-03-05,6,False
2014-03-06,15,False
2014-03-07,6,False
2014-03-08,3,False
2014-03-09,0,False
2014-03-10,12,False
2014-03-11,6,False
2014-03-12,9,False
2014-03-13,12,False
2014-03-14,0,False
2014-03-15,7,False
2014-03-16,13,False
2014-03-17,9,False
