date,VOD stock
2017-05-29,0
2017-05-30,0
2017-05-31,23
2017-06-01,24
2017-06-02,25
2017-06-03,28
2017-06-04,0
2017-06-05,24
2017-06-06,0
2017-06-07,46
2017-06-08,46
2017-06-09,49
2017-06-10,0
2017-06-11,0
2017-06-12,58
2017-06-13,68
2017-06-14,23
2017-06-15,36
2017-06-16,37
2017-06-17,0
2017-06-18,0
2017-06-19,47
2017-06-20,45
2017-06-21,0
2017-06-22,23
2017-06-23,35
2017-06-24,0
2017-06-25,28
2017-06-26,48
2017-06-27,36
2017-06-28,24
2017-06-29,98
2017-06-30,0
2017-07-01,0
2017-07-02,28
2017-07-03,37
2017-07-04,25
2017-07-05,25
2017-07-06,25
2017-07-07,100
2017-07-08,28
2017-07-09,0
2017-07-10,24
2017-07-11,95
2017-07-12,24
2017-07-13,24
2017-07-14,49
2017-07-15,0
2017-07-16,0
2017-07-17,48
2017-07-18,48
2017-07-19,48
2017-07-20,48
2017-07-21,50
2017-07-22,28
2017-07-23,0
2017-07-24,0
2017-07-25,23
2017-07-26,23
2017-07-27,47
2017-07-28,73
2017-07-29,0
2017-07-30,0
2017-07-31,23
2017-08-01,23
2017-08-02,0
2017-08-03,46
2017-08-04,24
2017-08-05,0
2017-08-06,0
2017-08-07,68
2017-08-08,44
2017-08-09,45
2017-08-10,35
2017-08-11,49
2017-08-12,27
2017-08-13,0
2017-08-14,0
2017-08-15,24
2017-08-16,23
2017-08-17,23
2017-08-18,60
2017-08-19,53
2017-08-20,0
2017-08-21,68
2017-08-22,46
2017-08-23,23
2017-08-24,23
2017-08-25,24
2017-08-26,27
2017-08-27,26
2017-08-28,46
2017-08-29,68
2017-08-30,23
2017-08-31,46
2017-09-01,24
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,45
2017-09-06,34
2017-09-07,69
2017-09-08,35
2017-09-09,0
2017-09-10,51
2017-09-11,56
2017-09-12,0
2017-09-13,22
2017-09-14,46
2017-09-15,24
2017-09-16,52
2017-09-17,26
2017-09-18,34
2017-09-19,34
2017-09-20,23
2017-09-21,23
2017-09-22,47
2017-09-23,0
2017-09-24,0
2017-09-25,22
2017-09-26,23
2017-09-27,67
2017-09-28,34
2017-09-29,71
2017-09-30,0
2017-10-01,0
2017-10-02,22
2017-10-03,45
2017-10-04,0
2017-10-05,23
2017-10-06,0
2017-10-07,26
2017-10-08,0
2017-10-09,22
2017-10-10,44
2017-10-11,22
2017-10-12,68
2017-10-13,23
2017-10-14,0
2017-10-15,0
2017-10-16,33
2017-10-17,66
2017-10-18,22
2017-10-19,23
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,22
2017-10-24,22
2017-10-25,22
2017-10-26,45
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,88
2017-10-31,45
2017-11-01,0
2017-11-02,67
2017-11-03,46
2017-11-04,0
2017-11-05,0
2017-11-06,43
2017-11-07,22
2017-11-08,33
2017-11-09,33
2017-11-10,23
2017-11-11,25
2017-11-12,0
2017-11-13,43
2017-11-14,87
2017-11-15,43
2017-11-16,54
2017-11-17,0
2017-11-18,25
2017-11-19,37
2017-11-20,54
2017-11-21,22
2017-11-22,22
2017-11-23,0
2017-11-24,45
2017-11-25,0
2017-11-26,49
2017-11-27,21
2017-11-28,32
2017-11-29,0
2017-11-30,22
2017-12-01,0
2017-12-02,25
2017-12-03,0
2017-12-04,32
2017-12-05,21
2017-12-06,22
2017-12-07,44
2017-12-08,23
2017-12-09,25
2017-12-10,0
2017-12-11,64
2017-12-12,65
2017-12-13,0
2017-12-14,22
2017-12-15,46
2017-12-16,0
2017-12-17,0
2017-12-18,22
2017-12-19,34
2017-12-20,46
2017-12-21,23
2017-12-22,50
2017-12-23,26
2017-12-24,28
2017-12-25,57
2017-12-26,25
2017-12-27,0
2017-12-28,24
2017-12-29,0
2017-12-30,26
2017-12-31,0
2018-01-01,0
2018-01-02,68
2018-01-03,22
2018-01-04,66
2018-01-05,67
2018-01-06,0
2018-01-07,25
2018-01-08,43
2018-01-09,42
2018-01-10,32
2018-01-11,65
2018-01-12,56
2018-01-13,0
2018-01-14,24
2018-01-15,21
2018-01-16,21
2018-01-17,42
2018-01-18,21
2018-01-19,33
2018-01-20,36
2018-01-21,48
2018-01-22,31
2018-01-23,21
2018-01-24,42
2018-01-25,42
2018-01-26,33
2018-01-27,0
2018-01-28,0
2018-01-29,21
2018-01-30,21
2018-01-31,21
2018-02-01,63
2018-02-02,44
2018-02-03,0
2018-02-04,24
2018-02-05,21
2018-02-06,73
2018-02-07,42
2018-02-08,21
2018-02-09,33
2018-02-10,48
2018-02-11,48
2018-02-12,0
2018-02-13,21
