date,VOD stock
2015-12-26,0
2015-12-27,0
2015-12-28,33
2015-12-29,51
2015-12-30,17
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,17
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,34
2016-01-09,0
2016-01-10,0
2016-01-11,16
2016-01-12,16
2016-01-13,33
2016-01-14,0
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,16
2016-01-19,16
2016-01-20,0
2016-01-21,33
2016-01-22,34
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,16
2016-01-27,0
2016-01-28,16
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,32
2016-02-03,0
2016-02-04,16
2016-02-05,0
2016-02-06,0
2016-02-07,19
2016-02-08,0
2016-02-09,17
2016-02-10,16
2016-02-11,0
2016-02-12,17
2016-02-13,0
2016-02-14,0
2016-02-15,16
2016-02-16,32
2016-02-17,16
2016-02-18,0
2016-02-19,16
2016-02-20,0
2016-02-21,0
2016-02-22,16
2016-02-23,16
2016-02-24,32
2016-02-25,0
2016-02-26,17
2016-02-27,18
2016-02-28,0
2016-02-29,31
2016-03-01,0
2016-03-02,47
2016-03-03,48
2016-03-04,16
2016-03-05,0
2016-03-06,0
2016-03-07,16
2016-03-08,16
2016-03-09,16
2016-03-10,0
2016-03-11,0
2016-03-12,19
2016-03-13,0
2016-03-14,0
2016-03-15,16
2016-03-16,0
2016-03-17,49
2016-03-18,17
2016-03-19,18
2016-03-20,0
2016-03-21,32
2016-03-22,32
2016-03-23,0
2016-03-24,34
2016-03-25,18
2016-03-26,0
2016-03-27,0
2016-03-28,34
2016-03-29,16
2016-03-30,0
2016-03-31,0
2016-04-01,50
2016-04-02,18
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,17
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,32
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,19
2016-04-17,0
2016-04-18,0
2016-04-19,16
2016-04-20,16
2016-04-21,16
2016-04-22,34
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,16
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,19
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,16
2016-05-05,17
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,33
2016-05-10,0
2016-05-11,0
2016-05-12,16
2016-05-13,33
2016-05-14,19
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,16
2016-05-19,16
2016-05-20,34
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,16
2016-05-26,34
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,32
2016-06-02,0
2016-06-03,17
2016-06-04,0
2016-06-05,0
2016-06-06,16
2016-06-07,16
2016-06-08,33
2016-06-09,33
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,48
2016-06-14,0
2016-06-15,16
2016-06-16,16
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,16
2016-06-22,32
2016-06-23,17
2016-06-24,35
2016-06-25,0
2016-06-26,19
2016-06-27,33
2016-06-28,65
2016-06-29,100
2016-06-30,67
2016-07-01,17
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,70
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,51
2016-07-12,17
2016-07-13,35
2016-07-14,33
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,34
2016-07-19,0
2016-07-20,52
2016-07-21,35
2016-07-22,71
2016-07-23,0
2016-07-24,20
2016-07-25,0
2016-07-26,17
2016-07-27,17
2016-07-28,0
2016-07-29,36
2016-07-30,0
2016-07-31,20
2016-08-01,17
2016-08-02,17
2016-08-03,34
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,18
2016-08-10,18
2016-08-11,18
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,19
2016-08-16,36
2016-08-17,18
2016-08-18,0
2016-08-19,19
2016-08-20,21
2016-08-21,0
2016-08-22,18
2016-08-23,18
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,17
2016-08-30,17
2016-08-31,17
2016-09-01,0
2016-09-02,35
2016-09-03,20
2016-09-04,0
2016-09-05,17
2016-09-06,0
2016-09-07,51
2016-09-08,51
2016-09-09,53
2016-09-10,0
2016-09-11,0
