date,VOD stock
2012-10-12,0
2012-10-13,34
2012-10-14,33
2012-10-15,27
2012-10-16,0
2012-10-17,0
2012-10-18,28
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,54
2012-10-24,0
2012-10-25,0
2012-10-26,30
2012-10-27,0
2012-10-28,0
2012-10-29,27
2012-10-30,0
2012-10-31,0
2012-11-01,29
2012-11-02,0
2012-11-03,33
2012-11-04,0
2012-11-05,27
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,29
2012-11-10,33
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,28
2012-11-16,28
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,28
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,27
2012-11-28,0
2012-11-29,27
2012-11-30,28
2012-12-01,0
2012-12-02,0
2012-12-03,27
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,28
2012-12-20,0
2012-12-21,58
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,36
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,33
2013-01-01,0
2013-01-02,0
2013-01-03,27
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,52
2013-01-09,26
2013-01-10,26
2013-01-11,0
2013-01-12,0
2013-01-13,0
2013-01-14,0
2013-01-15,0
2013-01-16,25
2013-01-17,0
2013-01-18,27
2013-01-19,0
2013-01-20,30
2013-01-21,25
2013-01-22,0
2013-01-23,0
2013-01-24,26
2013-01-25,27
2013-01-26,0
2013-01-27,0
2013-01-28,0
2013-01-29,25
2013-01-30,25
2013-01-31,25
2013-02-01,0
2013-02-02,0
2013-02-03,30
2013-02-04,0
2013-02-05,0
2013-02-06,25
2013-02-07,0
2013-02-08,27
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,26
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,30
2013-02-17,0
2013-02-18,0
2013-02-19,50
2013-02-20,0
2013-02-21,100
2013-02-22,26
2013-02-23,29
2013-02-24,0
2013-02-25,49
2013-02-26,25
2013-02-27,0
2013-02-28,25
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,25
2013-03-06,74
2013-03-07,0
2013-03-08,52
2013-03-09,0
2013-03-10,0
2013-03-11,24
2013-03-12,49
2013-03-13,24
2013-03-14,0
2013-03-15,25
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,50
2013-03-21,25
2013-03-22,26
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,52
2013-03-29,0
2013-03-30,0
2013-03-31,31
2013-04-01,0
2013-04-02,73
2013-04-03,49
2013-04-04,0
2013-04-05,0
2013-04-06,29
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,24
2013-04-17,49
2013-04-18,50
2013-04-19,26
2013-04-20,0
2013-04-21,0
2013-04-22,24
2013-04-23,0
2013-04-24,25
2013-04-25,25
2013-04-26,26
2013-04-27,0
2013-04-28,29
2013-04-29,25
2013-04-30,25
2013-05-01,27
2013-05-02,76
2013-05-03,79
2013-05-04,30
2013-05-05,0
2013-05-06,0
2013-05-07,24
2013-05-08,50
2013-05-09,0
2013-05-10,26
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,48
2013-05-15,0
2013-05-16,25
2013-05-17,0
2013-05-18,29
2013-05-19,0
2013-05-20,0
2013-05-21,24
2013-05-22,0
2013-05-23,48
2013-05-24,0
2013-05-25,30
2013-05-26,30
2013-05-27,0
2013-05-28,48
2013-05-29,24
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,24
2013-06-04,48
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,29
2013-06-10,24
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,24
2013-06-19,24
2013-06-20,49
2013-06-21,26
2013-06-22,30
2013-06-23,0
2013-06-24,0
2013-06-25,0
2013-06-26,49
2013-06-27,0
2013-06-28,52
2013-06-29,0
