date,AMAT stock
2016-09-11,0
2016-09-12,35
2016-09-13,16
2016-09-14,9
2016-09-15,13
2016-09-16,19
2016-09-17,0
2016-09-18,0
2016-09-19,3
2016-09-20,0
2016-09-21,9
2016-09-22,25
2016-09-23,7
2016-09-24,0
2016-09-25,7
2016-09-26,9
2016-09-27,12
2016-09-28,6
2016-09-29,12
2016-09-30,13
2016-10-01,0
2016-10-02,0
2016-10-03,6
2016-10-04,9
2016-10-05,3
2016-10-06,19
2016-10-07,13
2016-10-08,0
2016-10-09,0
2016-10-10,9
2016-10-11,12
2016-10-12,6
2016-10-13,9
2016-10-14,6
2016-10-15,0
2016-10-16,3
2016-10-17,3
2016-10-18,12
2016-10-19,6
2016-10-20,3
2016-10-21,3
2016-10-22,0
2016-10-23,7
2016-10-24,18
2016-10-25,9
2016-10-26,15
2016-10-27,6
2016-10-28,0
2016-10-29,4
2016-10-30,0
2016-10-31,9
2016-11-01,16
2016-11-02,25
2016-11-03,12
2016-11-04,3
2016-11-05,0
2016-11-06,0
2016-11-07,9
2016-11-08,15
2016-11-09,19
2016-11-10,24
2016-11-11,19
2016-11-12,4
2016-11-13,0
2016-11-14,6
2016-11-15,9
2016-11-16,12
2016-11-17,39
2016-11-18,34
2016-11-19,7
2016-11-20,10
2016-11-21,6
2016-11-22,6
2016-11-23,15
2016-11-24,12
2016-11-25,15
2016-11-26,3
2016-11-27,0
2016-11-28,11
2016-11-29,14
2016-11-30,23
2016-12-01,15
2016-12-02,15
2016-12-03,7
2016-12-04,0
2016-12-05,13
2016-12-06,6
2016-12-07,9
2016-12-08,12
2016-12-09,21
2016-12-10,0
2016-12-11,3
2016-12-12,11
2016-12-13,9
2016-12-14,6
2016-12-15,6
2016-12-16,15
2016-12-17,3
2016-12-18,3
2016-12-19,3
2016-12-20,6
2016-12-21,12
2016-12-22,25
2016-12-23,6
2016-12-24,0
2016-12-25,0
2016-12-26,7
2016-12-27,12
2016-12-28,6
2016-12-29,13
2016-12-30,0
2016-12-31,7
2017-01-01,7
2017-01-02,6
2017-01-03,6
2017-01-04,9
2017-01-05,12
2017-01-06,3
2017-01-07,0
2017-01-08,0
2017-01-09,11
2017-01-10,22
2017-01-11,20
2017-01-12,9
2017-01-13,12
2017-01-14,6
2017-01-15,0
2017-01-16,3
2017-01-17,17
2017-01-18,14
2017-01-19,14
2017-01-20,6
2017-01-21,3
2017-01-22,0
2017-01-23,17
2017-01-24,11
2017-01-25,20
2017-01-26,14
2017-01-27,20
2017-01-28,10
2017-01-29,6
2017-01-30,19
2017-01-31,8
2017-02-01,16
2017-02-02,20
2017-02-03,6
2017-02-04,3
2017-02-05,0
2017-02-06,0
2017-02-07,14
2017-02-08,11
2017-02-09,17
2017-02-10,9
2017-02-11,6
2017-02-12,6
2017-02-13,14
2017-02-14,11
2017-02-15,39
2017-02-16,25
2017-02-17,22
2017-02-18,6
2017-02-19,3
2017-02-20,8
2017-02-21,19
2017-02-22,17
2017-02-23,28
2017-02-24,23
2017-02-25,10
2017-02-26,9
2017-02-27,8
2017-02-28,19
2017-03-01,11
2017-03-02,29
2017-03-03,17
2017-03-04,0
2017-03-05,3
2017-03-06,8
2017-03-07,8
2017-03-08,14
2017-03-09,24
2017-03-10,26
2017-03-11,6
2017-03-12,3
2017-03-13,18
2017-03-14,41
2017-03-15,11
2017-03-16,11
2017-03-17,20
2017-03-18,6
2017-03-19,3
2017-03-20,22
2017-03-21,5
2017-03-22,27
2017-03-23,19
2017-03-24,20
2017-03-25,13
2017-03-26,3
2017-03-27,25
2017-03-28,19
2017-03-29,22
2017-03-30,17
2017-03-31,17
2017-04-01,0
2017-04-02,3
2017-04-03,14
2017-04-04,19
2017-04-05,8
2017-04-06,17
2017-04-07,14
2017-04-08,0
2017-04-09,7
2017-04-10,22
2017-04-11,28
2017-04-12,14
2017-04-13,12
2017-04-14,13
2017-04-15,0
2017-04-16,0
2017-04-17,9
2017-04-18,5
2017-04-19,11
2017-04-20,20
2017-04-21,18
2017-04-22,10
2017-04-23,3
2017-04-24,14
2017-04-25,36
2017-04-26,11
2017-04-27,28
2017-04-28,20
2017-04-29,10
2017-04-30,6
2017-05-01,33
2017-05-02,16
2017-05-03,28
2017-05-04,45
2017-05-05,17
2017-05-06,10
2017-05-07,9
2017-05-08,25
2017-05-09,27
2017-05-10,17
2017-05-11,23
2017-05-12,20
2017-05-13,10
2017-05-14,3
2017-05-15,23
2017-05-16,50
2017-05-17,69
2017-05-18,80
2017-05-19,100
2017-05-20,10
2017-05-21,7
2017-05-22,18
2017-05-23,32
2017-05-24,45
2017-05-25,37
2017-05-26,42
2017-05-27,11
2017-05-28,4
2017-05-29,3
