date,AMAT stock
2015-04-10,31
2015-04-11,0
2015-04-12,0
2015-04-13,15
2015-04-14,29
2015-04-15,15
2015-04-16,29
2015-04-17,15
2015-04-18,35
2015-04-19,0
2015-04-20,36
2015-04-21,37
2015-04-22,15
2015-04-23,22
2015-04-24,54
2015-04-25,52
2015-04-26,17
2015-04-27,94
2015-04-28,86
2015-04-29,65
2015-04-30,53
2015-05-01,33
2015-05-02,18
2015-05-03,0
2015-05-04,30
2015-05-05,29
2015-05-06,14
2015-05-07,29
2015-05-08,23
2015-05-09,0
2015-05-10,0
2015-05-11,14
2015-05-12,29
2015-05-13,22
2015-05-14,60
2015-05-15,38
2015-05-16,17
2015-05-17,17
2015-05-18,29
2015-05-19,14
2015-05-20,43
2015-05-21,0
2015-05-22,23
2015-05-23,17
2015-05-24,0
2015-05-25,15
2015-05-26,29
2015-05-27,29
2015-05-28,36
2015-05-29,23
2015-05-30,0
2015-05-31,0
2015-06-01,14
2015-06-02,29
2015-06-03,29
2015-06-04,30
2015-06-05,23
2015-06-06,18
2015-06-07,0
2015-06-08,14
2015-06-09,43
2015-06-10,29
2015-06-11,0
2015-06-12,0
2015-06-13,18
2015-06-14,0
2015-06-15,36
2015-06-16,14
2015-06-17,15
2015-06-18,15
2015-06-19,16
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,14
2015-06-24,44
2015-06-25,22
2015-06-26,45
2015-06-27,0
2015-06-28,0
2015-06-29,15
2015-06-30,22
2015-07-01,15
2015-07-02,15
2015-07-03,16
2015-07-04,36
2015-07-05,0
2015-07-06,44
2015-07-07,29
2015-07-08,36
2015-07-09,45
2015-07-10,15
2015-07-11,0
2015-07-12,18
2015-07-13,22
2015-07-14,22
2015-07-15,44
2015-07-16,30
2015-07-17,16
2015-07-18,19
2015-07-19,0
2015-07-20,31
2015-07-21,15
2015-07-22,22
2015-07-23,29
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,22
2015-07-30,0
2015-07-31,15
2015-08-01,18
2015-08-02,0
2015-08-03,0
2015-08-04,43
2015-08-05,22
2015-08-06,60
2015-08-07,0
2015-08-08,35
2015-08-09,35
2015-08-10,15
2015-08-11,14
2015-08-12,29
2015-08-13,52
2015-08-14,23
2015-08-15,35
2015-08-16,17
2015-08-17,36
2015-08-18,29
2015-08-19,29
2015-08-20,22
2015-08-21,15
2015-08-22,0
2015-08-23,0
2015-08-24,21
2015-08-25,0
2015-08-26,100
2015-08-27,36
2015-08-28,45
2015-08-29,0
2015-08-30,0
2015-08-31,21
2015-09-01,21
2015-09-02,57
2015-09-03,21
2015-09-04,29
2015-09-05,25
2015-09-06,17
2015-09-07,0
2015-09-08,14
2015-09-09,14
2015-09-10,42
2015-09-11,29
2015-09-12,0
2015-09-13,16
2015-09-14,14
2015-09-15,21
2015-09-16,14
2015-09-17,28
2015-09-18,29
2015-09-19,0
2015-09-20,16
2015-09-21,27
2015-09-22,14
2015-09-23,28
2015-09-24,58
2015-09-25,15
2015-09-26,33
2015-09-27,0
2015-09-28,13
2015-09-29,20
2015-09-30,41
2015-10-01,0
2015-10-02,14
2015-10-03,0
2015-10-04,16
2015-10-05,34
2015-10-06,34
2015-10-07,27
2015-10-08,14
2015-10-09,36
2015-10-10,0
2015-10-11,0
2015-10-12,0
2015-10-13,54
2015-10-14,13
2015-10-15,14
2015-10-16,35
2015-10-17,0
2015-10-18,0
2015-10-19,20
2015-10-20,47
2015-10-21,27
2015-10-22,48
2015-10-23,14
2015-10-24,16
2015-10-25,0
2015-10-26,27
2015-10-27,40
2015-10-28,13
2015-10-29,20
2015-10-30,28
2015-10-31,16
2015-11-01,16
2015-11-02,41
2015-11-03,13
2015-11-04,0
2015-11-05,13
2015-11-06,21
2015-11-07,16
2015-11-08,16
2015-11-09,20
2015-11-10,40
2015-11-11,14
2015-11-12,42
2015-11-13,28
2015-11-14,24
2015-11-15,16
2015-11-16,20
2015-11-17,13
2015-11-18,34
2015-11-19,27
2015-11-20,14
2015-11-21,16
2015-11-22,0
2015-11-23,13
2015-11-24,13
2015-11-25,54
2015-11-26,14
2015-11-27,29
2015-11-28,0
2015-11-29,0
2015-11-30,13
2015-12-01,20
2015-12-02,20
2015-12-03,27
2015-12-04,42
2015-12-05,0
2015-12-06,16
2015-12-07,41
2015-12-08,14
2015-12-09,20
2015-12-10,21
2015-12-11,21
2015-12-12,0
2015-12-13,0
2015-12-14,0
2015-12-15,21
2015-12-16,14
2015-12-17,21
2015-12-18,15
2015-12-19,0
2015-12-20,17
2015-12-21,22
2015-12-22,0
2015-12-23,46
2015-12-24,52
2015-12-25,19
2015-12-26,0
