date,AMAT stock
2017-10-06,19
2017-10-07,17
2017-10-08,2
2017-10-09,29
2017-10-10,22
2017-10-11,27
2017-10-12,25
2017-10-13,15
2017-10-14,17
2017-10-15,7
2017-10-16,41
2017-10-17,47
2017-10-18,29
2017-10-19,27
2017-10-20,24
2017-10-21,10
2017-10-22,5
2017-10-23,28
2017-10-24,28
2017-10-25,25
2017-10-26,27
2017-10-27,21
2017-10-28,5
2017-10-29,2
2017-10-30,34
2017-10-31,25
2017-11-01,27
2017-11-02,23
2017-11-03,30
2017-11-04,7
2017-11-05,0
2017-11-06,28
2017-11-07,28
2017-11-08,28
2017-11-09,26
2017-11-10,21
2017-11-11,9
2017-11-12,5
2017-11-13,24
2017-11-14,28
2017-11-15,32
2017-11-16,72
2017-11-17,94
2017-11-18,30
2017-11-19,9
2017-11-20,42
2017-11-21,22
2017-11-22,28
2017-11-23,12
2017-11-24,27
2017-11-25,9
2017-11-26,9
2017-11-27,54
2017-11-28,31
2017-11-29,68
2017-11-30,41
2017-12-01,42
2017-12-02,21
2017-12-03,2
2017-12-04,24
2017-12-05,52
2017-12-06,38
2017-12-07,42
2017-12-08,45
2017-12-09,14
2017-12-10,7
2017-12-11,38
2017-12-12,35
2017-12-13,49
2017-12-14,31
2017-12-15,19
2017-12-16,5
2017-12-17,5
2017-12-18,40
2017-12-19,47
2017-12-20,46
2017-12-21,43
2017-12-22,34
2017-12-23,5
2017-12-24,8
2017-12-25,3
2017-12-26,38
2017-12-27,26
2017-12-28,37
2017-12-29,36
2017-12-30,7
2017-12-31,8
2018-01-01,0
2018-01-02,27
2018-01-03,50
2018-01-04,49
2018-01-05,35
2018-01-06,16
2018-01-07,11
2018-01-08,28
2018-01-09,41
2018-01-10,53
2018-01-11,43
2018-01-12,31
2018-01-13,7
2018-01-14,0
2018-01-15,12
2018-01-16,39
2018-01-17,38
2018-01-18,57
2018-01-19,51
2018-01-20,20
2018-01-21,4
2018-01-22,33
2018-01-23,31
2018-01-24,34
2018-01-25,51
2018-01-26,57
2018-01-27,20
2018-01-28,9
2018-01-29,44
2018-01-30,39
2018-01-31,48
2018-02-01,51
2018-02-02,49
2018-02-03,7
2018-02-04,9
2018-02-05,56
2018-02-06,50
2018-02-07,50
2018-02-08,41
2018-02-09,42
2018-02-10,9
2018-02-11,4
2018-02-12,59
2018-02-13,47
2018-02-14,85
2018-02-15,100
2018-02-16,61
2018-02-17,22
2018-02-18,7
2018-02-19,15
2018-02-20,63
2018-02-21,49
2018-02-22,23
2018-02-23,38
2018-02-24,9
2018-02-25,2
2018-02-26,59
2018-02-27,36
2018-02-28,57
2018-03-01,55
2018-03-02,44
2018-03-03,13
2018-03-04,9
2018-03-05,38
2018-03-06,49
2018-03-07,54
2018-03-08,29
2018-03-09,62
2018-03-10,26
2018-03-11,15
2018-03-12,46
2018-03-13,67
2018-03-14,47
2018-03-15,33
2018-03-16,50
2018-03-17,16
2018-03-18,2
2018-03-19,23
2018-03-20,34
2018-03-21,38
2018-03-22,45
2018-03-23,38
2018-03-24,4
2018-03-25,4
2018-03-26,31
2018-03-27,31
2018-03-28,34
2018-03-29,43
2018-03-30,18
2018-03-31,5
2018-04-01,7
2018-04-02,43
2018-04-03,29
2018-04-04,17
2018-04-05,38
2018-04-06,30
2018-04-07,4
2018-04-08,7
