date,AMAT stock
2017-05-29,3
2017-05-30,29
2017-05-31,34
2017-06-01,28
2017-06-02,26
2017-06-03,23
2017-06-04,6
2017-06-05,20
2017-06-06,19
2017-06-07,29
2017-06-08,31
2017-06-09,28
2017-06-10,18
2017-06-11,0
2017-06-12,34
2017-06-13,19
2017-06-14,32
2017-06-15,25
2017-06-16,28
2017-06-17,0
2017-06-18,3
2017-06-19,15
2017-06-20,17
2017-06-21,40
2017-06-22,34
2017-06-23,42
2017-06-24,11
2017-06-25,3
2017-06-26,28
2017-06-27,30
2017-06-28,25
2017-06-29,25
2017-06-30,18
2017-07-01,15
2017-07-02,0
2017-07-03,8
2017-07-04,5
2017-07-05,10
2017-07-06,26
2017-07-07,18
2017-07-08,3
2017-07-09,3
2017-07-10,22
2017-07-11,15
2017-07-12,35
2017-07-13,18
2017-07-14,16
2017-07-15,12
2017-07-16,3
2017-07-17,23
2017-07-18,33
2017-07-19,37
2017-07-20,25
2017-07-21,34
2017-07-22,3
2017-07-23,6
2017-07-24,32
2017-07-25,12
2017-07-26,12
2017-07-27,32
2017-07-28,18
2017-07-29,9
2017-07-30,0
2017-07-31,22
2017-08-01,14
2017-08-02,12
2017-08-03,22
2017-08-04,15
2017-08-05,3
2017-08-06,0
2017-08-07,26
2017-08-08,28
2017-08-09,31
2017-08-10,25
2017-08-11,28
2017-08-12,8
2017-08-13,11
2017-08-14,22
2017-08-15,30
2017-08-16,32
2017-08-17,69
2017-08-18,58
2017-08-19,5
2017-08-20,14
2017-08-21,24
2017-08-22,31
2017-08-23,29
2017-08-24,15
2017-08-25,13
2017-08-26,6
2017-08-27,3
2017-08-28,22
2017-08-29,29
2017-08-30,29
2017-08-31,32
2017-09-01,28
2017-09-02,9
2017-09-03,3
2017-09-04,10
2017-09-05,17
2017-09-06,21
2017-09-07,12
2017-09-08,20
2017-09-09,8
2017-09-10,3
2017-09-11,9
2017-09-12,21
2017-09-13,19
2017-09-14,22
2017-09-15,10
2017-09-16,6
2017-09-17,3
2017-09-18,28
2017-09-19,47
2017-09-20,19
2017-09-21,14
2017-09-22,15
2017-09-23,8
2017-09-24,0
2017-09-25,7
2017-09-26,21
2017-09-27,26
2017-09-28,52
2017-09-29,40
2017-09-30,17
2017-10-01,11
2017-10-02,49
2017-10-03,33
2017-10-04,28
2017-10-05,19
2017-10-06,25
2017-10-07,11
2017-10-08,0
2017-10-09,16
2017-10-10,16
2017-10-11,38
2017-10-12,29
2017-10-13,32
2017-10-14,14
2017-10-15,5
2017-10-16,61
2017-10-17,42
2017-10-18,45
2017-10-19,31
2017-10-20,22
2017-10-21,8
2017-10-22,10
2017-10-23,37
2017-10-24,42
2017-10-25,28
2017-10-26,38
2017-10-27,17
2017-10-28,5
2017-10-29,3
2017-10-30,35
2017-10-31,35
2017-11-01,24
2017-11-02,14
2017-11-03,43
2017-11-04,10
2017-11-05,0
2017-11-06,36
2017-11-07,25
2017-11-08,23
2017-11-09,21
2017-11-10,36
2017-11-11,5
2017-11-12,5
2017-11-13,34
2017-11-14,29
2017-11-15,29
2017-11-16,81
2017-11-17,100
2017-11-18,16
2017-11-19,15
2017-11-20,30
2017-11-21,27
2017-11-22,46
2017-11-23,12
2017-11-24,19
2017-11-25,13
2017-11-26,8
2017-11-27,51
2017-11-28,29
2017-11-29,73
2017-11-30,60
2017-12-01,38
2017-12-02,16
2017-12-03,3
2017-12-04,40
2017-12-05,49
2017-12-06,27
2017-12-07,56
2017-12-08,49
2017-12-09,11
2017-12-10,8
2017-12-11,54
2017-12-12,49
2017-12-13,48
2017-12-14,53
2017-12-15,27
2017-12-16,16
2017-12-17,0
2017-12-18,53
2017-12-19,33
2017-12-20,71
2017-12-21,65
2017-12-22,44
2017-12-23,8
2017-12-24,9
2017-12-25,0
2017-12-26,46
2017-12-27,35
2017-12-28,45
2017-12-29,46
2017-12-30,16
2017-12-31,9
2018-01-01,11
2018-01-02,40
2018-01-03,55
2018-01-04,46
2018-01-05,54
2018-01-06,15
2018-01-07,10
2018-01-08,43
2018-01-09,56
2018-01-10,56
2018-01-11,63
2018-01-12,47
2018-01-13,28
2018-01-14,10
2018-01-15,13
2018-01-16,46
2018-01-17,37
2018-01-18,78
2018-01-19,44
2018-01-20,15
2018-01-21,10
2018-01-22,31
2018-01-23,48
2018-01-24,39
2018-01-25,51
2018-01-26,60
2018-01-27,26
2018-01-28,10
2018-01-29,37
2018-01-30,37
2018-01-31,85
2018-02-01,47
2018-02-02,48
2018-02-03,18
2018-02-04,7
2018-02-05,69
2018-02-06,69
2018-02-07,42
2018-02-08,51
2018-02-09,51
2018-02-10,18
2018-02-11,3
2018-02-12,61
2018-02-13,67
