date,VRSK stock
2018-02-13,0
2018-02-14,0
2018-02-15,100
2018-02-16,26
2018-02-17,0
2018-02-18,28
2018-02-19,0
2018-02-20,0
2018-02-21,24
2018-02-22,49
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,24
2018-02-27,24
2018-02-28,0
2018-03-01,96
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,36
2018-03-13,24
2018-03-14,36
2018-03-15,49
2018-03-16,25
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,24
2018-03-21,0
2018-03-22,25
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,73
2018-03-27,0
2018-03-28,51
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,29
2018-04-02,26
2018-04-03,24
2018-04-04,25
2018-04-05,25
2018-04-06,26
2018-04-07,0
2018-04-08,0
2018-04-09,49
