date,Liberty Global,isPartial
2011-09-18,0,False
2011-09-19,23,False
2011-09-20,22,False
2011-09-21,0,False
2011-09-22,23,False
2011-09-23,0,False
2011-09-24,0,False
2011-09-25,14,False
2011-09-26,44,False
2011-09-27,45,False
2011-09-28,11,False
2011-09-29,23,False
2011-09-30,12,False
2011-10-01,14,False
2011-10-02,56,False
2011-10-03,46,False
2011-10-04,11,False
2011-10-05,22,False
2011-10-06,34,False
2011-10-07,35,False
2011-10-08,14,False
2011-10-09,0,False
2011-10-10,11,False
2011-10-11,21,False
2011-10-12,0,False
2011-10-13,34,False
2011-10-14,23,False
2011-10-15,27,False
2011-10-16,0,False
2011-10-17,55,False
2011-10-18,11,False
2011-10-19,44,False
2011-10-20,34,False
2011-10-21,59,False
2011-10-22,0,False
2011-10-23,13,False
2011-10-24,43,False
2011-10-25,33,False
2011-10-26,0,False
2011-10-27,0,False
2011-10-28,59,False
2011-10-29,0,False
2011-10-30,13,False
2011-10-31,34,False
2011-11-01,46,False
2011-11-02,33,False
2011-11-03,77,False
2011-11-04,46,False
2011-11-05,13,False
2011-11-06,26,False
2011-11-07,33,False
2011-11-08,0,False
2011-11-09,55,False
2011-11-10,44,False
2011-11-11,12,False
2011-11-12,0,False
2011-11-13,52,False
2011-11-14,54,False
2011-11-15,21,False
2011-11-16,32,False
2011-11-17,22,False
2011-11-18,69,False
2011-11-19,0,False
2011-11-20,13,False
2011-11-21,32,False
2011-11-22,53,False
2011-11-23,33,False
2011-11-24,46,False
2011-11-25,24,False
2011-11-26,0,False
2011-11-27,0,False
2011-11-28,31,False
2011-11-29,32,False
2011-11-30,64,False
2011-12-01,11,False
2011-12-02,45,False
2011-12-03,13,False
2011-12-04,26,False
2011-12-05,42,False
2011-12-06,53,False
2011-12-07,22,False
2011-12-08,0,False
2011-12-09,34,False
2011-12-10,0,False
2011-12-11,38,False
2011-12-12,32,False
2011-12-13,0,False
2011-12-14,43,False
2011-12-15,98,False
2011-12-16,34,False
2011-12-17,26,False
2011-12-18,26,False
2011-12-19,33,False
2011-12-20,33,False
2011-12-21,23,False
2011-12-22,23,False
2011-12-23,25,False
2011-12-24,29,False
2011-12-25,15,False
2011-12-26,0,False
2011-12-27,12,False
2011-12-28,12,False
2011-12-29,12,False
2011-12-30,12,False
2011-12-31,28,False
2012-01-01,0,False
2012-01-02,23,False
2012-01-03,0,False
2012-01-04,0,False
2012-01-05,22,False
2012-01-06,33,False
2012-01-07,13,False
2012-01-08,0,False
2012-01-09,31,False
2012-01-10,20,False
2012-01-11,20,False
2012-01-12,31,False
2012-01-13,32,False
2012-01-14,12,False
2012-01-15,12,False
2012-01-16,10,False
2012-01-17,71,False
2012-01-18,30,False
2012-01-19,51,False
2012-01-20,11,False
2012-01-21,25,False
2012-01-22,0,False
2012-01-23,50,False
2012-01-24,40,False
2012-01-25,51,False
2012-01-26,31,False
2012-01-27,63,False
2012-01-28,24,False
2012-01-29,12,False
2012-01-30,30,False
2012-01-31,10,False
2012-02-01,0,False
2012-02-02,60,False
2012-02-03,21,False
2012-02-04,12,False
2012-02-05,12,False
2012-02-06,20,False
2012-02-07,30,False
2012-02-08,50,False
2012-02-09,30,False
2012-02-10,10,False
2012-02-11,0,False
2012-02-12,0,False
2012-02-13,10,False
2012-02-14,0,False
2012-02-15,60,False
2012-02-16,20,False
2012-02-17,42,False
2012-02-18,12,False
2012-02-19,12,False
2012-02-20,52,False
2012-02-21,31,False
2012-02-22,69,False
2012-02-23,100,False
2012-02-24,31,False
2012-02-25,24,False
2012-02-26,23,False
2012-02-27,59,False
2012-02-28,20,False
2012-02-29,39,False
2012-03-01,21,False
2012-03-02,54,False
2012-03-03,25,False
2012-03-04,0,False
2012-03-05,41,False
2012-03-06,59,False
2012-03-07,49,False
2012-03-08,51,False
2012-03-09,63,False
2012-03-10,0,False
2012-03-11,12,False
2012-03-12,78,False
2012-03-13,0,False
2012-03-14,40,False
2012-03-15,0,False
2012-03-16,32,False
2012-03-17,12,False
2012-03-18,36,False
2012-03-19,30,False
2012-03-20,20,False
2012-03-21,10,False
2012-03-22,51,False
2012-03-23,21,False
2012-03-24,12,False
2012-03-25,12,False
2012-03-26,79,False
2012-03-27,70,False
2012-03-28,20,False
2012-03-29,20,False
2012-03-30,42,False
2012-03-31,12,False
2012-04-01,0,False
2012-04-02,40,False
2012-04-03,50,False
2012-04-04,41,False
2012-04-05,32,False
2012-04-06,11,False
2012-04-07,13,False
2012-04-08,0,False
2012-04-09,24,False
2012-04-10,20,False
2012-04-11,59,False
2012-04-12,30,False
2012-04-13,21,False
2012-04-14,0,False
2012-04-15,0,False
2012-04-16,29,False
2012-04-17,39,False
2012-04-18,49,False
2012-04-19,10,False
2012-04-20,41,False
2012-04-21,24,False
2012-04-22,23,False
