date,Liberty Global,isPartial
2015-04-10,20,False
2015-04-11,13,False
2015-04-12,19,False
2015-04-13,5,False
2015-04-14,32,False
2015-04-15,8,False
2015-04-16,27,False
2015-04-17,11,False
2015-04-18,6,False
2015-04-19,13,False
2015-04-20,46,False
2015-04-21,30,False
2015-04-22,24,False
2015-04-23,33,False
2015-04-24,34,False
2015-04-25,16,False
2015-04-26,13,False
2015-04-27,16,False
2015-04-28,29,False
2015-04-29,30,False
2015-04-30,19,False
2015-05-01,18,False
2015-05-02,13,False
2015-05-03,6,False
2015-05-04,8,False
2015-05-05,24,False
2015-05-06,19,False
2015-05-07,25,False
2015-05-08,31,False
2015-05-09,16,False
2015-05-10,20,False
2015-05-11,24,False
2015-05-12,24,False
2015-05-13,11,False
2015-05-14,14,False
2015-05-15,17,False
2015-05-16,10,False
2015-05-17,16,False
2015-05-18,24,False
2015-05-19,27,False
2015-05-20,53,False
2015-05-21,46,False
2015-05-22,34,False
2015-05-23,20,False
2015-05-24,10,False
2015-05-25,14,False
2015-05-26,48,False
2015-05-27,32,False
2015-05-28,24,False
2015-05-29,20,False
2015-05-30,6,False
2015-05-31,10,False
2015-06-01,22,False
2015-06-02,21,False
2015-06-03,32,False
2015-06-04,28,False
2015-06-05,86,False
2015-06-06,30,False
2015-06-07,23,False
2015-06-08,53,False
2015-06-09,40,False
2015-06-10,24,False
2015-06-11,28,False
2015-06-12,37,False
2015-06-13,7,False
2015-06-14,6,False
2015-06-15,29,False
2015-06-16,21,False
2015-06-17,24,False
2015-06-18,33,False
2015-06-19,25,False
2015-06-20,10,False
2015-06-21,6,False
2015-06-22,35,False
2015-06-23,32,False
2015-06-24,52,False
2015-06-25,25,False
2015-06-26,37,False
2015-06-27,10,False
2015-06-28,19,False
2015-06-29,22,False
2015-06-30,32,False
2015-07-01,52,False
2015-07-02,22,False
2015-07-03,18,False
2015-07-04,10,False
2015-07-05,7,False
2015-07-06,24,False
2015-07-07,27,False
2015-07-08,27,False
2015-07-09,31,False
2015-07-10,34,False
2015-07-11,0,False
2015-07-12,10,False
2015-07-13,24,False
2015-07-14,5,False
2015-07-15,11,False
2015-07-16,20,False
2015-07-17,26,False
2015-07-18,10,False
2015-07-19,21,False
2015-07-20,40,False
2015-07-21,8,False
2015-07-22,33,False
2015-07-23,22,False
2015-07-24,20,False
2015-07-25,3,False
2015-07-26,16,False
2015-07-27,35,False
2015-07-28,29,False
2015-07-29,11,False
2015-07-30,22,False
2015-07-31,23,False
2015-08-01,0,False
2015-08-02,10,False
2015-08-03,24,False
2015-08-04,24,False
2015-08-05,49,False
2015-08-06,33,False
2015-08-07,20,False
2015-08-08,13,False
2015-08-09,6,False
2015-08-10,8,False
2015-08-11,48,False
2015-08-12,35,False
2015-08-13,16,False
2015-08-14,8,False
2015-08-15,6,False
2015-08-16,9,False
2015-08-17,29,False
2015-08-18,27,False
2015-08-19,5,False
2015-08-20,24,False
2015-08-21,16,False
2015-08-22,6,False
2015-08-23,6,False
2015-08-24,15,False
