date,Liberty Global,isPartial
2015-08-18,36,False
2015-08-19,22,False
2015-08-20,27,False
2015-08-21,17,False
2015-08-22,13,False
2015-08-23,9,False
2015-08-24,24,False
2015-08-25,24,False
2015-08-26,21,False
2015-08-27,24,False
2015-08-28,34,False
2015-08-29,16,False
2015-08-30,3,False
2015-08-31,31,False
2015-09-01,34,False
2015-09-02,16,False
2015-09-03,32,False
2015-09-04,8,False
2015-09-05,6,False
2015-09-06,13,False
2015-09-07,8,False
2015-09-08,34,False
2015-09-09,26,False
2015-09-10,18,False
2015-09-11,11,False
2015-09-12,12,False
2015-09-13,18,False
2015-09-14,23,False
2015-09-15,21,False
2015-09-16,34,False
2015-09-17,18,False
2015-09-18,30,False
2015-09-19,6,False
2015-09-20,9,False
2015-09-21,33,False
2015-09-22,15,False
2015-09-23,13,False
2015-09-24,19,False
2015-09-25,17,False
2015-09-26,6,False
2015-09-27,12,False
2015-09-28,55,False
2015-09-29,41,False
2015-09-30,36,False
2015-10-01,18,False
2015-10-02,13,False
2015-10-03,6,False
2015-10-04,9,False
2015-10-05,28,False
2015-10-06,33,False
2015-10-07,23,False
2015-10-08,31,False
2015-10-09,5,False
2015-10-10,6,False
2015-10-11,15,False
2015-10-12,13,False
2015-10-13,23,False
2015-10-14,15,False
2015-10-15,26,False
2015-10-16,8,False
2015-10-17,0,False
2015-10-18,24,False
2015-10-19,20,False
2015-10-20,20,False
2015-10-21,38,False
2015-10-22,79,False
2015-10-23,35,False
2015-10-24,15,False
2015-10-25,17,False
2015-10-26,37,False
2015-10-27,28,False
2015-10-28,32,False
2015-10-29,36,False
2015-10-30,29,False
2015-10-31,12,False
2015-11-01,6,False
2015-11-02,41,False
2015-11-03,33,False
2015-11-04,30,False
2015-11-05,25,False
2015-11-06,34,False
2015-11-07,27,False
2015-11-08,12,False
2015-11-09,27,False
2015-11-10,23,False
2015-11-11,42,False
2015-11-12,44,False
2015-11-13,35,False
2015-11-14,15,False
2015-11-15,6,False
2015-11-16,50,False
2015-11-17,62,False
2015-11-18,55,False
2015-11-19,41,False
2015-11-20,42,False
2015-11-21,15,False
2015-11-22,9,False
2015-11-23,28,False
2015-11-24,40,False
2015-11-25,25,False
2015-11-26,24,False
2015-11-27,21,False
2015-11-28,15,False
2015-11-29,17,False
2015-11-30,17,False
2015-12-01,27,False
2015-12-02,48,False
2015-12-03,23,False
2015-12-04,26,False
2015-12-05,9,False
2015-12-06,6,False
2015-12-07,33,False
2015-12-08,39,False
2015-12-09,10,False
2015-12-10,23,False
2015-12-11,35,False
2015-12-12,15,False
2015-12-13,9,False
2015-12-14,18,False
2015-12-15,26,False
2015-12-16,26,False
2015-12-17,21,False
2015-12-18,8,False
2015-12-19,3,False
2015-12-20,12,False
2015-12-21,24,False
2015-12-22,16,False
2015-12-23,23,False
2015-12-24,3,False
2015-12-25,10,False
2015-12-26,3,False
2015-12-27,9,False
2015-12-28,8,False
2015-12-29,11,False
2015-12-30,23,False
2015-12-31,16,False
2016-01-01,7,False
2016-01-02,6,False
2016-01-03,9,False
2016-01-04,30,False
2016-01-05,41,False
2016-01-06,22,False
2016-01-07,28,False
2016-01-08,31,False
2016-01-09,12,False
2016-01-10,18,False
2016-01-11,31,False
2016-01-12,24,False
2016-01-13,43,False
2016-01-14,21,False
2016-01-15,14,False
2016-01-16,3,False
2016-01-17,12,False
2016-01-18,37,False
2016-01-19,40,False
2016-01-20,27,False
2016-01-21,27,False
2016-01-22,34,False
2016-01-23,9,False
2016-01-24,24,False
2016-01-25,29,False
2016-01-26,16,False
2016-01-27,35,False
2016-01-28,46,False
2016-01-29,14,False
2016-01-30,9,False
2016-01-31,6,False
2016-02-01,11,False
2016-02-02,37,False
2016-02-03,37,False
2016-02-04,32,False
2016-02-05,31,False
2016-02-06,15,False
2016-02-07,12,False
2016-02-08,35,False
2016-02-09,27,False
2016-02-10,37,False
2016-02-11,51,False
2016-02-12,44,False
