date,FB stock
2014-03-16,5
2014-03-17,31
2014-03-18,31
2014-03-19,20
2014-03-20,28
2014-03-21,24
2014-03-22,10
2014-03-23,8
2014-03-24,32
2014-03-25,35
2014-03-26,53
2014-03-27,40
2014-03-28,34
2014-03-29,16
2014-03-30,8
2014-03-31,26
2014-04-01,40
2014-04-02,29
2014-04-03,36
2014-04-04,36
2014-04-05,13
2014-04-06,12
2014-04-07,39
2014-04-08,37
2014-04-09,32
2014-04-10,54
2014-04-11,38
2014-04-12,9
2014-04-13,10
2014-04-14,27
2014-04-15,40
2014-04-16,34
2014-04-17,32
2014-04-18,24
2014-04-19,8
2014-04-20,5
2014-04-21,32
2014-04-22,52
2014-04-23,68
2014-04-24,85
2014-04-25,55
2014-04-26,22
2014-04-27,13
2014-04-28,39
2014-04-29,36
2014-04-30,48
2014-05-01,53
2014-05-02,33
2014-05-03,18
2014-05-04,5
2014-05-05,32
2014-05-06,29
2014-05-07,42
2014-05-08,33
2014-05-09,31
2014-05-10,13
2014-05-11,10
2014-05-12,32
2014-05-13,42
2014-05-14,38
2014-05-15,32
2014-05-16,34
2014-05-17,13
2014-05-18,7
2014-05-19,34
2014-05-20,29
2014-05-21,32
2014-05-22,24
2014-05-23,32
2014-05-24,13
2014-05-25,7
2014-05-26,10
2014-05-27,36
2014-05-28,33
2014-05-29,31
2014-05-30,30
2014-05-31,14
2014-06-01,8
2014-06-02,30
2014-06-03,24
2014-06-04,28
2014-06-05,25
2014-06-06,29
2014-06-07,9
2014-06-08,11
2014-06-09,21
2014-06-10,39
2014-06-11,36
2014-06-12,38
2014-06-13,21
2014-06-14,8
2014-06-15,7
2014-06-16,20
2014-06-17,24
2014-06-18,23
2014-06-19,35
2014-06-20,34
2014-06-21,7
2014-06-22,9
2014-06-23,29
2014-06-24,28
2014-06-25,28
2014-06-26,26
2014-06-27,31
2014-06-28,13
2014-06-29,8
2014-06-30,26
2014-07-01,22
2014-07-02,28
2014-07-03,32
2014-07-04,9
2014-07-05,7
2014-07-06,7
2014-07-07,22
2014-07-08,20
2014-07-09,14
2014-07-10,25
2014-07-11,25
2014-07-12,8
2014-07-13,5
2014-07-14,22
2014-07-15,32
2014-07-16,25
2014-07-17,30
2014-07-18,26
2014-07-19,9
2014-07-20,5
2014-07-21,27
2014-07-22,30
2014-07-23,79
2014-07-24,100
2014-07-25,55
2014-07-26,21
2014-07-27,10
2014-07-28,32
2014-07-29,40
2014-07-30,37
2014-07-31,42
2014-08-01,40
2014-08-02,8
2014-08-03,4
2014-08-04,33
2014-08-05,25
2014-08-06,30
2014-08-07,24
2014-08-08,25
2014-08-09,6
2014-08-10,2
2014-08-11,28
2014-08-12,20
2014-08-13,17
2014-08-14,26
2014-08-15,25
2014-08-16,14
2014-08-17,6
2014-08-18,23
2014-08-19,33
2014-08-20,30
2014-08-21,24
2014-08-22,27
2014-08-23,11
2014-08-24,7
2014-08-25,21
2014-08-26,30
2014-08-27,26
2014-08-28,28
2014-08-29,22
2014-08-30,10
2014-08-31,5
2014-09-01,6
2014-09-02,23
2014-09-03,27
2014-09-04,21
2014-09-05,28
2014-09-06,9
2014-09-07,9
2014-09-08,32
2014-09-09,26
2014-09-10,23
2014-09-11,27
2014-09-12,22
2014-09-13,6
2014-09-14,7
2014-09-15,31
2014-09-16,33
2014-09-17,35
2014-09-18,25
2014-09-19,31
2014-09-20,11
2014-09-21,5
2014-09-22,20
2014-09-23,28
2014-09-24,26
2014-09-25,21
2014-09-26,23
2014-09-27,9
2014-09-28,10
2014-09-29,24
2014-09-30,24
2014-10-01,24
2014-10-02,16
2014-10-03,30
2014-10-04,7
2014-10-05,4
2014-10-06,23
2014-10-07,23
2014-10-08,28
2014-10-09,20
2014-10-10,21
2014-10-11,10
2014-10-12,7
2014-10-13,26
2014-10-14,20
2014-10-15,27
2014-10-16,22
2014-10-17,23
2014-10-18,11
2014-10-19,5
2014-10-20,16
2014-10-21,27
2014-10-22,22
2014-10-23,32
2014-10-24,26
2014-10-25,10
2014-10-26,3
2014-10-27,25
2014-10-28,60
2014-10-29,68
2014-10-30,44
2014-10-31,32
2014-11-01,8
2014-11-02,8
2014-11-03,24
2014-11-04,23
2014-11-05,22
2014-11-06,28
2014-11-07,27
2014-11-08,7
2014-11-09,8
2014-11-10,23
2014-11-11,19
2014-11-12,22
2014-11-13,25
2014-11-14,25
2014-11-15,11
2014-11-16,9
2014-11-17,17
2014-11-18,19
2014-11-19,23
2014-11-20,18
2014-11-21,23
2014-11-22,4
2014-11-23,5
2014-11-24,18
2014-11-25,22
2014-11-26,19
2014-11-27,8
2014-11-28,16
2014-11-29,9
2014-11-30,7
2014-12-01,19
