date,FB stock
2016-09-11,5
2016-09-12,23
2016-09-13,24
2016-09-14,17
2016-09-15,17
2016-09-16,18
2016-09-17,5
2016-09-18,6
2016-09-19,21
2016-09-20,25
2016-09-21,22
2016-09-22,25
2016-09-23,30
2016-09-24,9
2016-09-25,4
2016-09-26,27
2016-09-27,20
2016-09-28,22
2016-09-29,19
2016-09-30,19
2016-10-01,6
2016-10-02,5
2016-10-03,18
2016-10-04,19
2016-10-05,20
2016-10-06,18
2016-10-07,19
2016-10-08,5
2016-10-09,3
2016-10-10,20
2016-10-11,23
2016-10-12,19
2016-10-13,19
2016-10-14,22
2016-10-15,8
2016-10-16,6
2016-10-17,16
2016-10-18,27
2016-10-19,23
2016-10-20,26
2016-10-21,22
2016-10-22,12
2016-10-23,3
2016-10-24,33
2016-10-25,30
2016-10-26,23
2016-10-27,23
2016-10-28,31
2016-10-29,6
2016-10-30,5
2016-10-31,22
2016-11-01,30
2016-11-02,82
2016-11-03,91
2016-11-04,43
2016-11-05,11
2016-11-06,7
2016-11-07,28
2016-11-08,28
2016-11-09,54
2016-11-10,46
2016-11-11,37
2016-11-12,14
2016-11-13,7
2016-11-14,41
2016-11-15,44
2016-11-16,37
2016-11-17,37
2016-11-18,38
2016-11-19,16
2016-11-20,7
2016-11-21,35
2016-11-22,39
2016-11-23,32
2016-11-24,8
2016-11-25,18
2016-11-26,6
2016-11-27,5
2016-11-28,22
2016-11-29,26
2016-11-30,30
2016-12-01,33
2016-12-02,25
2016-12-03,10
2016-12-04,7
2016-12-05,26
2016-12-06,25
2016-12-07,32
2016-12-08,31
2016-12-09,24
2016-12-10,9
2016-12-11,7
2016-12-12,21
2016-12-13,29
2016-12-14,28
2016-12-15,29
2016-12-16,25
2016-12-17,9
2016-12-18,3
2016-12-19,23
2016-12-20,24
2016-12-21,23
2016-12-22,26
2016-12-23,17
2016-12-24,4
2016-12-25,8
2016-12-26,9
2016-12-27,18
2016-12-28,26
2016-12-29,21
2016-12-30,21
2016-12-31,10
2017-01-01,8
2017-01-02,10
2017-01-03,22
2017-01-04,27
2017-01-05,23
2017-01-06,34
2017-01-07,11
2017-01-08,7
2017-01-09,24
2017-01-10,32
2017-01-11,33
2017-01-12,27
2017-01-13,40
2017-01-14,12
2017-01-15,8
2017-01-16,11
2017-01-17,27
2017-01-18,32
2017-01-19,29
2017-01-20,26
2017-01-21,8
2017-01-22,5
2017-01-23,26
2017-01-24,29
2017-01-25,33
2017-01-26,39
2017-01-27,31
2017-01-28,9
2017-01-29,7
2017-01-30,34
2017-01-31,35
2017-02-01,100
2017-02-02,94
2017-02-03,53
2017-02-04,12
2017-02-05,5
2017-02-06,34
2017-02-07,27
2017-02-08,32
2017-02-09,35
2017-02-10,33
2017-02-11,9
2017-02-12,8
2017-02-13,28
2017-02-14,29
2017-02-15,26
2017-02-16,31
2017-02-17,30
2017-02-18,9
2017-02-19,9
2017-02-20,13
2017-02-21,28
2017-02-22,35
2017-02-23,30
2017-02-24,29
2017-02-25,11
2017-02-26,6
2017-02-27,28
2017-02-28,28
2017-03-01,28
2017-03-02,43
2017-03-03,34
2017-03-04,8
2017-03-05,5
2017-03-06,29
2017-03-07,25
2017-03-08,25
2017-03-09,25
2017-03-10,27
2017-03-11,8
2017-03-12,5
2017-03-13,26
2017-03-14,26
2017-03-15,28
2017-03-16,33
2017-03-17,26
2017-03-18,8
2017-03-19,5
2017-03-20,24
2017-03-21,32
2017-03-22,25
2017-03-23,22
2017-03-24,27
2017-03-25,10
2017-03-26,7
2017-03-27,26
2017-03-28,31
2017-03-29,31
2017-03-30,25
2017-03-31,26
2017-04-01,11
2017-04-02,4
2017-04-03,25
2017-04-04,25
2017-04-05,25
2017-04-06,24
2017-04-07,23
2017-04-08,6
2017-04-09,4
2017-04-10,20
2017-04-11,22
2017-04-12,24
2017-04-13,23
2017-04-14,16
2017-04-15,5
2017-04-16,6
2017-04-17,29
2017-04-18,25
2017-04-19,29
2017-04-20,36
2017-04-21,30
2017-04-22,9
2017-04-23,5
2017-04-24,33
2017-04-25,33
2017-04-26,35
2017-04-27,34
2017-04-28,48
2017-04-29,14
2017-04-30,5
2017-05-01,46
2017-05-02,53
2017-05-03,93
2017-05-04,87
2017-05-05,49
2017-05-06,12
2017-05-07,7
2017-05-08,37
2017-05-09,39
2017-05-10,41
2017-05-11,41
2017-05-12,31
2017-05-13,9
2017-05-14,5
2017-05-15,31
2017-05-16,30
2017-05-17,39
2017-05-18,42
2017-05-19,36
2017-05-20,7
2017-05-21,10
2017-05-22,26
2017-05-23,32
2017-05-24,29
2017-05-25,31
2017-05-26,27
2017-05-27,7
2017-05-28,8
2017-05-29,8
