date,FB stock
2015-04-10,24
2015-04-11,8
2015-04-12,4
2015-04-13,15
2015-04-14,21
2015-04-15,20
2015-04-16,26
2015-04-17,25
2015-04-18,12
2015-04-19,9
2015-04-20,23
2015-04-21,30
2015-04-22,57
2015-04-23,48
2015-04-24,38
2015-04-25,12
2015-04-26,14
2015-04-27,16
2015-04-28,31
2015-04-29,27
2015-04-30,20
2015-05-01,36
2015-05-02,9
2015-05-03,9
2015-05-04,24
2015-05-05,23
2015-05-06,25
2015-05-07,18
2015-05-08,29
2015-05-09,16
2015-05-10,8
2015-05-11,23
2015-05-12,17
2015-05-13,21
2015-05-14,25
2015-05-15,26
2015-05-16,12
2015-05-17,7
2015-05-18,21
2015-05-19,18
2015-05-20,17
2015-05-21,17
2015-05-22,20
2015-05-23,10
2015-05-24,7
2015-05-25,10
2015-05-26,28
2015-05-27,23
2015-05-28,20
2015-05-29,21
2015-05-30,11
2015-05-31,9
2015-06-01,23
2015-06-02,23
2015-06-03,23
2015-06-04,22
2015-06-05,21
2015-06-06,11
2015-06-07,7
2015-06-08,20
2015-06-09,16
2015-06-10,24
2015-06-11,19
2015-06-12,23
2015-06-13,14
2015-06-14,14
2015-06-15,19
2015-06-16,21
2015-06-17,22
2015-06-18,23
2015-06-19,23
2015-06-20,10
2015-06-21,9
2015-06-22,23
2015-06-23,41
2015-06-24,38
2015-06-25,33
2015-06-26,43
2015-06-27,10
2015-06-28,13
2015-06-29,28
2015-06-30,26
2015-07-01,24
2015-07-02,32
2015-07-03,17
2015-07-04,9
2015-07-05,12
2015-07-06,22
2015-07-07,24
2015-07-08,34
2015-07-09,28
2015-07-10,27
2015-07-11,16
2015-07-12,10
2015-07-13,36
2015-07-14,36
2015-07-15,22
2015-07-16,29
2015-07-17,51
2015-07-18,24
2015-07-19,17
2015-07-20,50
2015-07-21,46
2015-07-22,40
2015-07-23,41
2015-07-24,50
2015-07-25,22
2015-07-26,12
2015-07-27,37
2015-07-28,52
2015-07-29,99
2015-07-30,89
2015-07-31,52
2015-08-01,24
2015-08-02,19
2015-08-03,42
2015-08-04,41
2015-08-05,44
2015-08-06,43
2015-08-07,38
2015-08-08,21
2015-08-09,24
2015-08-10,39
2015-08-11,42
2015-08-12,41
2015-08-13,32
2015-08-14,34
2015-08-15,23
2015-08-16,17
2015-08-17,29
2015-08-18,32
2015-08-19,22
2015-08-20,30
2015-08-21,49
2015-08-22,21
2015-08-23,12
2015-08-24,84
2015-08-25,62
2015-08-26,62
2015-08-27,55
2015-08-28,41
2015-08-29,16
2015-08-30,13
2015-08-31,30
2015-09-01,37
2015-09-02,40
2015-09-03,36
2015-09-04,32
2015-09-05,14
2015-09-06,16
2015-09-07,15
2015-09-08,33
2015-09-09,35
2015-09-10,36
2015-09-11,31
2015-09-12,15
2015-09-13,15
2015-09-14,28
2015-09-15,36
2015-09-16,31
2015-09-17,29
2015-09-18,29
2015-09-19,16
2015-09-20,13
2015-09-21,30
2015-09-22,26
2015-09-23,31
2015-09-24,36
2015-09-25,36
2015-09-26,13
2015-09-27,12
2015-09-28,40
2015-09-29,40
2015-09-30,35
2015-10-01,26
2015-10-02,28
2015-10-03,15
2015-10-04,12
2015-10-05,33
2015-10-06,25
2015-10-07,28
2015-10-08,22
2015-10-09,30
2015-10-10,10
2015-10-11,16
2015-10-12,21
2015-10-13,28
2015-10-14,32
2015-10-15,33
2015-10-16,34
2015-10-17,20
2015-10-18,12
2015-10-19,32
2015-10-20,30
2015-10-21,25
2015-10-22,41
2015-10-23,51
2015-10-24,23
2015-10-25,11
2015-10-26,37
2015-10-27,47
2015-10-28,38
2015-10-29,47
2015-10-30,37
2015-10-31,14
2015-11-01,14
2015-11-02,46
2015-11-03,57
2015-11-04,82
2015-11-05,100
2015-11-06,63
2015-11-07,26
2015-11-08,14
2015-11-09,39
2015-11-10,48
2015-11-11,41
2015-11-12,31
2015-11-13,39
2015-11-14,19
2015-11-15,12
2015-11-16,37
2015-11-17,43
2015-11-18,33
2015-11-19,34
2015-11-20,34
2015-11-21,12
2015-11-22,11
2015-11-23,35
2015-11-24,26
2015-11-25,34
2015-11-26,14
2015-11-27,22
2015-11-28,17
2015-11-29,8
2015-11-30,30
2015-12-01,33
2015-12-02,41
2015-12-03,38
2015-12-04,38
2015-12-05,13
2015-12-06,11
2015-12-07,24
2015-12-08,36
2015-12-09,31
2015-12-10,30
2015-12-11,29
2015-12-12,9
2015-12-13,13
2015-12-14,24
2015-12-15,31
2015-12-16,30
2015-12-17,27
2015-12-18,34
2015-12-19,16
2015-12-20,11
2015-12-21,26
2015-12-22,32
2015-12-23,26
2015-12-24,29
2015-12-25,14
2015-12-26,6
