date,FB stock
2012-01-26,0
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,1
2012-01-31,0
2012-02-01,4
2012-02-02,7
2012-02-03,3
2012-02-04,2
2012-02-05,1
2012-02-06,2
2012-02-07,1
2012-02-08,1
2012-02-09,1
2012-02-10,1
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,1
2012-02-15,0
2012-02-16,1
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,1
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,1
2012-02-25,0
2012-02-26,0
2012-02-27,1
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,1
2012-03-03,1
2012-03-04,0
2012-03-05,0
2012-03-06,1
2012-03-07,0
2012-03-08,1
2012-03-09,1
2012-03-10,1
2012-03-11,1
2012-03-12,0
2012-03-13,1
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,1
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,1
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,1
2012-04-07,1
2012-04-08,0
2012-04-09,2
2012-04-10,0
2012-04-11,1
2012-04-12,1
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,1
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,1
2012-04-23,1
2012-04-24,1
2012-04-25,0
2012-04-26,0
2012-04-27,1
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,1
2012-05-03,0
2012-05-04,2
2012-05-05,1
2012-05-06,1
2012-05-07,1
2012-05-08,1
2012-05-09,1
2012-05-10,1
2012-05-11,0
2012-05-12,1
2012-05-13,1
2012-05-14,3
2012-05-15,3
2012-05-16,4
2012-05-17,8
2012-05-18,100
2012-05-19,30
2012-05-20,10
2012-05-21,52
2012-05-22,56
2012-05-23,59
2012-05-24,40
2012-05-25,37
2012-05-26,13
2012-05-27,6
2012-05-28,8
2012-05-29,29
2012-05-30,27
2012-05-31,27
2012-06-01,26
2012-06-02,9
2012-06-03,6
2012-06-04,18
2012-06-05,21
2012-06-06,19
2012-06-07,18
2012-06-08,11
2012-06-09,7
2012-06-10,4
2012-06-11,12
2012-06-12,13
2012-06-13,11
2012-06-14,9
2012-06-15,11
2012-06-16,4
2012-06-17,3
2012-06-18,12
2012-06-19,12
2012-06-20,9
2012-06-21,9
2012-06-22,8
2012-06-23,4
2012-06-24,3
2012-06-25,8
2012-06-26,10
2012-06-27,8
2012-06-28,8
2012-06-29,7
2012-06-30,3
2012-07-01,2
2012-07-02,5
2012-07-03,5
2012-07-04,3
2012-07-05,3
2012-07-06,6
2012-07-07,3
2012-07-08,2
2012-07-09,5
2012-07-10,5
2012-07-11,6
2012-07-12,5
2012-07-13,4
2012-07-14,2
2012-07-15,2
2012-07-16,4
2012-07-17,6
2012-07-18,4
2012-07-19,5
2012-07-20,3
2012-07-21,2
2012-07-22,1
2012-07-23,5
2012-07-24,5
2012-07-25,4
2012-07-26,15
2012-07-27,17
2012-07-28,5
2012-07-29,4
2012-07-30,9
2012-07-31,8
2012-08-01,8
2012-08-02,11
2012-08-03,10
2012-08-04,3
2012-08-05,2
2012-08-06,4
2012-08-07,6
2012-08-08,5
2012-08-09,5
2012-08-10,6
2012-08-11,3
2012-08-12,1
2012-08-13,7
2012-08-14,8
2012-08-15,8
2012-08-16,11
2012-08-17,13
2012-08-18,4
2012-08-19,3
2012-08-20,8
2012-08-21,11
2012-08-22,6
2012-08-23,8
2012-08-24,10
2012-08-25,4
2012-08-26,2
2012-08-27,5
2012-08-28,7
2012-08-29,5
2012-08-30,5
2012-08-31,7
2012-09-01,4
2012-09-02,3
2012-09-03,2
2012-09-04,6
2012-09-05,10
2012-09-06,8
2012-09-07,5
2012-09-08,3
2012-09-09,1
2012-09-10,5
2012-09-11,6
2012-09-12,9
2012-09-13,7
2012-09-14,5
2012-09-15,3
2012-09-16,1
2012-09-17,5
2012-09-18,6
2012-09-19,5
2012-09-20,6
2012-09-21,5
2012-09-22,2
2012-09-23,2
2012-09-24,7
2012-09-25,5
2012-09-26,4
2012-09-27,4
2012-09-28,5
2012-09-29,2
2012-09-30,2
2012-10-01,3
2012-10-02,4
2012-10-03,5
2012-10-04,6
2012-10-05,4
2012-10-06,2
2012-10-07,1
2012-10-08,4
2012-10-09,4
2012-10-10,4
2012-10-11,5
2012-10-12,5
