date,CELG stock
2014-12-01,45
2014-12-02,22
2014-12-03,34
2014-12-04,0
2014-12-05,12
2014-12-06,14
2014-12-07,0
2014-12-08,46
2014-12-09,0
2014-12-10,69
2014-12-11,0
2014-12-12,24
2014-12-13,28
2014-12-14,0
2014-12-15,0
2014-12-16,47
2014-12-17,23
2014-12-18,24
2014-12-19,50
2014-12-20,14
2014-12-21,29
2014-12-22,12
2014-12-23,64
2014-12-24,29
2014-12-25,0
2014-12-26,27
2014-12-27,0
2014-12-28,0
2014-12-29,25
2014-12-30,0
2014-12-31,28
2015-01-01,0
2015-01-02,25
2015-01-03,13
2015-01-04,0
2015-01-05,0
2015-01-06,34
2015-01-07,11
2015-01-08,45
2015-01-09,12
2015-01-10,13
2015-01-11,0
2015-01-12,33
2015-01-13,22
2015-01-14,44
2015-01-15,22
2015-01-16,46
2015-01-17,13
2015-01-18,0
2015-01-19,11
2015-01-20,22
2015-01-21,22
2015-01-22,33
2015-01-23,11
2015-01-24,0
2015-01-25,0
2015-01-26,22
2015-01-27,54
2015-01-28,33
2015-01-29,33
2015-01-30,23
2015-01-31,25
2015-02-01,25
2015-02-02,11
2015-02-03,43
2015-02-04,76
2015-02-05,44
2015-02-06,57
2015-02-07,0
2015-02-08,13
2015-02-09,32
2015-02-10,21
2015-02-11,11
2015-02-12,44
2015-02-13,0
2015-02-14,13
2015-02-15,13
2015-02-16,11
2015-02-17,34
2015-02-18,22
2015-02-19,44
2015-02-20,46
2015-02-21,0
2015-02-22,0
2015-02-23,32
2015-02-24,22
2015-02-25,53
2015-02-26,76
2015-02-27,0
2015-02-28,38
2015-03-01,12
2015-03-02,43
2015-03-03,43
2015-03-04,32
2015-03-05,32
2015-03-06,34
2015-03-07,0
2015-03-08,0
2015-03-09,11
2015-03-10,22
2015-03-11,54
2015-03-12,33
2015-03-13,0
2015-03-14,0
2015-03-15,13
2015-03-16,33
2015-03-17,11
2015-03-18,11
2015-03-19,32
2015-03-20,45
2015-03-21,13
2015-03-22,0
2015-03-23,53
2015-03-24,75
2015-03-25,32
2015-03-26,100
2015-03-27,45
2015-03-28,14
2015-03-29,0
2015-03-30,22
2015-03-31,54
2015-04-01,44
2015-04-02,23
2015-04-03,25
2015-04-04,0
2015-04-05,0
2015-04-06,35
2015-04-07,43
2015-04-08,33
2015-04-09,33
2015-04-10,80
2015-04-11,0
2015-04-12,13
2015-04-13,44
2015-04-14,11
2015-04-15,33
2015-04-16,11
2015-04-17,56
2015-04-18,0
2015-04-19,0
2015-04-20,32
2015-04-21,22
2015-04-22,11
2015-04-23,22
2015-04-24,34
2015-04-25,0
2015-04-26,13
2015-04-27,53
2015-04-28,32
2015-04-29,32
2015-04-30,45
2015-05-01,60
2015-05-02,13
2015-05-03,0
2015-05-04,22
2015-05-05,11
2015-05-06,22
2015-05-07,44
2015-05-08,57
2015-05-09,13
2015-05-10,13
2015-05-11,76
2015-05-12,21
2015-05-13,64
2015-05-14,22
2015-05-15,22
2015-05-16,26
2015-05-17,0
2015-05-18,22
2015-05-19,32
2015-05-20,21
2015-05-21,33
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,21
2015-05-27,21
2015-05-28,43
2015-05-29,34
2015-05-30,0
2015-05-31,13
2015-06-01,11
2015-06-02,11
2015-06-03,43
2015-06-04,22
2015-06-05,11
2015-06-06,13
2015-06-07,0
2015-06-08,21
2015-06-09,21
2015-06-10,21
2015-06-11,22
2015-06-12,23
2015-06-13,13
2015-06-14,0
2015-06-15,0
2015-06-16,21
2015-06-17,21
2015-06-18,33
2015-06-19,45
2015-06-20,0
2015-06-21,0
2015-06-22,54
2015-06-23,22
2015-06-24,32
2015-06-25,33
2015-06-26,56
2015-06-27,0
2015-06-28,13
2015-06-29,11
2015-06-30,43
2015-07-01,33
2015-07-02,22
2015-07-03,12
2015-07-04,13
2015-07-05,0
2015-07-06,21
2015-07-07,43
2015-07-08,43
2015-07-09,11
2015-07-10,11
2015-07-11,13
2015-07-12,0
2015-07-13,0
2015-07-14,33
2015-07-15,55
2015-07-16,22
2015-07-17,70
2015-07-18,0
2015-07-19,0
2015-07-20,34
2015-07-21,66
2015-07-22,44
2015-07-23,66
2015-07-24,11
2015-07-25,13
2015-07-26,0
2015-07-27,54
2015-07-28,11
2015-07-29,11
2015-07-30,22
2015-07-31,23
2015-08-01,0
2015-08-02,0
2015-08-03,33
2015-08-04,0
2015-08-05,33
2015-08-06,11
2015-08-07,34
2015-08-08,0
2015-08-09,13
2015-08-10,43
2015-08-11,32
2015-08-12,22
2015-08-13,54
2015-08-14,34
2015-08-15,0
2015-08-16,0
2015-08-17,43
2015-08-18,21
