date,CELG stock
2017-05-29,0
2017-05-30,11
2017-05-31,4
2017-06-01,16
2017-06-02,20
2017-06-03,5
2017-06-04,0
2017-06-05,12
2017-06-06,30
2017-06-07,11
2017-06-08,8
2017-06-09,20
2017-06-10,0
2017-06-11,0
2017-06-12,8
2017-06-13,4
2017-06-14,8
2017-06-15,12
2017-06-16,16
2017-06-17,0
2017-06-18,0
2017-06-19,15
2017-06-20,19
2017-06-21,41
2017-06-22,23
2017-06-23,27
2017-06-24,18
2017-06-25,5
2017-06-26,24
2017-06-27,28
2017-06-28,20
2017-06-29,16
2017-06-30,12
2017-07-01,5
2017-07-02,0
2017-07-03,8
2017-07-04,4
2017-07-05,24
2017-07-06,20
2017-07-07,33
2017-07-08,9
2017-07-09,0
2017-07-10,12
2017-07-11,15
2017-07-12,8
2017-07-13,20
2017-07-14,8
2017-07-15,0
2017-07-16,5
2017-07-17,16
2017-07-18,4
2017-07-19,15
2017-07-20,19
2017-07-21,16
2017-07-22,5
2017-07-23,4
2017-07-24,27
2017-07-25,23
2017-07-26,23
2017-07-27,27
2017-07-28,12
2017-07-29,13
2017-07-30,4
2017-07-31,12
2017-08-01,33
2017-08-02,15
2017-08-03,15
2017-08-04,16
2017-08-05,5
2017-08-06,0
2017-08-07,7
2017-08-08,25
2017-08-09,4
2017-08-10,15
2017-08-11,16
2017-08-12,4
2017-08-13,0
2017-08-14,15
2017-08-15,0
2017-08-16,11
2017-08-17,8
2017-08-18,12
2017-08-19,4
2017-08-20,0
2017-08-21,15
2017-08-22,11
2017-08-23,11
2017-08-24,15
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,4
2017-08-30,11
2017-08-31,15
2017-09-01,16
2017-09-02,0
2017-09-03,0
2017-09-04,4
2017-09-05,11
2017-09-06,11
2017-09-07,15
2017-09-08,12
2017-09-09,4
2017-09-10,0
2017-09-11,15
2017-09-12,22
2017-09-13,15
2017-09-14,11
2017-09-15,8
2017-09-16,9
2017-09-17,4
2017-09-18,15
2017-09-19,22
2017-09-20,11
2017-09-21,19
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,22
2017-09-26,14
2017-09-27,15
2017-09-28,4
2017-09-29,4
2017-09-30,0
2017-10-01,0
2017-10-02,7
2017-10-03,7
2017-10-04,7
2017-10-05,19
2017-10-06,15
2017-10-07,8
2017-10-08,4
2017-10-09,18
2017-10-10,4
2017-10-11,11
2017-10-12,7
2017-10-13,27
2017-10-14,0
2017-10-15,0
2017-10-16,7
2017-10-17,18
2017-10-18,11
2017-10-19,44
2017-10-20,66
2017-10-21,17
2017-10-22,8
2017-10-23,22
2017-10-24,14
2017-10-25,36
2017-10-26,100
2017-10-27,65
2017-10-28,17
2017-10-29,12
2017-10-30,40
2017-10-31,29
2017-11-01,19
2017-11-02,37
2017-11-03,26
2017-11-04,12
2017-11-05,8
2017-11-06,14
2017-11-07,28
2017-11-08,11
2017-11-09,4
2017-11-10,22
2017-11-11,8
2017-11-12,0
2017-11-13,7
2017-11-14,14
2017-11-15,35
2017-11-16,25
2017-11-17,22
2017-11-18,8
2017-11-19,4
2017-11-20,43
2017-11-21,28
2017-11-22,18
2017-11-23,4
2017-11-24,22
2017-11-25,4
2017-11-26,4
2017-11-27,10
2017-11-28,17
2017-11-29,21
2017-11-30,29
2017-12-01,34
2017-12-02,4
2017-12-03,0
2017-12-04,28
2017-12-05,25
2017-12-06,7
2017-12-07,29
2017-12-08,26
2017-12-09,17
2017-12-10,0
2017-12-11,45
2017-12-12,24
2017-12-13,21
2017-12-14,25
2017-12-15,30
2017-12-16,4
2017-12-17,4
2017-12-18,11
2017-12-19,18
2017-12-20,11
2017-12-21,54
2017-12-22,40
2017-12-23,9
2017-12-24,5
2017-12-25,5
2017-12-26,8
2017-12-27,23
2017-12-28,8
2017-12-29,8
2017-12-30,0
2017-12-31,0
2018-01-01,4
2018-01-02,22
2018-01-03,18
2018-01-04,18
2018-01-05,15
2018-01-06,20
2018-01-07,12
2018-01-08,42
2018-01-09,42
2018-01-10,31
2018-01-11,24
2018-01-12,25
2018-01-13,0
2018-01-14,12
2018-01-15,0
2018-01-16,14
2018-01-17,41
2018-01-18,52
2018-01-19,11
2018-01-20,4
2018-01-21,4
2018-01-22,62
2018-01-23,34
2018-01-24,34
2018-01-25,35
2018-01-26,29
2018-01-27,12
2018-01-28,12
2018-01-29,24
2018-01-30,21
2018-01-31,24
2018-02-01,14
2018-02-02,50
2018-02-03,0
2018-02-04,0
2018-02-05,28
2018-02-06,55
2018-02-07,34
2018-02-08,28
2018-02-09,11
2018-02-10,4
2018-02-11,8
2018-02-12,39
2018-02-13,21
