date,Vodafone,isPartial
2017-05-29,88,False
2017-05-30,84,False
2017-05-31,85,False
2017-06-01,83,False
2017-06-02,79,False
2017-06-03,75,False
2017-06-04,67,False
2017-06-05,80,False
2017-06-06,87,False
2017-06-07,84,False
2017-06-08,83,False
2017-06-09,79,False
2017-06-10,77,False
2017-06-11,70,False
2017-06-12,88,False
2017-06-13,85,False
2017-06-14,84,False
2017-06-15,85,False
2017-06-16,86,False
2017-06-17,78,False
2017-06-18,69,False
2017-06-19,100,False
2017-06-20,86,False
2017-06-21,84,False
2017-06-22,85,False
2017-06-23,86,False
2017-06-24,76,False
2017-06-25,72,False
2017-06-26,87,False
2017-06-27,84,False
2017-06-28,89,False
2017-06-29,91,False
2017-06-30,92,False
2017-07-01,82,False
2017-07-02,74,False
2017-07-03,93,False
2017-07-04,94,False
2017-07-05,92,False
2017-07-06,89,False
2017-07-07,87,False
2017-07-08,79,False
2017-07-09,73,False
2017-07-10,91,False
2017-07-11,88,False
2017-07-12,88,False
2017-07-13,88,False
2017-07-14,85,False
2017-07-15,83,False
2017-07-16,73,False
2017-07-17,97,False
2017-07-18,91,False
2017-07-19,91,False
2017-07-20,87,False
2017-07-21,87,False
2017-07-22,85,False
2017-07-23,74,False
2017-07-24,90,False
2017-07-25,91,False
2017-07-26,93,False
2017-07-27,93,False
2017-07-28,88,False
2017-07-29,83,False
2017-07-30,73,False
2017-07-31,97,False
2017-08-01,93,False
2017-08-02,90,False
2017-08-03,89,False
2017-08-04,87,False
2017-08-05,81,False
2017-08-06,72,False
2017-08-07,93,False
2017-08-08,90,False
2017-08-09,88,False
2017-08-10,87,False
2017-08-11,88,False
2017-08-12,80,False
2017-08-13,71,False
2017-08-14,87,False
2017-08-15,79,False
2017-08-16,91,False
2017-08-17,86,False
2017-08-18,86,False
2017-08-19,79,False
2017-08-20,74,False
2017-08-21,91,False
2017-08-22,89,False
2017-08-23,85,False
2017-08-24,85,False
2017-08-25,83,False
2017-08-26,78,False
2017-08-27,72,False
2017-08-28,90,False
2017-08-29,89,False
2017-08-30,91,False
2017-08-31,89,False
2017-09-01,85,False
2017-09-02,82,False
2017-09-03,74,False
2017-09-04,93,False
2017-09-05,90,False
2017-09-06,88,False
2017-09-07,87,False
2017-09-08,84,False
2017-09-09,78,False
2017-09-10,71,False
2017-09-11,91,False
2017-09-12,92,False
2017-09-13,97,False
2017-09-14,90,False
2017-09-15,92,False
2017-09-16,83,False
2017-09-17,75,False
2017-09-18,93,False
2017-09-19,94,False
2017-09-20,89,False
2017-09-21,89,False
2017-09-22,91,False
2017-09-23,83,False
2017-09-24,73,False
2017-09-25,91,False
2017-09-26,89,False
2017-09-27,86,False
2017-09-28,86,False
2017-09-29,88,False
2017-09-30,79,False
2017-10-01,72,False
2017-10-02,85,False
2017-10-03,88,False
2017-10-04,85,False
2017-10-05,89,False
2017-10-06,86,False
2017-10-07,80,False
2017-10-08,74,False
2017-10-09,91,False
2017-10-10,88,False
2017-10-11,86,False
2017-10-12,84,False
2017-10-13,84,False
2017-10-14,79,False
2017-10-15,76,False
2017-10-16,91,False
2017-10-17,87,False
2017-10-18,86,False
2017-10-19,83,False
2017-10-20,85,False
2017-10-21,79,False
2017-10-22,74,False
2017-10-23,90,False
2017-10-24,92,False
2017-10-25,89,False
2017-10-26,90,False
2017-10-27,92,False
2017-10-28,81,False
2017-10-29,80,False
2017-10-30,89,False
2017-10-31,85,False
2017-11-01,87,False
2017-11-02,93,False
2017-11-03,96,False
2017-11-04,86,False
2017-11-05,79,False
2017-11-06,94,False
2017-11-07,92,False
2017-11-08,89,False
2017-11-09,90,False
2017-11-10,95,False
2017-11-11,83,False
2017-11-12,75,False
2017-11-13,89,False
2017-11-14,86,False
2017-11-15,90,False
2017-11-16,87,False
2017-11-17,83,False
2017-11-18,80,False
2017-11-19,74,False
2017-11-20,92,False
2017-11-21,88,False
2017-11-22,88,False
2017-11-23,91,False
2017-11-24,91,False
2017-11-25,81,False
2017-11-26,76,False
2017-11-27,89,False
2017-11-28,86,False
2017-11-29,86,False
2017-11-30,88,False
2017-12-01,86,False
2017-12-02,84,False
2017-12-03,76,False
2017-12-04,89,False
2017-12-05,87,False
2017-12-06,85,False
2017-12-07,87,False
2017-12-08,78,False
2017-12-09,77,False
2017-12-10,73,False
2017-12-11,91,False
2017-12-12,86,False
2017-12-13,86,False
2017-12-14,84,False
2017-12-15,86,False
2017-12-16,77,False
2017-12-17,73,False
2017-12-18,86,False
2017-12-19,90,False
2017-12-20,86,False
2017-12-21,87,False
2017-12-22,86,False
2017-12-23,81,False
2017-12-24,71,False
2017-12-25,82,False
2017-12-26,88,False
2017-12-27,98,False
2017-12-28,94,False
2017-12-29,95,False
2017-12-30,82,False
2017-12-31,67,False
2018-01-01,75,False
2018-01-02,97,False
2018-01-03,95,False
2018-01-04,90,False
2018-01-05,85,False
2018-01-06,79,False
2018-01-07,75,False
2018-01-08,93,False
2018-01-09,88,False
2018-01-10,87,False
2018-01-11,86,False
2018-01-12,83,False
2018-01-13,78,False
2018-01-14,69,False
2018-01-15,88,False
2018-01-16,86,False
2018-01-17,82,False
2018-01-18,84,False
2018-01-19,85,False
2018-01-20,76,False
2018-01-21,71,False
2018-01-22,87,False
2018-01-23,88,False
2018-01-24,83,False
2018-01-25,81,False
2018-01-26,78,False
2018-01-27,73,False
2018-01-28,70,False
2018-01-29,81,False
2018-01-30,81,False
2018-01-31,82,False
2018-02-01,85,False
2018-02-02,80,False
2018-02-03,76,False
2018-02-04,69,False
2018-02-05,83,False
2018-02-06,80,False
2018-02-07,79,False
2018-02-08,80,False
2018-02-09,79,False
2018-02-10,72,False
2018-02-11,66,False
2018-02-12,89,False
2018-02-13,80,False
