date,Vodafone,isPartial
2016-05-04,78,False
2016-05-05,77,False
2016-05-06,74,False
2016-05-07,69,False
2016-05-08,64,False
2016-05-09,79,False
2016-05-10,82,False
2016-05-11,80,False
2016-05-12,78,False
2016-05-13,75,False
2016-05-14,69,False
2016-05-15,64,False
2016-05-16,76,False
2016-05-17,80,False
2016-05-18,75,False
2016-05-19,77,False
2016-05-20,75,False
2016-05-21,72,False
2016-05-22,63,False
2016-05-23,79,False
2016-05-24,78,False
2016-05-25,75,False
2016-05-26,77,False
2016-05-27,77,False
2016-05-28,67,False
2016-05-29,64,False
2016-05-30,83,False
2016-05-31,81,False
2016-06-01,78,False
2016-06-02,79,False
2016-06-03,77,False
2016-06-04,74,False
2016-06-05,65,False
2016-06-06,79,False
2016-06-07,80,False
2016-06-08,80,False
2016-06-09,76,False
2016-06-10,79,False
2016-06-11,70,False
2016-06-12,66,False
2016-06-13,79,False
2016-06-14,80,False
2016-06-15,83,False
2016-06-16,77,False
2016-06-17,76,False
2016-06-18,73,False
2016-06-19,70,False
2016-06-20,81,False
2016-06-21,81,False
2016-06-22,79,False
2016-06-23,76,False
2016-06-24,75,False
2016-06-25,70,False
2016-06-26,63,False
2016-06-27,81,False
2016-06-28,77,False
2016-06-29,86,False
2016-06-30,94,False
2016-07-01,85,False
2016-07-02,74,False
2016-07-03,69,False
2016-07-04,88,False
2016-07-05,83,False
2016-07-06,78,False
2016-07-07,78,False
2016-07-08,78,False
2016-07-09,73,False
2016-07-10,68,False
2016-07-11,86,False
2016-07-12,84,False
2016-07-13,86,False
2016-07-14,82,False
2016-07-15,79,False
2016-07-16,72,False
2016-07-17,73,False
2016-07-18,87,False
2016-07-19,89,False
2016-07-20,80,False
2016-07-21,86,False
2016-07-22,81,False
2016-07-23,78,False
2016-07-24,70,False
2016-07-25,86,False
2016-07-26,83,False
2016-07-27,83,False
2016-07-28,85,False
2016-07-29,84,False
2016-07-30,79,False
2016-07-31,69,False
2016-08-01,90,False
2016-08-02,85,False
2016-08-03,84,False
2016-08-04,84,False
2016-08-05,83,False
2016-08-06,77,False
2016-08-07,69,False
2016-08-08,85,False
2016-08-09,81,False
2016-08-10,79,False
2016-08-11,77,False
2016-08-12,76,False
2016-08-13,74,False
2016-08-14,67,False
2016-08-15,74,False
2016-08-16,79,False
2016-08-17,79,False
2016-08-18,78,False
2016-08-19,80,False
2016-08-20,73,False
2016-08-21,67,False
2016-08-22,85,False
2016-08-23,81,False
2016-08-24,78,False
2016-08-25,81,False
2016-08-26,78,False
2016-08-27,75,False
2016-08-28,68,False
2016-08-29,82,False
2016-08-30,83,False
2016-08-31,87,False
2016-09-01,85,False
2016-09-02,82,False
2016-09-03,81,False
2016-09-04,76,False
2016-09-05,82,False
2016-09-06,84,False
2016-09-07,90,False
2016-09-08,94,False
2016-09-09,100,False
2016-09-10,86,False
2016-09-11,76,False
2016-09-12,90,False
2016-09-13,83,False
2016-09-14,81,False
2016-09-15,87,False
2016-09-16,90,False
2016-09-17,79,False
2016-09-18,75,False
2016-09-19,91,False
2016-09-20,87,False
2016-09-21,87,False
2016-09-22,92,False
2016-09-23,87,False
2016-09-24,81,False
2016-09-25,75,False
2016-09-26,86,False
2016-09-27,87,False
2016-09-28,84,False
2016-09-29,79,False
2016-09-30,80,False
2016-10-01,77,False
2016-10-02,69,False
2016-10-03,83,False
2016-10-04,84,False
2016-10-05,85,False
2016-10-06,82,False
2016-10-07,79,False
2016-10-08,74,False
2016-10-09,69,False
2016-10-10,80,False
2016-10-11,75,False
2016-10-12,78,False
2016-10-13,80,False
2016-10-14,77,False
2016-10-15,72,False
2016-10-16,69,False
2016-10-17,77,False
