date,Express Scripts,isPartial
2013-02-19,78,False
2013-02-20,64,False
2013-02-21,78,False
2013-02-22,77,False
2013-02-23,40,False
2013-02-24,42,False
2013-02-25,81,False
2013-02-26,67,False
2013-02-27,72,False
2013-02-28,81,False
2013-03-01,62,False
2013-03-02,46,False
2013-03-03,45,False
2013-03-04,76,False
2013-03-05,74,False
2013-03-06,73,False
2013-03-07,77,False
2013-03-08,75,False
2013-03-09,35,False
2013-03-10,38,False
2013-03-11,77,False
2013-03-12,82,False
2013-03-13,70,False
2013-03-14,58,False
2013-03-15,60,False
2013-03-16,51,False
2013-03-17,37,False
2013-03-18,78,False
2013-03-19,77,False
2013-03-20,68,False
2013-03-21,67,False
2013-03-22,67,False
2013-03-23,40,False
2013-03-24,38,False
2013-03-25,77,False
2013-03-26,73,False
2013-03-27,67,False
2013-03-28,69,False
2013-03-29,70,False
2013-03-30,42,False
2013-03-31,26,False
2013-04-01,68,False
2013-04-02,83,False
2013-04-03,70,False
2013-04-04,73,False
2013-04-05,66,False
2013-04-06,51,False
2013-04-07,40,False
2013-04-08,81,False
2013-04-09,72,False
2013-04-10,68,False
2013-04-11,83,False
2013-04-12,79,False
2013-04-13,53,False
2013-04-14,32,False
2013-04-15,84,False
2013-04-16,85,False
2013-04-17,61,False
2013-04-18,53,False
2013-04-19,53,False
2013-04-20,40,False
2013-04-21,45,False
2013-04-22,83,False
2013-04-23,88,False
2013-04-24,60,False
2013-04-25,75,False
2013-04-26,60,False
2013-04-27,50,False
2013-04-28,51,False
2013-04-29,68,False
2013-04-30,97,False
2013-05-01,78,False
2013-05-02,62,False
2013-05-03,63,False
2013-05-04,48,False
2013-05-05,35,False
2013-05-06,75,False
2013-05-07,81,False
2013-05-08,76,False
2013-05-09,73,False
2013-05-10,60,False
2013-05-11,40,False
2013-05-12,28,False
2013-05-13,66,False
2013-05-14,88,False
2013-05-15,68,False
2013-05-16,63,False
2013-05-17,62,False
2013-05-18,41,False
