date,Express Scripts,isPartial
2010-08-24,57,False
2010-08-25,58,False
2010-08-26,59,False
2010-08-27,43,False
2010-08-28,41,False
2010-08-29,14,False
2010-08-30,63,False
2010-08-31,60,False
2010-09-01,44,False
2010-09-02,46,False
2010-09-03,47,False
2010-09-04,38,False
2010-09-05,14,False
2010-09-06,25,False
2010-09-07,52,False
2010-09-08,51,False
2010-09-09,50,False
2010-09-10,48,False
2010-09-11,28,False
2010-09-12,31,False
2010-09-13,45,False
2010-09-14,60,False
2010-09-15,58,False
2010-09-16,56,False
2010-09-17,59,False
2010-09-18,20,False
2010-09-19,21,False
2010-09-20,66,False
2010-09-21,51,False
2010-09-22,60,False
2010-09-23,90,False
2010-09-24,59,False
2010-09-25,41,False
2010-09-26,22,False
2010-09-27,68,False
2010-09-28,73,False
2010-09-29,56,False
2010-09-30,59,False
2010-10-01,67,False
2010-10-02,35,False
2010-10-03,34,False
2010-10-04,73,False
2010-10-05,66,False
2010-10-06,46,False
2010-10-07,62,False
2010-10-08,46,False
2010-10-09,39,False
2010-10-10,29,False
2010-10-11,64,False
2010-10-12,66,False
2010-10-13,59,False
2010-10-14,54,False
2010-10-15,30,False
2010-10-16,36,False
2010-10-17,36,False
2010-10-18,59,False
2010-10-19,43,False
2010-10-20,62,False
2010-10-21,53,False
2010-10-22,57,False
2010-10-23,33,False
2010-10-24,22,False
2010-10-25,62,False
2010-10-26,65,False
2010-10-27,53,False
2010-10-28,64,False
2010-10-29,61,False
2010-10-30,36,False
2010-10-31,33,False
2010-11-01,76,False
2010-11-02,67,False
2010-11-03,56,False
2010-11-04,74,False
2010-11-05,74,False
2010-11-06,42,False
2010-11-07,32,False
2010-11-08,49,False
2010-11-09,60,False
2010-11-10,37,False
2010-11-11,49,False
2010-11-12,54,False
2010-11-13,51,False
2010-11-14,32,False
2010-11-15,55,False
2010-11-16,61,False
2010-11-17,75,False
2010-11-18,51,False
2010-11-19,50,False
2010-11-20,42,False
2010-11-21,35,False
2010-11-22,60,False
2010-11-23,59,False
2010-11-24,53,False
2010-11-25,37,False
2010-11-26,55,False
2010-11-27,35,False
2010-11-28,28,False
2010-11-29,58,False
2010-11-30,67,False
2010-12-01,50,False
2010-12-02,66,False
2010-12-03,60,False
2010-12-04,37,False
2010-12-05,31,False
2010-12-06,47,False
2010-12-07,61,False
2010-12-08,51,False
2010-12-09,44,False
2010-12-10,42,False
2010-12-11,36,False
2010-12-12,35,False
2010-12-13,54,False
2010-12-14,63,False
2010-12-15,52,False
2010-12-16,46,False
2010-12-17,56,False
2010-12-18,29,False
2010-12-19,22,False
2010-12-20,64,False
2010-12-21,46,False
2010-12-22,58,False
2010-12-23,49,False
2010-12-24,54,False
2010-12-25,18,False
2010-12-26,30,False
2010-12-27,70,False
2010-12-28,52,False
2010-12-29,63,False
2010-12-30,68,False
2010-12-31,55,False
2011-01-01,46,False
2011-01-02,29,False
2011-01-03,93,False
2011-01-04,100,False
2011-01-05,88,False
2011-01-06,70,False
2011-01-07,67,False
2011-01-08,58,False
2011-01-09,37,False
2011-01-10,86,False
2011-01-11,81,False
2011-01-12,72,False
2011-01-13,58,False
2011-01-14,73,False
2011-01-15,42,False
2011-01-16,45,False
2011-01-17,59,False
2011-01-18,79,False
2011-01-19,69,False
2011-01-20,64,False
2011-01-21,68,False
2011-01-22,46,False
2011-01-23,25,False
2011-01-24,72,False
2011-01-25,76,False
2011-01-26,79,False
2011-01-27,50,False
2011-01-28,60,False
2011-01-29,47,False
2011-01-30,37,False
2011-01-31,72,False
2011-02-01,59,False
2011-02-02,73,False
2011-02-03,75,False
2011-02-04,65,False
2011-02-05,43,False
2011-02-06,38,False
2011-02-07,69,False
2011-02-08,61,False
2011-02-09,47,False
2011-02-10,67,False
2011-02-11,39,False
2011-02-12,46,False
2011-02-13,34,False
2011-02-14,56,False
2011-02-15,71,False
2011-02-16,70,False
2011-02-17,53,False
2011-02-18,50,False
2011-02-19,61,False
2011-02-20,50,False
2011-02-21,51,False
2011-02-22,63,False
2011-02-23,70,False
2011-02-24,67,False
2011-02-25,51,False
2011-02-26,37,False
2011-02-27,35,False
2011-02-28,56,False
2011-03-01,60,False
2011-03-02,59,False
2011-03-03,52,False
2011-03-04,64,False
2011-03-05,40,False
2011-03-06,31,False
2011-03-07,50,False
2011-03-08,72,False
2011-03-09,42,False
2011-03-10,63,False
2011-03-11,53,False
2011-03-12,41,False
2011-03-13,26,False
2011-03-14,46,False
2011-03-15,66,False
2011-03-16,74,False
2011-03-17,52,False
2011-03-18,49,False
2011-03-19,26,False
2011-03-20,37,False
2011-03-21,55,False
2011-03-22,60,False
2011-03-23,82,False
2011-03-24,60,False
2011-03-25,53,False
2011-03-26,25,False
2011-03-27,35,False
2011-03-28,65,False
2011-03-29,71,False
2011-03-30,57,False
2011-03-31,56,False
2011-04-01,77,False
2011-04-02,46,False
2011-04-03,37,False
2011-04-04,49,False
2011-04-05,76,False
2011-04-06,49,False
2011-04-07,57,False
2011-04-08,60,False
2011-04-09,28,False
2011-04-10,30,False
2011-04-11,65,False
2011-04-12,60,False
2011-04-13,53,False
2011-04-14,57,False
2011-04-15,51,False
2011-04-16,32,False
2011-04-17,41,False
2011-04-18,72,False
2011-04-19,68,False
2011-04-20,66,False
2011-04-21,47,False
2011-04-22,42,False
2011-04-23,44,False
2011-04-24,27,False
2011-04-25,61,False
2011-04-26,70,False
2011-04-27,57,False
2011-04-28,44,False
2011-04-29,47,False
2011-04-30,25,False
2011-05-01,31,False
2011-05-02,49,False
2011-05-03,52,False
2011-05-04,47,False
2011-05-05,59,False
2011-05-06,55,False
2011-05-07,22,False
2011-05-08,38,False
2011-05-09,55,False
2011-05-10,38,False
2011-05-11,57,False
