date,Intel,isPartial
2017-10-06,37,False
2017-10-07,35,False
2017-10-08,34,False
2017-10-09,36,False
2017-10-10,36,False
2017-10-11,37,False
2017-10-12,36,False
2017-10-13,36,False
2017-10-14,33,False
2017-10-15,34,False
2017-10-16,36,False
2017-10-17,36,False
2017-10-18,37,False
2017-10-19,37,False
2017-10-20,35,False
2017-10-21,32,False
2017-10-22,32,False
2017-10-23,36,False
2017-10-24,36,False
2017-10-25,36,False
2017-10-26,37,False
2017-10-27,38,False
2017-10-28,34,False
2017-10-29,34,False
2017-10-30,36,False
2017-10-31,36,False
2017-11-01,36,False
2017-11-02,38,False
2017-11-03,36,False
2017-11-04,34,False
2017-11-05,33,False
2017-11-06,40,False
2017-11-07,40,False
2017-11-08,40,False
2017-11-09,40,False
2017-11-10,40,False
2017-11-11,36,False
2017-11-12,36,False
2017-11-13,37,False
2017-11-14,38,False
2017-11-15,39,False
2017-11-16,38,False
2017-11-17,39,False
2017-11-18,35,False
2017-11-19,36,False
2017-11-20,42,False
2017-11-21,42,False
2017-11-22,42,False
2017-11-23,47,False
2017-11-24,56,False
2017-11-25,43,False
2017-11-26,39,False
2017-11-27,45,False
2017-11-28,41,False
2017-11-29,40,False
2017-11-30,38,False
2017-12-01,38,False
2017-12-02,34,False
2017-12-03,35,False
2017-12-04,36,False
2017-12-05,38,False
2017-12-06,37,False
2017-12-07,37,False
2017-12-08,36,False
2017-12-09,34,False
2017-12-10,33,False
2017-12-11,36,False
2017-12-12,37,False
2017-12-13,37,False
2017-12-14,37,False
2017-12-15,36,False
2017-12-16,35,False
2017-12-17,35,False
2017-12-18,36,False
2017-12-19,37,False
2017-12-20,37,False
2017-12-21,36,False
2017-12-22,35,False
2017-12-23,33,False
2017-12-24,33,False
2017-12-25,37,False
2017-12-26,39,False
2017-12-27,40,False
2017-12-28,37,False
2017-12-29,37,False
2017-12-30,33,False
2017-12-31,30,False
2018-01-01,30,False
2018-01-02,37,False
2018-01-03,73,False
2018-01-04,100,False
2018-01-05,83,False
2018-01-06,54,False
2018-01-07,45,False
2018-01-08,53,False
2018-01-09,54,False
2018-01-10,50,False
2018-01-11,48,False
2018-01-12,47,False
2018-01-13,39,False
2018-01-14,38,False
2018-01-15,41,False
2018-01-16,42,False
2018-01-17,40,False
2018-01-18,41,False
2018-01-19,42,False
2018-01-20,36,False
2018-01-21,34,False
2018-01-22,39,False
2018-01-23,41,False
