date,Intel,isPartial
2012-01-26,93,False
2012-01-27,95,False
2012-01-28,94,False
2012-01-29,91,False
2012-01-30,94,False
2012-01-31,93,False
2012-02-01,92,False
2012-02-02,93,False
2012-02-03,92,False
2012-02-04,91,False
2012-02-05,84,False
2012-02-06,91,False
2012-02-07,93,False
2012-02-08,94,False
2012-02-09,94,False
2012-02-10,93,False
2012-02-11,90,False
2012-02-12,80,False
2012-02-13,87,False
2012-02-14,86,False
2012-02-15,92,False
2012-02-16,94,False
2012-02-17,94,False
2012-02-18,90,False
2012-02-19,90,False
2012-02-20,90,False
2012-02-21,90,False
2012-02-22,92,False
2012-02-23,90,False
2012-02-24,94,False
2012-02-25,90,False
2012-02-26,84,False
2012-02-27,90,False
2012-02-28,92,False
2012-02-29,96,False
2012-03-01,93,False
2012-03-02,95,False
2012-03-03,98,False
2012-03-04,90,False
2012-03-05,95,False
2012-03-06,98,False
2012-03-07,96,False
2012-03-08,94,False
2012-03-09,98,False
2012-03-10,96,False
2012-03-11,86,False
2012-03-12,89,False
2012-03-13,92,False
2012-03-14,92,False
2012-03-15,89,False
2012-03-16,89,False
2012-03-17,87,False
2012-03-18,81,False
2012-03-19,87,False
2012-03-20,86,False
2012-03-21,90,False
2012-03-22,88,False
2012-03-23,87,False
2012-03-24,85,False
2012-03-25,77,False
2012-03-26,86,False
2012-03-27,86,False
2012-03-28,85,False
2012-03-29,86,False
2012-03-30,87,False
2012-03-31,81,False
2012-04-01,79,False
2012-04-02,84,False
2012-04-03,87,False
2012-04-04,88,False
2012-04-05,88,False
2012-04-06,89,False
2012-04-07,85,False
2012-04-08,80,False
2012-04-09,86,False
2012-04-10,89,False
2012-04-11,89,False
2012-04-12,87,False
2012-04-13,90,False
2012-04-14,85,False
2012-04-15,83,False
2012-04-16,84,False
2012-04-17,91,False
2012-04-18,90,False
2012-04-19,93,False
2012-04-20,94,False
2012-04-21,86,False
2012-04-22,81,False
2012-04-23,97,False
2012-04-24,94,False
2012-04-25,89,False
2012-04-26,93,False
2012-04-27,89,False
2012-04-28,87,False
2012-04-29,91,False
2012-04-30,92,False
2012-05-01,90,False
2012-05-02,89,False
2012-05-03,92,False
2012-05-04,91,False
2012-05-05,87,False
2012-05-06,83,False
2012-05-07,87,False
2012-05-08,86,False
2012-05-09,87,False
2012-05-10,90,False
2012-05-11,90,False
2012-05-12,85,False
2012-05-13,84,False
2012-05-14,88,False
2012-05-15,100,False
2012-05-16,97,False
2012-05-17,90,False
2012-05-18,96,False
2012-05-19,92,False
2012-05-20,83,False
2012-05-21,89,False
2012-05-22,90,False
2012-05-23,90,False
2012-05-24,88,False
2012-05-25,87,False
2012-05-26,83,False
2012-05-27,80,False
2012-05-28,85,False
2012-05-29,88,False
2012-05-30,88,False
2012-05-31,88,False
2012-06-01,86,False
2012-06-02,87,False
2012-06-03,81,False
2012-06-04,86,False
2012-06-05,91,False
2012-06-06,89,False
2012-06-07,91,False
2012-06-08,90,False
2012-06-09,89,False
2012-06-10,83,False
2012-06-11,90,False
2012-06-12,96,False
2012-06-13,97,False
2012-06-14,93,False
2012-06-15,93,False
2012-06-16,90,False
2012-06-17,84,False
2012-06-18,92,False
2012-06-19,98,False
2012-06-20,94,False
2012-06-21,93,False
2012-06-22,91,False
2012-06-23,89,False
2012-06-24,89,False
2012-06-25,90,False
2012-06-26,96,False
2012-06-27,93,False
2012-06-28,89,False
2012-06-29,90,False
2012-06-30,87,False
2012-07-01,78,False
2012-07-02,88,False
2012-07-03,89,False
2012-07-04,90,False
2012-07-05,90,False
2012-07-06,87,False
2012-07-07,88,False
2012-07-08,86,False
2012-07-09,87,False
2012-07-10,92,False
2012-07-11,91,False
2012-07-12,92,False
2012-07-13,96,False
2012-07-14,90,False
2012-07-15,86,False
2012-07-16,90,False
2012-07-17,95,False
2012-07-18,97,False
2012-07-19,92,False
2012-07-20,94,False
2012-07-21,88,False
2012-07-22,88,False
2012-07-23,87,False
2012-07-24,94,False
2012-07-25,90,False
2012-07-26,91,False
2012-07-27,87,False
2012-07-28,81,False
2012-07-29,82,False
2012-07-30,90,False
2012-07-31,89,False
2012-08-01,88,False
2012-08-02,90,False
2012-08-03,91,False
2012-08-04,89,False
2012-08-05,82,False
2012-08-06,87,False
2012-08-07,93,False
2012-08-08,90,False
2012-08-09,90,False
2012-08-10,90,False
2012-08-11,90,False
2012-08-12,85,False
2012-08-13,92,False
2012-08-14,96,False
2012-08-15,96,False
2012-08-16,95,False
2012-08-17,96,False
2012-08-18,90,False
2012-08-19,90,False
2012-08-20,95,False
2012-08-21,97,False
2012-08-22,96,False
2012-08-23,95,False
2012-08-24,97,False
2012-08-25,91,False
2012-08-26,87,False
2012-08-27,92,False
2012-08-28,98,False
2012-08-29,94,False
2012-08-30,95,False
2012-08-31,93,False
2012-09-01,94,False
2012-09-02,89,False
2012-09-03,94,False
2012-09-04,97,False
2012-09-05,97,False
2012-09-06,96,False
2012-09-07,94,False
2012-09-08,89,False
2012-09-09,88,False
2012-09-10,92,False
2012-09-11,97,False
2012-09-12,98,False
2012-09-13,97,False
2012-09-14,99,False
2012-09-15,92,False
2012-09-16,88,False
2012-09-17,91,False
2012-09-18,97,False
2012-09-19,94,False
2012-09-20,92,False
2012-09-21,94,False
2012-09-22,94,False
2012-09-23,85,False
2012-09-24,88,False
2012-09-25,95,False
2012-09-26,95,False
2012-09-27,96,False
2012-09-28,92,False
2012-09-29,88,False
2012-09-30,84,False
2012-10-01,90,False
2012-10-02,88,False
2012-10-03,92,False
2012-10-04,86,False
2012-10-05,85,False
2012-10-06,86,False
2012-10-07,81,False
2012-10-08,86,False
2012-10-09,89,False
2012-10-10,87,False
2012-10-11,89,False
2012-10-12,88,False
