date,Microchip Technology,isPartial
2013-06-29,20,False
2013-06-30,0,False
2013-07-01,0,False
2013-07-02,16,False
2013-07-03,32,False
2013-07-04,17,False
2013-07-05,17,False
2013-07-06,0,False
2013-07-07,20,False
2013-07-08,32,False
2013-07-09,16,False
2013-07-10,16,False
2013-07-11,49,False
2013-07-12,0,False
2013-07-13,0,False
2013-07-14,19,False
2013-07-15,16,False
2013-07-16,32,False
2013-07-17,49,False
2013-07-18,66,False
2013-07-19,17,False
2013-07-20,0,False
2013-07-21,20,False
2013-07-22,0,False
2013-07-23,32,False
2013-07-24,0,False
2013-07-25,33,False
2013-07-26,17,False
2013-07-27,0,False
2013-07-28,19,False
2013-07-29,32,False
2013-07-30,16,False
2013-07-31,32,False
2013-08-01,32,False
2013-08-02,17,False
2013-08-03,20,False
2013-08-04,0,False
2013-08-05,49,False
2013-08-06,0,False
2013-08-07,49,False
2013-08-08,33,False
2013-08-09,17,False
2013-08-10,0,False
2013-08-11,39,False
2013-08-12,16,False
2013-08-13,0,False
2013-08-14,32,False
2013-08-15,0,False
2013-08-16,17,False
2013-08-17,19,False
2013-08-18,0,False
2013-08-19,32,False
2013-08-20,32,False
2013-08-21,0,False
2013-08-22,16,False
2013-08-23,83,False
2013-08-24,19,False
2013-08-25,19,False
2013-08-26,31,False
2013-08-27,46,False
2013-08-28,16,False
2013-08-29,31,False
2013-08-30,32,False
2013-08-31,38,False
2013-09-01,18,False
2013-09-02,16,False
2013-09-03,15,False
2013-09-04,15,False
2013-09-05,62,False
2013-09-06,65,False
2013-09-07,0,False
2013-09-08,18,False
2013-09-09,15,False
2013-09-10,30,False
2013-09-11,30,False
2013-09-12,30,False
2013-09-13,32,False
2013-09-14,18,False
2013-09-15,18,False
2013-09-16,0,False
2013-09-17,30,False
2013-09-18,15,False
2013-09-19,0,False
2013-09-20,0,False
2013-09-21,0,False
2013-09-22,18,False
2013-09-23,30,False
2013-09-24,0,False
2013-09-25,30,False
2013-09-26,31,False
2013-09-27,32,False
2013-09-28,18,False
2013-09-29,18,False
2013-09-30,45,False
2013-10-01,44,False
2013-10-02,15,False
2013-10-03,46,False
2013-10-04,16,False
2013-10-05,0,False
2013-10-06,17,False
2013-10-07,0,False
2013-10-08,74,False
2013-10-09,61,False
2013-10-10,15,False
2013-10-11,16,False
2013-10-12,18,False
2013-10-13,0,False
2013-10-14,15,False
2013-10-15,30,False
2013-10-16,15,False
2013-10-17,15,False
2013-10-18,48,False
2013-10-19,0,False
2013-10-20,52,False
2013-10-21,0,False
2013-10-22,15,False
2013-10-23,29,False
2013-10-24,0,False
2013-10-25,31,False
2013-10-26,18,False
2013-10-27,17,False
2013-10-28,58,False
2013-10-29,14,False
2013-10-30,15,False
2013-10-31,15,False
2013-11-01,32,False
2013-11-02,36,False
2013-11-03,35,False
2013-11-04,15,False
2013-11-05,14,False
2013-11-06,15,False
2013-11-07,0,False
2013-11-08,46,False
2013-11-09,18,False
2013-11-10,0,False
2013-11-11,44,False
2013-11-12,0,False
2013-11-13,45,False
2013-11-14,15,False
2013-11-15,15,False
2013-11-16,70,False
2013-11-17,17,False
2013-11-18,44,False
2013-11-19,15,False
2013-11-20,15,False
2013-11-21,15,False
2013-11-22,0,False
2013-11-23,17,False
2013-11-24,17,False
2013-11-25,0,False
2013-11-26,100,False
2013-11-27,0,False
2013-11-28,16,False
2013-11-29,16,False
2013-11-30,18,False
2013-12-01,0,False
2013-12-02,42,False
2013-12-03,14,False
2013-12-04,0,False
2013-12-05,29,False
2013-12-06,30,False
2013-12-07,0,False
2013-12-08,17,False
2013-12-09,0,False
2013-12-10,14,False
2013-12-11,44,False
2013-12-12,30,False
2013-12-13,31,False
2013-12-14,0,False
2013-12-15,17,False
2013-12-16,29,False
2013-12-17,15,False
2013-12-18,15,False
2013-12-19,31,False
2013-12-20,16,False
2013-12-21,18,False
2013-12-22,0,False
2013-12-23,49,False
2013-12-24,0,False
2013-12-25,0,False
2013-12-26,0,False
2013-12-27,16,False
2013-12-28,0,False
2013-12-29,18,False
2013-12-30,32,False
2013-12-31,0,False
2014-01-01,0,False
2014-01-02,30,False
2014-01-03,0,False
2014-01-04,0,False
2014-01-05,50,False
2014-01-06,0,False
2014-01-07,14,False
2014-01-08,57,False
2014-01-09,43,False
2014-01-10,74,False
2014-01-11,0,False
2014-01-12,0,False
2014-01-13,28,False
2014-01-14,42,False
2014-01-15,0,False
2014-01-16,14,False
2014-01-17,15,False
2014-01-18,0,False
2014-01-19,0,False
2014-01-20,0,False
2014-01-21,42,False
2014-01-22,14,False
2014-01-23,0,False
2014-01-24,44,False
2014-01-25,49,False
2014-01-26,16,False
2014-01-27,41,False
2014-01-28,28,False
2014-01-29,28,False
2014-01-30,71,False
2014-01-31,58,False
2014-02-01,16,False
2014-02-02,64,False
2014-02-03,14,False
2014-02-04,14,False
2014-02-05,28,False
2014-02-06,57,False
2014-02-07,31,False
2014-02-08,16,False
2014-02-09,0,False
2014-02-10,41,False
2014-02-11,55,False
2014-02-12,27,False
2014-02-13,14,False
2014-02-14,14,False
2014-02-15,0,False
2014-02-16,0,False
2014-02-17,0,False
2014-02-18,0,False
2014-02-19,0,False
2014-02-20,84,False
2014-02-21,15,False
2014-02-22,16,False
2014-02-23,0,False
2014-02-24,41,False
2014-02-25,55,False
2014-02-26,27,False
