date,Microchip Technology,isPartial
2015-12-26,20,False
2015-12-27,0,False
2015-12-28,0,False
2015-12-29,18,False
2015-12-30,36,False
2015-12-31,0,False
2016-01-01,0,False
2016-01-02,41,False
2016-01-03,20,False
2016-01-04,18,False
2016-01-05,35,False
2016-01-06,53,False
2016-01-07,35,False
2016-01-08,0,False
2016-01-09,0,False
2016-01-10,0,False
2016-01-11,51,False
2016-01-12,51,False
2016-01-13,35,False
2016-01-14,17,False
2016-01-15,18,False
2016-01-16,39,False
2016-01-17,0,False
2016-01-18,86,False
2016-01-19,17,False
2016-01-20,52,False
2016-01-21,35,False
2016-01-22,18,False
2016-01-23,39,False
2016-01-24,19,False
2016-01-25,0,False
2016-01-26,51,False
2016-01-27,51,False
2016-01-28,0,False
2016-01-29,0,False
2016-01-30,0,False
2016-01-31,19,False
2016-02-01,34,False
2016-02-02,17,False
2016-02-03,34,False
2016-02-04,17,False
2016-02-05,0,False
2016-02-06,0,False
2016-02-07,19,False
2016-02-08,35,False
2016-02-09,69,False
2016-02-10,51,False
2016-02-11,34,False
2016-02-12,18,False
2016-02-13,58,False
2016-02-14,0,False
2016-02-15,51,False
2016-02-16,100,False
2016-02-17,51,False
2016-02-18,33,False
2016-02-19,0,False
2016-02-20,0,False
2016-02-21,0,False
2016-02-22,100,False
2016-02-23,16,False
2016-02-24,50,False
2016-02-25,17,False
2016-02-26,53,False
2016-02-27,0,False
2016-02-28,0,False
2016-02-29,16,False
2016-03-01,50,False
2016-03-02,66,False
2016-03-03,34,False
2016-03-04,35,False
2016-03-05,0,False
2016-03-06,56,False
2016-03-07,100,False
2016-03-08,0,False
2016-03-09,17,False
2016-03-10,34,False
2016-03-11,0,False
2016-03-12,0,False
2016-03-13,57,False
2016-03-14,50,False
2016-03-15,34,False
2016-03-16,17,False
2016-03-17,17,False
2016-03-18,36,False
2016-03-19,19,False
2016-03-20,38,False
2016-03-21,51,False
2016-03-22,0,False
2016-03-23,17,False
2016-03-24,0,False
2016-03-25,19,False
2016-03-26,41,False
2016-03-27,0,False
2016-03-28,18,False
2016-03-29,33,False
2016-03-30,0,False
2016-03-31,85,False
2016-04-01,36,False
2016-04-02,0,False
2016-04-03,0,False
2016-04-04,0,False
2016-04-05,17,False
2016-04-06,17,False
2016-04-07,68,False
2016-04-08,35,False
2016-04-09,0,False
2016-04-10,19,False
