date,Microchip Technology,isPartial
2013-11-06,29,False
2013-11-07,23,False
2013-11-08,40,False
2013-11-09,18,False
2013-11-10,0,False
2013-11-11,30,False
2013-11-12,44,False
2013-11-13,15,False
2013-11-14,45,False
2013-11-15,16,False
2013-11-16,44,False
2013-11-17,26,False
2013-11-18,52,False
2013-11-19,29,False
2013-11-20,22,False
2013-11-21,45,False
2013-11-22,54,False
2013-11-23,17,False
2013-11-24,26,False
2013-11-25,15,False
2013-11-26,51,False
2013-11-27,44,False
2013-11-28,24,False
2013-11-29,32,False
2013-11-30,18,False
2013-12-01,0,False
2013-12-02,21,False
2013-12-03,29,False
2013-12-04,14,False
2013-12-05,22,False
2013-12-06,31,False
2013-12-07,35,False
2013-12-08,35,False
2013-12-09,58,False
2013-12-10,51,False
2013-12-11,37,False
2013-12-12,23,False
2013-12-13,16,False
2013-12-14,18,False
2013-12-15,35,False
2013-12-16,30,False
2013-12-17,38,False
2013-12-18,15,False
2013-12-19,47,False
2013-12-20,17,False
2013-12-21,18,False
2013-12-22,0,False
2013-12-23,17,False
2013-12-24,18,False
2013-12-25,20,False
2013-12-26,17,False
2013-12-27,16,False
2013-12-28,36,False
2013-12-29,18,False
2013-12-30,32,False
2013-12-31,0,False
2014-01-01,0,False
2014-01-02,31,False
2014-01-03,0,False
2014-01-04,17,False
2014-01-05,26,False
2014-01-06,0,False
2014-01-07,15,False
2014-01-08,22,False
2014-01-09,15,False
2014-01-10,15,False
2014-01-11,0,False
2014-01-12,0,False
2014-01-13,28,False
2014-01-14,29,False
2014-01-15,29,False
2014-01-16,43,False
2014-01-17,67,False
2014-01-18,17,False
2014-01-19,25,False
2014-01-20,43,False
2014-01-21,14,False
2014-01-22,14,False
2014-01-23,14,False
2014-01-24,52,False
2014-01-25,33,False
2014-01-26,17,False
2014-01-27,28,False
2014-01-28,21,False
2014-01-29,42,False
2014-01-30,51,False
2014-01-31,45,False
2014-02-01,25,False
2014-02-02,33,False
2014-02-03,21,False
2014-02-04,21,False
2014-02-05,57,False
2014-02-06,59,False
2014-02-07,32,False
2014-02-08,33,False
2014-02-09,0,False
2014-02-10,84,False
2014-02-11,56,False
2014-02-12,28,False
2014-02-13,14,False
2014-02-14,15,False
2014-02-15,17,False
2014-02-16,16,False
2014-02-17,21,False
2014-02-18,14,False
2014-02-19,21,False
2014-02-20,57,False
2014-02-21,30,False
2014-02-22,16,False
2014-02-23,16,False
2014-02-24,41,False
2014-02-25,35,False
2014-02-26,14,False
2014-02-27,42,False
2014-02-28,60,False
2014-03-01,17,False
2014-03-02,16,False
2014-03-03,14,False
2014-03-04,14,False
2014-03-05,42,False
2014-03-06,43,False
2014-03-07,30,False
2014-03-08,17,False
2014-03-09,17,False
2014-03-10,21,False
