date,qqq,isPartial
2012-01-26,56,False
2012-01-27,50,False
2012-01-28,81,False
2012-01-29,76,False
2012-01-30,67,False
2012-01-31,68,False
2012-02-01,88,False
2012-02-02,59,False
2012-02-03,69,False
2012-02-04,61,False
2012-02-05,61,False
2012-02-06,70,False
2012-02-07,68,False
2012-02-08,62,False
2012-02-09,93,False
2012-02-10,80,False
2012-02-11,72,False
2012-02-12,66,False
2012-02-13,68,False
2012-02-14,62,False
2012-02-15,76,False
2012-02-16,85,False
2012-02-17,67,False
2012-02-18,67,False
2012-02-19,66,False
2012-02-20,69,False
2012-02-21,77,False
2012-02-22,66,False
2012-02-23,72,False
2012-02-24,86,False
2012-02-25,69,False
2012-02-26,70,False
2012-02-27,71,False
2012-02-28,72,False
2012-02-29,88,False
2012-03-01,66,False
2012-03-02,69,False
2012-03-03,66,False
2012-03-04,77,False
2012-03-05,53,False
2012-03-06,67,False
2012-03-07,71,False
2012-03-08,80,False
2012-03-09,84,False
2012-03-10,73,False
2012-03-11,67,False
2012-03-12,62,False
2012-03-13,71,False
2012-03-14,89,False
2012-03-15,76,False
2012-03-16,91,False
2012-03-17,65,False
2012-03-18,75,False
2012-03-19,61,False
2012-03-20,80,False
2012-03-21,63,False
2012-03-22,90,False
2012-03-23,69,False
2012-03-24,65,False
2012-03-25,74,False
2012-03-26,71,False
2012-03-27,70,False
2012-03-28,78,False
2012-03-29,67,False
2012-03-30,78,False
2012-03-31,73,False
2012-04-01,76,False
2012-04-02,75,False
2012-04-03,69,False
2012-04-04,68,False
2012-04-05,65,False
2012-04-06,73,False
2012-04-07,91,False
2012-04-08,78,False
2012-04-09,56,False
2012-04-10,73,False
2012-04-11,77,False
2012-04-12,55,False
2012-04-13,80,False
2012-04-14,72,False
2012-04-15,73,False
2012-04-16,63,False
2012-04-17,65,False
2012-04-18,67,False
2012-04-19,74,False
2012-04-20,73,False
2012-04-21,69,False
2012-04-22,71,False
2012-04-23,74,False
2012-04-24,79,False
2012-04-25,72,False
2012-04-26,58,False
2012-04-27,69,False
2012-04-28,65,False
2012-04-29,73,False
2012-04-30,73,False
2012-05-01,71,False
2012-05-02,67,False
2012-05-03,76,False
2012-05-04,71,False
2012-05-05,83,False
2012-05-06,83,False
2012-05-07,62,False
2012-05-08,64,False
2012-05-09,68,False
2012-05-10,74,False
2012-05-11,84,False
2012-05-12,99,False
2012-05-13,67,False
2012-05-14,63,False
2012-05-15,44,False
2012-05-16,66,False
2012-05-17,85,False
2012-05-18,80,False
2012-05-19,96,False
2012-05-20,71,False
2012-05-21,76,False
2012-05-22,60,False
2012-05-23,95,False
2012-05-24,79,False
2012-05-25,70,False
2012-05-26,79,False
2012-05-27,69,False
2012-05-28,75,False
2012-05-29,68,False
2012-05-30,62,False
2012-05-31,61,False
2012-06-01,96,False
2012-06-02,81,False
2012-06-03,82,False
2012-06-04,68,False
2012-06-05,71,False
2012-06-06,83,False
2012-06-07,59,False
2012-06-08,82,False
2012-06-09,62,False
2012-06-10,79,False
2012-06-11,71,False
2012-06-12,65,False
2012-06-13,60,False
2012-06-14,83,False
2012-06-15,78,False
2012-06-16,90,False
2012-06-17,76,False
2012-06-18,77,False
2012-06-19,62,False
2012-06-20,73,False
2012-06-21,70,False
2012-06-22,73,False
2012-06-23,71,False
2012-06-24,90,False
2012-06-25,65,False
2012-06-26,65,False
2012-06-27,78,False
2012-06-28,74,False
2012-06-29,66,False
2012-06-30,67,False
2012-07-01,82,False
2012-07-02,77,False
2012-07-03,68,False
2012-07-04,86,False
2012-07-05,93,False
2012-07-06,90,False
2012-07-07,100,False
2012-07-08,80,False
2012-07-09,67,False
2012-07-10,69,False
2012-07-11,62,False
2012-07-12,80,False
2012-07-13,88,False
2012-07-14,77,False
2012-07-15,75,False
2012-07-16,79,False
2012-07-17,93,False
2012-07-18,87,False
2012-07-19,81,False
2012-07-20,72,False
2012-07-21,78,False
2012-07-22,97,False
2012-07-23,64,False
2012-07-24,81,False
2012-07-25,74,False
2012-07-26,88,False
2012-07-27,83,False
2012-07-28,90,False
2012-07-29,70,False
2012-07-30,77,False
2012-07-31,62,False
2012-08-01,70,False
2012-08-02,73,False
2012-08-03,80,False
2012-08-04,79,False
2012-08-05,83,False
2012-08-06,71,False
2012-08-07,89,False
2012-08-08,67,False
2012-08-09,77,False
2012-08-10,78,False
2012-08-11,79,False
2012-08-12,82,False
2012-08-13,65,False
2012-08-14,70,False
2012-08-15,82,False
2012-08-16,88,False
2012-08-17,79,False
2012-08-18,89,False
2012-08-19,71,False
2012-08-20,70,False
2012-08-21,80,False
2012-08-22,72,False
2012-08-23,69,False
2012-08-24,66,False
2012-08-25,73,False
2012-08-26,75,False
2012-08-27,71,False
2012-08-28,67,False
2012-08-29,65,False
2012-08-30,53,False
2012-08-31,75,False
2012-09-01,68,False
2012-09-02,82,False
2012-09-03,67,False
2012-09-04,60,False
2012-09-05,62,False
2012-09-06,70,False
2012-09-07,78,False
2012-09-08,93,False
2012-09-09,60,False
2012-09-10,59,False
2012-09-11,75,False
2012-09-12,80,False
2012-09-13,88,False
2012-09-14,68,False
2012-09-15,72,False
2012-09-16,85,False
2012-09-17,53,False
2012-09-18,62,False
2012-09-19,69,False
2012-09-20,65,False
2012-09-21,66,False
2012-09-22,90,False
2012-09-23,67,False
2012-09-24,61,False
