date,qqq,isPartial
2015-04-10,53,False
2015-04-11,55,False
2015-04-12,49,False
2015-04-13,46,False
2015-04-14,42,False
2015-04-15,53,False
2015-04-16,43,False
2015-04-17,54,False
2015-04-18,54,False
2015-04-19,49,False
2015-04-20,57,False
2015-04-21,50,False
2015-04-22,58,False
2015-04-23,63,False
2015-04-24,64,False
2015-04-25,53,False
2015-04-26,42,False
2015-04-27,56,False
2015-04-28,63,False
2015-04-29,51,False
2015-04-30,56,False
2015-05-01,63,False
2015-05-02,37,False
2015-05-03,42,False
2015-05-04,42,False
2015-05-05,64,False
2015-05-06,56,False
2015-05-07,50,False
2015-05-08,56,False
2015-05-09,51,False
2015-05-10,43,False
2015-05-11,53,False
2015-05-12,56,False
2015-05-13,52,False
2015-05-14,56,False
2015-05-15,49,False
2015-05-16,47,False
2015-05-17,58,False
2015-05-18,54,False
2015-05-19,52,False
2015-05-20,45,False
2015-05-21,50,False
2015-05-22,58,False
2015-05-23,47,False
2015-05-24,36,False
2015-05-25,43,False
2015-05-26,44,False
2015-05-27,42,False
2015-05-28,54,False
2015-05-29,46,False
2015-05-30,31,False
2015-05-31,47,False
2015-06-01,50,False
2015-06-02,55,False
2015-06-03,54,False
2015-06-04,65,False
2015-06-05,50,False
2015-06-06,47,False
2015-06-07,41,False
2015-06-08,52,False
2015-06-09,55,False
2015-06-10,48,False
2015-06-11,47,False
2015-06-12,56,False
2015-06-13,47,False
2015-06-14,43,False
2015-06-15,44,False
2015-06-16,52,False
2015-06-17,44,False
2015-06-18,52,False
2015-06-19,51,False
2015-06-20,50,False
2015-06-21,49,False
2015-06-22,41,False
2015-06-23,40,False
2015-06-24,60,False
2015-06-25,51,False
2015-06-26,59,False
2015-06-27,39,False
2015-06-28,47,False
2015-06-29,70,False
2015-06-30,58,False
2015-07-01,48,False
2015-07-02,58,False
2015-07-03,53,False
2015-07-04,49,False
2015-07-05,44,False
2015-07-06,53,False
2015-07-07,60,False
2015-07-08,59,False
2015-07-09,60,False
2015-07-10,69,False
2015-07-11,49,False
2015-07-12,36,False
2015-07-13,48,False
2015-07-14,56,False
2015-07-15,53,False
2015-07-16,65,False
2015-07-17,78,False
2015-07-18,49,False
2015-07-19,53,False
2015-07-20,52,False
2015-07-21,62,False
2015-07-22,65,False
2015-07-23,60,False
2015-07-24,69,False
2015-07-25,56,False
2015-07-26,53,False
2015-07-27,60,False
2015-07-28,64,False
2015-07-29,51,False
2015-07-30,58,False
2015-07-31,65,False
2015-08-01,48,False
2015-08-02,59,False
2015-08-03,56,False
2015-08-04,60,False
2015-08-05,56,False
2015-08-06,68,False
2015-08-07,53,False
2015-08-08,58,False
2015-08-09,42,False
2015-08-10,62,False
2015-08-11,57,False
2015-08-12,58,False
2015-08-13,60,False
2015-08-14,53,False
2015-08-15,52,False
2015-08-16,40,False
2015-08-17,58,False
2015-08-18,56,False
2015-08-19,57,False
2015-08-20,72,False
2015-08-21,82,False
2015-08-22,53,False
2015-08-23,53,False
2015-08-24,95,False
2015-08-25,100,False
2015-08-26,80,False
2015-08-27,82,False
2015-08-28,80,False
2015-08-29,58,False
2015-08-30,53,False
2015-08-31,56,False
2015-09-01,84,False
2015-09-02,64,False
2015-09-03,64,False
2015-09-04,66,False
2015-09-05,58,False
2015-09-06,53,False
2015-09-07,46,False
2015-09-08,65,False
2015-09-09,68,False
2015-09-10,62,False
2015-09-11,67,False
2015-09-12,47,False
2015-09-13,48,False
2015-09-14,59,False
2015-09-15,61,False
2015-09-16,48,False
2015-09-17,61,False
2015-09-18,66,False
2015-09-19,51,False
2015-09-20,54,False
2015-09-21,51,False
2015-09-22,67,False
2015-09-23,58,False
2015-09-24,58,False
2015-09-25,56,False
2015-09-26,55,False
2015-09-27,35,False
2015-09-28,60,False
2015-09-29,61,False
2015-09-30,55,False
2015-10-01,63,False
2015-10-02,86,False
2015-10-03,55,False
2015-10-04,39,False
2015-10-05,59,False
2015-10-06,56,False
2015-10-07,56,False
2015-10-08,49,False
2015-10-09,67,False
2015-10-10,39,False
2015-10-11,46,False
2015-10-12,52,False
2015-10-13,54,False
2015-10-14,59,False
2015-10-15,59,False
2015-10-16,51,False
