date,qqq
2016-09-11,37
2016-09-12,57
2016-09-13,76
2016-09-14,75
2016-09-15,58
2016-09-16,62
2016-09-17,58
2016-09-18,58
2016-09-19,49
2016-09-20,54
2016-09-21,57
2016-09-22,55
2016-09-23,68
2016-09-24,51
2016-09-25,43
2016-09-26,40
2016-09-27,67
2016-09-28,67
2016-09-29,70
2016-09-30,66
2016-10-01,54
2016-10-02,50
2016-10-03,59
2016-10-04,57
2016-10-05,57
2016-10-06,68
2016-10-07,56
2016-10-08,45
2016-10-09,51
2016-10-10,61
2016-10-11,56
2016-10-12,62
2016-10-13,73
2016-10-14,65
2016-10-15,33
2016-10-16,42
2016-10-17,55
2016-10-18,53
2016-10-19,76
2016-10-20,74
2016-10-21,57
2016-10-22,46
2016-10-23,48
2016-10-24,68
2016-10-25,64
2016-10-26,53
2016-10-27,67
2016-10-28,72
2016-10-29,61
2016-10-30,57
2016-10-31,57
2016-11-01,69
2016-11-02,86
2016-11-03,51
2016-11-04,59
2016-11-05,53
2016-11-06,32
2016-11-07,58
2016-11-08,66
2016-11-09,93
2016-11-10,100
2016-11-11,87
2016-11-12,48
2016-11-13,34
2016-11-14,72
2016-11-15,68
2016-11-16,55
2016-11-17,71
2016-11-18,57
2016-11-19,40
2016-11-20,28
2016-11-21,59
2016-11-22,62
2016-11-23,58
2016-11-24,53
2016-11-25,44
2016-11-26,36
2016-11-27,49
2016-11-28,53
2016-11-29,80
2016-11-30,68
2016-12-01,68
2016-12-02,56
2016-12-03,67
2016-12-04,46
2016-12-05,57
2016-12-06,64
2016-12-07,64
2016-12-08,60
2016-12-09,65
2016-12-10,36
2016-12-11,46
2016-12-12,76
2016-12-13,82
2016-12-14,60
2016-12-15,68
2016-12-16,66
2016-12-17,36
2016-12-18,30
2016-12-19,63
2016-12-20,52
2016-12-21,61
2016-12-22,67
2016-12-23,60
2016-12-24,54
2016-12-25,51
2016-12-26,38
2016-12-27,67
2016-12-28,72
2016-12-29,61
2016-12-30,80
2016-12-31,40
2017-01-01,52
2017-01-02,55
2017-01-03,56
2017-01-04,52
2017-01-05,62
2017-01-06,58
2017-01-07,39
2017-01-08,26
2017-01-09,72
2017-01-10,62
2017-01-11,75
2017-01-12,68
2017-01-13,65
2017-01-14,50
2017-01-15,36
2017-01-16,38
2017-01-17,63
2017-01-18,61
2017-01-19,67
2017-01-20,68
2017-01-21,45
2017-01-22,33
2017-01-23,65
2017-01-24,78
2017-01-25,67
2017-01-26,85
2017-01-27,75
2017-01-28,43
2017-01-29,35
2017-01-30,61
2017-01-31,63
2017-02-01,79
2017-02-02,66
2017-02-03,64
2017-02-04,46
2017-02-05,46
2017-02-06,57
2017-02-07,70
2017-02-08,54
2017-02-09,55
2017-02-10,65
2017-02-11,40
2017-02-12,48
2017-02-13,53
2017-02-14,69
2017-02-15,62
2017-02-16,58
2017-02-17,52
2017-02-18,60
2017-02-19,34
2017-02-20,54
2017-02-21,47
2017-02-22,72
2017-02-23,70
2017-02-24,60
2017-02-25,73
2017-02-26,40
2017-02-27,52
2017-02-28,55
2017-03-01,77
2017-03-02,59
2017-03-03,66
2017-03-04,46
2017-03-05,39
2017-03-06,49
2017-03-07,69
2017-03-08,67
2017-03-09,75
2017-03-10,76
2017-03-11,37
2017-03-12,42
2017-03-13,61
2017-03-14,62
2017-03-15,70
2017-03-16,77
2017-03-17,54
2017-03-18,52
2017-03-19,35
2017-03-20,62
2017-03-21,66
2017-03-22,90
2017-03-23,58
2017-03-24,78
2017-03-25,52
2017-03-26,47
2017-03-27,70
2017-03-28,46
2017-03-29,58
2017-03-30,55
2017-03-31,65
2017-04-01,58
2017-04-02,42
2017-04-03,45
2017-04-04,64
2017-04-05,73
2017-04-06,56
2017-04-07,79
2017-04-08,27
2017-04-09,43
2017-04-10,56
2017-04-11,55
2017-04-12,61
2017-04-13,52
2017-04-14,49
2017-04-15,31
2017-04-16,34
2017-04-17,55
2017-04-18,52
2017-04-19,60
2017-04-20,67
2017-04-21,66
2017-04-22,39
2017-04-23,27
2017-04-24,62
2017-04-25,69
2017-04-26,88
2017-04-27,93
2017-04-28,78
2017-04-29,30
2017-04-30,39
2017-05-01,72
2017-05-02,70
2017-05-03,79
2017-05-04,70
2017-05-05,73
2017-05-06,49
2017-05-07,39
2017-05-08,64
2017-05-09,52
2017-05-10,59
2017-05-11,65
2017-05-12,64
2017-05-13,43
2017-05-14,33
2017-05-15,51
2017-05-16,67
2017-05-17,86
2017-05-18,74
2017-05-19,69
2017-05-20,52
2017-05-21,48
2017-05-22,71
2017-05-23,63
2017-05-24,61
2017-05-25,66
2017-05-26,71
2017-05-27,50
2017-05-28,34
2017-05-29,31
