date,ASML stock
2014-12-01,0
2014-12-02,0
2014-12-03,0
2014-12-04,0
2014-12-05,0
2014-12-06,0
2014-12-07,0
2014-12-08,0
2014-12-09,0
2014-12-10,0
2014-12-11,21
2014-12-12,22
2014-12-13,0
2014-12-14,0
2014-12-15,21
2014-12-16,0
2014-12-17,22
2014-12-18,0
2014-12-19,23
2014-12-20,26
2014-12-21,0
2014-12-22,0
2014-12-23,23
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,26
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,0
2015-01-01,0
2015-01-02,23
2015-01-03,0
2015-01-04,0
2015-01-05,21
2015-01-06,0
2015-01-07,21
2015-01-08,0
2015-01-09,42
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,20
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,41
2015-01-21,20
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,47
2015-01-26,0
2015-01-27,20
2015-01-28,20
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,20
2015-02-11,0
2015-02-12,20
2015-02-13,21
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,21
2015-02-18,0
2015-02-19,0
2015-02-20,42
2015-02-21,23
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,39
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,20
2015-03-04,0
2015-03-05,0
2015-03-06,21
2015-03-07,0
2015-03-08,0
2015-03-09,20
2015-03-10,20
2015-03-11,0
2015-03-12,20
2015-03-13,20
2015-03-14,0
2015-03-15,0
2015-03-16,20
2015-03-17,20
2015-03-18,20
2015-03-19,0
2015-03-20,0
2015-03-21,23
2015-03-22,0
2015-03-23,39
2015-03-24,0
2015-03-25,29
2015-03-26,46
2015-03-27,21
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,21
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,20
2015-04-16,20
2015-04-17,0
2015-04-18,0
2015-04-19,24
2015-04-20,0
2015-04-21,0
2015-04-22,100
2015-04-23,40
2015-04-24,21
2015-04-25,0
2015-04-26,0
2015-04-27,20
2015-04-28,19
2015-04-29,0
2015-04-30,0
2015-05-01,44
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,20
2015-05-07,20
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,78
2015-05-13,0
2015-05-14,20
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,40
2015-05-19,0
2015-05-20,19
2015-05-21,0
2015-05-22,21
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,21
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,41
2015-06-05,21
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,20
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,19
2015-06-17,40
2015-06-18,20
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,20
2015-06-23,0
2015-06-24,0
2015-06-25,20
2015-06-26,21
2015-06-27,0
2015-06-28,0
2015-06-29,40
2015-06-30,60
2015-07-01,0
2015-07-02,20
2015-07-03,22
2015-07-04,0
2015-07-05,0
2015-07-06,20
2015-07-07,20
2015-07-08,59
2015-07-09,0
2015-07-10,0
2015-07-11,24
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,40
2015-07-16,62
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,42
2015-07-21,0
2015-07-22,0
2015-07-23,20
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,24
2015-08-03,20
2015-08-04,20
2015-08-05,20
2015-08-06,41
2015-08-07,0
2015-08-08,24
2015-08-09,0
2015-08-10,60
2015-08-11,0
2015-08-12,40
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
