date,ASML stock
2015-12-26,0
2015-12-27,34
2015-12-28,29
2015-12-29,30
2015-12-30,0
2015-12-31,33
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,59
2016-01-05,0
2016-01-06,59
2016-01-07,0
2016-01-08,30
2016-01-09,0
2016-01-10,32
2016-01-11,28
2016-01-12,28
2016-01-13,57
2016-01-14,28
2016-01-15,0
2016-01-16,33
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,100
2016-01-21,43
2016-01-22,59
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,28
2016-01-27,28
2016-01-28,29
2016-01-29,30
2016-01-30,0
2016-01-31,0
2016-02-01,43
2016-02-02,0
2016-02-03,0
2016-02-04,29
2016-02-05,30
2016-02-06,33
2016-02-07,0
2016-02-08,58
2016-02-09,0
2016-02-10,28
2016-02-11,43
2016-02-12,89
2016-02-13,0
2016-02-14,0
2016-02-15,28
2016-02-16,42
2016-02-17,0
2016-02-18,28
2016-02-19,29
2016-02-20,32
2016-02-21,0
2016-02-22,28
2016-02-23,0
2016-02-24,55
2016-02-25,85
2016-02-26,29
2016-02-27,0
2016-02-28,0
2016-02-29,55
2016-03-01,28
2016-03-02,28
2016-03-03,28
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,28
2016-03-08,28
2016-03-09,0
2016-03-10,57
2016-03-11,29
2016-03-12,0
2016-03-13,0
2016-03-14,28
2016-03-15,28
2016-03-16,0
2016-03-17,0
2016-03-18,30
2016-03-19,0
2016-03-20,0
2016-03-21,56
2016-03-22,28
2016-03-23,29
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,28
2016-03-31,0
2016-04-01,58
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,42
2016-04-07,0
2016-04-08,29
2016-04-09,0
2016-04-10,32
2016-04-11,0
2016-04-12,28
2016-04-13,56
2016-04-14,29
2016-04-15,30
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,28
2016-04-20,28
2016-04-21,58
2016-04-22,59
2016-04-23,0
2016-04-24,0
2016-04-25,41
2016-04-26,42
2016-04-27,56
2016-04-28,0
2016-04-29,30
2016-04-30,33
2016-05-01,33
2016-05-02,0
2016-05-03,28
2016-05-04,0
2016-05-05,29
2016-05-06,30
2016-05-07,0
2016-05-08,0
2016-05-09,29
2016-05-10,0
2016-05-11,28
2016-05-12,29
2016-05-13,0
2016-05-14,33
2016-05-15,0
2016-05-16,28
2016-05-17,28
2016-05-18,0
2016-05-19,29
2016-05-20,0
2016-05-21,0
2016-05-22,33
2016-05-23,0
2016-05-24,42
2016-05-25,0
2016-05-26,30
2016-05-27,0
2016-05-28,0
2016-05-29,33
2016-05-30,0
2016-05-31,28
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,33
2016-06-06,0
2016-06-07,29
2016-06-08,43
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,56
2016-06-14,0
2016-06-15,0
2016-06-16,86
2016-06-17,60
2016-06-18,0
2016-06-19,34
2016-06-20,57
2016-06-21,43
2016-06-22,0
2016-06-23,59
2016-06-24,30
2016-06-25,0
2016-06-26,0
2016-06-27,29
2016-06-28,29
2016-06-29,29
2016-06-30,29
2016-07-01,46
2016-07-02,0
2016-07-03,0
2016-07-04,61
2016-07-05,30
2016-07-06,31
2016-07-07,62
2016-07-08,32
2016-07-09,0
2016-07-10,0
2016-07-11,30
2016-07-12,0
2016-07-13,0
2016-07-14,29
2016-07-15,31
2016-07-16,0
2016-07-17,0
2016-07-18,30
2016-07-19,91
2016-07-20,62
2016-07-21,0
2016-07-22,31
2016-07-23,71
2016-07-24,36
2016-07-25,45
2016-07-26,60
2016-07-27,76
2016-07-28,61
2016-07-29,63
2016-07-30,0
2016-07-31,35
2016-08-01,30
2016-08-02,90
2016-08-03,31
2016-08-04,0
2016-08-05,66
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,31
2016-08-10,31
2016-08-11,32
2016-08-12,0
2016-08-13,37
2016-08-14,0
2016-08-15,0
2016-08-16,64
2016-08-17,32
2016-08-18,33
2016-08-19,33
2016-08-20,37
2016-08-21,0
2016-08-22,31
2016-08-23,0
2016-08-24,0
2016-08-25,30
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,59
2016-08-30,30
2016-08-31,29
2016-09-01,0
2016-09-02,31
2016-09-03,35
2016-09-04,0
2016-09-05,0
2016-09-06,0
2016-09-07,60
2016-09-08,45
2016-09-09,46
2016-09-10,0
2016-09-11,0
