date,ASML stock
2017-10-06,28
2017-10-07,6
2017-10-08,0
2017-10-09,21
2017-10-10,0
2017-10-11,16
2017-10-12,28
2017-10-13,11
2017-10-14,12
2017-10-15,0
2017-10-16,0
2017-10-17,21
2017-10-18,11
2017-10-19,33
2017-10-20,17
2017-10-21,0
2017-10-22,6
2017-10-23,5
2017-10-24,5
2017-10-25,5
2017-10-26,16
2017-10-27,28
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,16
2017-11-01,22
2017-11-02,16
2017-11-03,6
2017-11-04,0
2017-11-05,0
2017-11-06,10
2017-11-07,21
2017-11-08,11
2017-11-09,26
2017-11-10,11
2017-11-11,0
2017-11-12,0
2017-11-13,21
2017-11-14,15
2017-11-15,16
2017-11-16,10
2017-11-17,5
2017-11-18,18
2017-11-19,6
2017-11-20,16
2017-11-21,21
2017-11-22,10
2017-11-23,16
2017-11-24,11
2017-11-25,0
2017-11-26,6
2017-11-27,15
2017-11-28,5
2017-11-29,21
2017-11-30,11
2017-12-01,27
2017-12-02,12
2017-12-03,0
2017-12-04,10
2017-12-05,36
2017-12-06,16
2017-12-07,16
2017-12-08,6
2017-12-09,0
2017-12-10,12
2017-12-11,21
2017-12-12,5
2017-12-13,0
2017-12-14,16
2017-12-15,17
2017-12-16,6
2017-12-17,0
2017-12-18,31
2017-12-19,16
2017-12-20,22
2017-12-21,6
2017-12-22,0
2017-12-23,6
2017-12-24,0
2017-12-25,0
2017-12-26,18
2017-12-27,6
2017-12-28,6
2017-12-29,12
2017-12-30,12
2017-12-31,0
2018-01-01,0
2018-01-02,11
2018-01-03,31
2018-01-04,11
2018-01-05,21
2018-01-06,0
2018-01-07,0
2018-01-08,16
2018-01-09,20
2018-01-10,36
2018-01-11,5
2018-01-12,16
2018-01-13,12
2018-01-14,11
2018-01-15,0
2018-01-16,41
2018-01-17,100
2018-01-18,51
2018-01-19,21
2018-01-20,12
2018-01-21,23
2018-01-22,5
2018-01-23,25
2018-01-24,20
2018-01-25,5
2018-01-26,26
2018-01-27,12
2018-01-28,12
2018-01-29,15
2018-01-30,10
2018-01-31,30
2018-02-01,5
2018-02-02,16
2018-02-03,6
2018-02-04,0
2018-02-05,25
2018-02-06,25
2018-02-07,25
2018-02-08,10
2018-02-09,21
2018-02-10,12
2018-02-11,12
2018-02-12,21
2018-02-13,40
2018-02-14,10
2018-02-15,31
2018-02-16,5
2018-02-17,0
2018-02-18,6
2018-02-19,10
2018-02-20,10
2018-02-21,25
2018-02-22,15
2018-02-23,26
2018-02-24,0
2018-02-25,17
2018-02-26,25
2018-02-27,30
2018-02-28,25
2018-03-01,5
2018-03-02,10
2018-03-03,0
2018-03-04,6
2018-03-05,10
2018-03-06,15
2018-03-07,20
2018-03-08,5
2018-03-09,26
2018-03-10,6
2018-03-11,11
2018-03-12,20
2018-03-13,30
2018-03-14,10
2018-03-15,15
2018-03-16,10
2018-03-17,6
2018-03-18,6
2018-03-19,20
2018-03-20,15
2018-03-21,10
2018-03-22,20
2018-03-23,10
2018-03-24,12
2018-03-25,12
2018-03-26,20
2018-03-27,15
2018-03-28,31
2018-03-29,21
2018-03-30,11
2018-03-31,6
2018-04-01,0
2018-04-02,16
2018-04-03,20
2018-04-04,15
2018-04-05,10
2018-04-06,11
2018-04-07,6
2018-04-08,6
