date,ASML stock
2017-01-19,27
2017-01-20,0
2017-01-21,0
2017-01-22,8
2017-01-23,13
2017-01-24,20
2017-01-25,21
2017-01-26,0
2017-01-27,21
2017-01-28,8
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,13
2017-02-02,0
2017-02-03,14
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,13
2017-02-09,7
2017-02-10,35
2017-02-11,8
2017-02-12,0
2017-02-13,7
2017-02-14,33
2017-02-15,14
2017-02-16,26
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,7
2017-02-23,13
2017-02-24,7
2017-02-25,8
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,6
2017-03-02,0
2017-03-03,7
2017-03-04,0
2017-03-05,7
2017-03-06,6
2017-03-07,19
2017-03-08,0
2017-03-09,6
2017-03-10,7
2017-03-11,0
2017-03-12,0
2017-03-13,12
2017-03-14,7
2017-03-15,20
2017-03-16,40
2017-03-17,7
2017-03-18,0
2017-03-19,7
2017-03-20,27
2017-03-21,26
2017-03-22,20
2017-03-23,13
2017-03-24,7
2017-03-25,8
2017-03-26,0
2017-03-27,0
2017-03-28,7
2017-03-29,7
2017-03-30,7
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,7
2017-04-04,13
2017-04-05,13
2017-04-06,13
2017-04-07,14
2017-04-08,0
2017-04-09,8
2017-04-10,0
2017-04-11,0
2017-04-12,7
2017-04-13,0
2017-04-14,0
2017-04-15,8
2017-04-16,0
2017-04-17,7
2017-04-18,6
2017-04-19,7
2017-04-20,0
2017-04-21,42
2017-04-22,15
2017-04-23,0
2017-04-24,7
2017-04-25,7
2017-04-26,20
2017-04-27,13
2017-04-28,0
2017-04-29,8
2017-04-30,0
2017-05-01,7
2017-05-02,13
2017-05-03,13
2017-05-04,7
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,13
2017-05-10,7
2017-05-11,0
2017-05-12,0
2017-05-13,8
2017-05-14,16
2017-05-15,7
2017-05-16,0
2017-05-17,0
2017-05-18,21
2017-05-19,22
2017-05-20,17
2017-05-21,0
2017-05-22,14
2017-05-23,7
2017-05-24,14
2017-05-25,7
2017-05-26,8
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,7
2017-05-31,0
2017-06-01,0
2017-06-02,7
2017-06-03,0
2017-06-04,8
2017-06-05,14
2017-06-06,14
2017-06-07,7
2017-06-08,7
2017-06-09,0
2017-06-10,8
2017-06-11,17
2017-06-12,0
2017-06-13,21
2017-06-14,7
2017-06-15,14
2017-06-16,15
2017-06-17,0
2017-06-18,0
2017-06-19,7
2017-06-20,20
2017-06-21,13
2017-06-22,0
2017-06-23,0
2017-06-24,8
2017-06-25,0
2017-06-26,14
2017-06-27,14
2017-06-28,7
2017-06-29,15
2017-06-30,7
2017-07-01,8
2017-07-02,8
2017-07-03,0
2017-07-04,0
2017-07-05,7
2017-07-06,15
2017-07-07,15
2017-07-08,8
2017-07-09,0
2017-07-10,14
2017-07-11,14
2017-07-12,7
2017-07-13,7
2017-07-14,7
2017-07-15,17
2017-07-16,0
2017-07-17,29
2017-07-18,7
2017-07-19,100
2017-07-20,42
2017-07-21,22
2017-07-22,8
2017-07-23,8
2017-07-24,7
2017-07-25,21
2017-07-26,7
2017-07-27,7
2017-07-28,7
2017-07-29,8
2017-07-30,16
2017-07-31,7
2017-08-01,7
2017-08-02,26
2017-08-03,7
2017-08-04,7
2017-08-05,0
2017-08-06,8
2017-08-07,14
2017-08-08,0
2017-08-09,7
2017-08-10,14
2017-08-11,0
2017-08-12,8
2017-08-13,8
2017-08-14,28
2017-08-15,22
2017-08-16,14
2017-08-17,0
2017-08-18,0
2017-08-19,0
2017-08-20,8
2017-08-21,0
2017-08-22,0
2017-08-23,14
2017-08-24,7
2017-08-25,0
2017-08-26,0
2017-08-27,8
2017-08-28,7
2017-08-29,0
2017-08-30,20
2017-08-31,7
2017-09-01,0
2017-09-02,8
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,7
2017-09-07,7
2017-09-08,7
2017-09-09,8
2017-09-10,8
2017-09-11,13
2017-09-12,20
2017-09-13,0
2017-09-14,7
2017-09-15,35
2017-09-16,0
2017-09-17,0
2017-09-18,13
2017-09-19,13
2017-09-20,7
2017-09-21,14
2017-09-22,21
2017-09-23,0
2017-09-24,15
2017-09-25,7
2017-09-26,0
2017-09-27,20
2017-09-28,41
2017-09-29,21
2017-09-30,0
2017-10-01,0
2017-10-02,20
2017-10-03,7
2017-10-04,13
2017-10-05,20
2017-10-06,35
