date,QCOM stock
2012-01-26,17
2012-01-27,0
2012-01-28,40
2012-01-29,19
2012-01-30,0
2012-01-31,32
2012-02-01,48
2012-02-02,65
2012-02-03,100
2012-02-04,38
2012-02-05,19
2012-02-06,0
2012-02-07,16
2012-02-08,48
2012-02-09,16
2012-02-10,33
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,16
2012-02-15,16
2012-02-16,16
2012-02-17,51
2012-02-18,19
2012-02-19,0
2012-02-20,0
2012-02-21,49
2012-02-22,32
2012-02-23,16
2012-02-24,0
2012-02-25,0
2012-02-26,19
2012-02-27,32
2012-02-28,47
2012-02-29,16
2012-03-01,34
2012-03-02,18
2012-03-03,0
2012-03-04,0
2012-03-05,33
2012-03-06,16
2012-03-07,16
2012-03-08,0
2012-03-09,17
2012-03-10,0
2012-03-11,0
2012-03-12,16
2012-03-13,48
2012-03-14,16
2012-03-15,0
2012-03-16,17
2012-03-17,0
2012-03-18,0
2012-03-19,47
2012-03-20,31
2012-03-21,0
2012-03-22,16
2012-03-23,0
2012-03-24,19
2012-03-25,0
2012-03-26,32
2012-03-27,63
2012-03-28,32
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,32
2012-04-04,0
2012-04-05,17
2012-04-06,19
2012-04-07,0
2012-04-08,0
2012-04-09,19
2012-04-10,16
2012-04-11,0
2012-04-12,32
2012-04-13,34
2012-04-14,0
2012-04-15,0
2012-04-16,31
2012-04-17,31
2012-04-18,31
2012-04-19,63
2012-04-20,16
2012-04-21,0
2012-04-22,19
2012-04-23,31
2012-04-24,16
2012-04-25,16
2012-04-26,48
2012-04-27,17
2012-04-28,0
2012-04-29,0
2012-04-30,16
2012-05-01,0
2012-05-02,16
2012-05-03,16
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,31
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,17
2012-05-12,0
2012-05-13,0
2012-05-14,31
2012-05-15,15
2012-05-16,16
2012-05-17,0
2012-05-18,50
2012-05-19,0
2012-05-20,0
2012-05-21,15
2012-05-22,79
2012-05-23,31
2012-05-24,16
2012-05-25,33
2012-05-26,0
2012-05-27,0
2012-05-28,17
2012-05-29,15
2012-05-30,31
2012-05-31,16
2012-06-01,16
2012-06-02,0
2012-06-03,0
2012-06-04,15
2012-06-05,31
2012-06-06,0
2012-06-07,48
2012-06-08,0
2012-06-09,19
2012-06-10,0
2012-06-11,0
2012-06-12,30
2012-06-13,0
2012-06-14,16
2012-06-15,17
2012-06-16,0
2012-06-17,20
2012-06-18,0
2012-06-19,31
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,15
2012-06-27,0
2012-06-28,16
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,31
2012-07-03,16
2012-07-04,0
2012-07-05,16
2012-07-06,17
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,15
2012-07-11,16
2012-07-12,16
2012-07-13,17
2012-07-14,0
2012-07-15,0
2012-07-16,31
2012-07-17,31
2012-07-18,0
2012-07-19,16
2012-07-20,0
2012-07-21,40
2012-07-22,20
2012-07-23,0
2012-07-24,32
2012-07-25,0
2012-07-26,0
2012-07-27,17
2012-07-28,20
2012-07-29,20
2012-07-30,0
2012-07-31,16
2012-08-01,16
2012-08-02,49
2012-08-03,33
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,16
2012-08-08,16
2012-08-09,16
2012-08-10,50
2012-08-11,20
2012-08-12,0
2012-08-13,16
2012-08-14,16
2012-08-15,17
2012-08-16,16
2012-08-17,51
2012-08-18,0
2012-08-19,20
2012-08-20,32
2012-08-21,16
2012-08-22,31
2012-08-23,16
2012-08-24,0
2012-08-25,0
2012-08-26,38
2012-08-27,31
2012-08-28,46
2012-08-29,15
2012-08-30,0
2012-08-31,16
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,30
2012-09-05,62
2012-09-06,0
2012-09-07,16
2012-09-08,0
2012-09-09,0
2012-09-10,45
2012-09-11,30
2012-09-12,30
2012-09-13,0
2012-09-14,16
2012-09-15,0
2012-09-16,0
2012-09-17,30
2012-09-18,59
2012-09-19,15
2012-09-20,31
2012-09-21,32
2012-09-22,0
2012-09-23,0
2012-09-24,15
2012-09-25,15
2012-09-26,0
2012-09-27,0
2012-09-28,79
2012-09-29,0
2012-09-30,0
2012-10-01,15
2012-10-02,15
2012-10-03,30
2012-10-04,15
2012-10-05,0
2012-10-06,18
2012-10-07,0
2012-10-08,14
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,31
