date,QCOM stock
2014-07-24,42
2014-07-25,44
2014-07-26,8
2014-07-27,0
2014-07-28,14
2014-07-29,35
2014-07-30,28
2014-07-31,35
2014-08-01,36
2014-08-02,0
2014-08-03,0
2014-08-04,34
2014-08-05,27
2014-08-06,14
2014-08-07,0
2014-08-08,7
2014-08-09,17
2014-08-10,0
2014-08-11,34
2014-08-12,7
2014-08-13,20
2014-08-14,14
2014-08-15,15
2014-08-16,25
2014-08-17,0
2014-08-18,21
2014-08-19,20
2014-08-20,34
2014-08-21,14
2014-08-22,7
2014-08-23,0
2014-08-24,8
2014-08-25,20
2014-08-26,33
2014-08-27,13
2014-08-28,7
2014-08-29,35
2014-08-30,8
2014-08-31,0
2014-09-01,20
2014-09-02,6
2014-09-03,32
2014-09-04,33
2014-09-05,20
2014-09-06,8
2014-09-07,0
2014-09-08,20
2014-09-09,58
2014-09-10,13
2014-09-11,32
2014-09-12,20
2014-09-13,8
2014-09-14,0
2014-09-15,6
2014-09-16,13
2014-09-17,0
2014-09-18,26
2014-09-19,47
2014-09-20,0
2014-09-21,0
2014-09-22,32
2014-09-23,32
2014-09-24,32
2014-09-25,33
2014-09-26,14
2014-09-27,8
2014-09-28,0
2014-09-29,19
2014-09-30,0
2014-10-01,26
2014-10-02,33
2014-10-03,7
2014-10-04,16
2014-10-05,0
2014-10-06,25
2014-10-07,26
2014-10-08,26
2014-10-09,39
2014-10-10,27
2014-10-11,15
2014-10-12,8
2014-10-13,13
2014-10-14,38
2014-10-15,32
2014-10-16,25
2014-10-17,27
2014-10-18,0
2014-10-19,0
2014-10-20,31
2014-10-21,12
2014-10-22,6
2014-10-23,45
2014-10-24,13
2014-10-25,8
2014-10-26,0
2014-10-27,12
2014-10-28,31
2014-10-29,26
2014-10-30,19
2014-10-31,14
2014-11-01,23
2014-11-02,0
2014-11-03,13
2014-11-04,31
2014-11-05,56
2014-11-06,100
2014-11-07,59
2014-11-08,30
2014-11-09,7
2014-11-10,19
2014-11-11,44
2014-11-12,38
2014-11-13,6
2014-11-14,19
2014-11-15,0
2014-11-16,0
2014-11-17,6
2014-11-18,33
2014-11-19,51
2014-11-20,38
2014-11-21,13
2014-11-22,15
2014-11-23,7
2014-11-24,37
2014-11-25,24
2014-11-26,19
2014-11-27,0
2014-11-28,7
2014-11-29,7
2014-11-30,0
2014-12-01,6
2014-12-02,24
2014-12-03,37
2014-12-04,12
2014-12-05,26
2014-12-06,7
2014-12-07,0
2014-12-08,19
2014-12-09,43
2014-12-10,12
2014-12-11,19
2014-12-12,20
2014-12-13,15
2014-12-14,15
2014-12-15,6
2014-12-16,12
2014-12-17,26
2014-12-18,13
2014-12-19,34
2014-12-20,0
2014-12-21,8
2014-12-22,20
2014-12-23,27
2014-12-24,15
2014-12-25,0
2014-12-26,29
2014-12-27,30
2014-12-28,0
2014-12-29,20
2014-12-30,13
2014-12-31,30
2015-01-01,8
2015-01-02,7
2015-01-03,0
2015-01-04,7
2015-01-05,12
2015-01-06,19
2015-01-07,18
2015-01-08,36
2015-01-09,37
2015-01-10,7
2015-01-11,0
2015-01-12,0
2015-01-13,23
2015-01-14,36
2015-01-15,12
2015-01-16,6
2015-01-17,21
2015-01-18,0
2015-01-19,24
2015-01-20,18
2015-01-21,46
2015-01-22,36
2015-01-23,12
2015-01-24,14
2015-01-25,0
2015-01-26,12
2015-01-27,29
2015-01-28,41
2015-01-29,71
2015-01-30,49
2015-01-31,28
2015-02-01,7
2015-02-02,23
2015-02-03,53
2015-02-04,35
2015-02-05,18
2015-02-06,56
2015-02-07,7
2015-02-08,21
2015-02-09,35
2015-02-10,64
2015-02-11,58
2015-02-12,77
2015-02-13,18
2015-02-14,21
2015-02-15,7
2015-02-16,12
2015-02-17,24
2015-02-18,0
2015-02-19,42
2015-02-20,18
2015-02-21,14
2015-02-22,0
2015-02-23,35
2015-02-24,23
2015-02-25,23
2015-02-26,18
2015-02-27,36
2015-02-28,13
2015-03-01,20
2015-03-02,40
2015-03-03,12
2015-03-04,41
2015-03-05,30
2015-03-06,37
2015-03-07,0
2015-03-08,14
2015-03-09,41
2015-03-10,40
2015-03-11,23
2015-03-12,35
2015-03-13,6
2015-03-14,0
2015-03-15,7
2015-03-16,35
2015-03-17,23
2015-03-18,12
2015-03-19,23
2015-03-20,30
2015-03-21,14
2015-03-22,0
2015-03-23,12
2015-03-24,18
2015-03-25,17
2015-03-26,13
2015-03-27,18
2015-03-28,7
2015-03-29,0
2015-03-30,6
2015-03-31,23
2015-04-01,30
2015-04-02,19
2015-04-03,26
2015-04-04,7
2015-04-05,7
2015-04-06,19
2015-04-07,35
2015-04-08,23
2015-04-09,18
2015-04-10,19
