date,QCOM stock
2017-05-29,2
2017-05-30,31
2017-05-31,16
2017-06-01,22
2017-06-02,16
2017-06-03,6
2017-06-04,6
2017-06-05,5
2017-06-06,20
2017-06-07,19
2017-06-08,15
2017-06-09,19
2017-06-10,0
2017-06-11,4
2017-06-12,15
2017-06-13,13
2017-06-14,15
2017-06-15,14
2017-06-16,9
2017-06-17,6
2017-06-18,2
2017-06-19,18
2017-06-20,17
2017-06-21,16
2017-06-22,19
2017-06-23,15
2017-06-24,10
2017-06-25,0
2017-06-26,24
2017-06-27,12
2017-06-28,12
2017-06-29,22
2017-06-30,14
2017-07-01,2
2017-07-02,0
2017-07-03,5
2017-07-04,7
2017-07-05,12
2017-07-06,27
2017-07-07,5
2017-07-08,4
2017-07-09,4
2017-07-10,12
2017-07-11,7
2017-07-12,13
2017-07-13,20
2017-07-14,18
2017-07-15,4
2017-07-16,2
2017-07-17,13
2017-07-18,8
2017-07-19,50
2017-07-20,65
2017-07-21,35
2017-07-22,6
2017-07-23,4
2017-07-24,10
2017-07-25,23
2017-07-26,15
2017-07-27,22
2017-07-28,19
2017-07-29,2
2017-07-30,4
2017-07-31,12
2017-08-01,22
2017-08-02,17
2017-08-03,8
2017-08-04,26
2017-08-05,2
2017-08-06,2
2017-08-07,14
2017-08-08,19
2017-08-09,14
2017-08-10,12
2017-08-11,10
2017-08-12,2
2017-08-13,2
2017-08-14,10
2017-08-15,15
2017-08-16,28
2017-08-17,10
2017-08-18,15
2017-08-19,4
2017-08-20,2
2017-08-21,18
2017-08-22,19
2017-08-23,11
2017-08-24,8
2017-08-25,26
2017-08-26,4
2017-08-27,0
2017-08-28,11
2017-08-29,10
2017-08-30,11
2017-08-31,13
2017-09-01,9
2017-09-02,4
2017-09-03,2
2017-09-04,3
2017-09-05,19
2017-09-06,12
2017-09-07,16
2017-09-08,20
2017-09-09,6
2017-09-10,11
2017-09-11,16
2017-09-12,16
2017-09-13,9
2017-09-14,24
2017-09-15,18
2017-09-16,5
2017-09-17,2
2017-09-18,9
2017-09-19,20
2017-09-20,14
2017-09-21,19
2017-09-22,10
2017-09-23,4
2017-09-24,0
2017-09-25,16
2017-09-26,22
2017-09-27,16
2017-09-28,16
2017-09-29,20
2017-09-30,9
2017-10-01,2
2017-10-02,11
2017-10-03,14
2017-10-04,16
2017-10-05,19
2017-10-06,20
2017-10-07,4
2017-10-08,4
2017-10-09,17
2017-10-10,12
2017-10-11,20
2017-10-12,26
2017-10-13,21
2017-10-14,5
2017-10-15,2
2017-10-16,19
2017-10-17,19
2017-10-18,14
2017-10-19,14
2017-10-20,10
2017-10-21,7
2017-10-22,2
2017-10-23,17
2017-10-24,19
2017-10-25,15
2017-10-26,17
2017-10-27,15
2017-10-28,4
2017-10-29,0
2017-10-30,19
2017-10-31,44
2017-11-01,58
2017-11-02,52
2017-11-03,88
2017-11-04,37
2017-11-05,26
2017-11-06,100
2017-11-07,84
2017-11-08,86
2017-11-09,28
2017-11-10,28
2017-11-11,18
2017-11-12,9
2017-11-13,56
2017-11-14,34
2017-11-15,38
2017-11-16,26
2017-11-17,30
2017-11-18,9
2017-11-19,5
2017-11-20,27
2017-11-21,21
2017-11-22,31
2017-11-23,20
2017-11-24,35
2017-11-25,7
2017-11-26,19
2017-11-27,33
2017-11-28,18
2017-11-29,40
2017-11-30,50
2017-12-01,45
2017-12-02,3
2017-12-03,2
2017-12-04,38
2017-12-05,20
2017-12-06,41
2017-12-07,14
2017-12-08,23
2017-12-09,9
2017-12-10,0
2017-12-11,21
2017-12-12,29
2017-12-13,21
2017-12-14,8
2017-12-15,18
2017-12-16,9
2017-12-17,4
2017-12-18,25
2017-12-19,13
2017-12-20,14
2017-12-21,22
2017-12-22,14
2017-12-23,4
2017-12-24,2
2017-12-25,2
2017-12-26,17
2017-12-27,15
2017-12-28,15
2017-12-29,20
2017-12-30,5
2017-12-31,11
2018-01-01,4
2018-01-02,21
2018-01-03,17
2018-01-04,15
2018-01-05,22
2018-01-06,5
2018-01-07,2
2018-01-08,9
2018-01-09,15
2018-01-10,7
2018-01-11,20
2018-01-12,12
2018-01-13,5
2018-01-14,3
2018-01-15,3
2018-01-16,31
2018-01-17,21
2018-01-18,25
2018-01-19,30
2018-01-20,2
2018-01-21,5
2018-01-22,7
2018-01-23,28
2018-01-24,25
2018-01-25,28
2018-01-26,28
2018-01-27,7
2018-01-28,3
2018-01-29,9
2018-01-30,34
2018-01-31,37
2018-02-01,39
2018-02-02,21
2018-02-03,9
2018-02-04,2
2018-02-05,57
2018-02-06,59
2018-02-07,37
2018-02-08,36
2018-02-09,43
2018-02-10,10
2018-02-11,3
2018-02-12,29
2018-02-13,31
