date,QCOM stock
2016-05-04,3
2016-05-05,20
2016-05-06,13
2016-05-07,8
2016-05-08,0
2016-05-09,16
2016-05-10,12
2016-05-11,22
2016-05-12,16
2016-05-13,13
2016-05-14,0
2016-05-15,0
2016-05-16,19
2016-05-17,19
2016-05-18,9
2016-05-19,19
2016-05-20,26
2016-05-21,4
2016-05-22,4
2016-05-23,6
2016-05-24,28
2016-05-25,38
2016-05-26,7
2016-05-27,24
2016-05-28,8
2016-05-29,4
2016-05-30,0
2016-05-31,13
2016-06-01,19
2016-06-02,16
2016-06-03,7
2016-06-04,19
2016-06-05,0
2016-06-06,13
2016-06-07,13
2016-06-08,6
2016-06-09,7
2016-06-10,10
2016-06-11,19
2016-06-12,15
2016-06-13,10
2016-06-14,9
2016-06-15,10
2016-06-16,10
2016-06-17,3
2016-06-18,8
2016-06-19,0
2016-06-20,6
2016-06-21,13
2016-06-22,13
2016-06-23,13
2016-06-24,27
2016-06-25,15
2016-06-26,4
2016-06-27,13
2016-06-28,16
2016-06-29,16
2016-06-30,30
2016-07-01,7
2016-07-02,12
2016-07-03,0
2016-07-04,7
2016-07-05,10
2016-07-06,10
2016-07-07,14
2016-07-08,7
2016-07-09,4
2016-07-10,0
2016-07-11,7
2016-07-12,27
2016-07-13,14
2016-07-14,13
2016-07-15,21
2016-07-16,0
2016-07-17,0
2016-07-18,10
2016-07-19,44
2016-07-20,59
2016-07-21,100
2016-07-22,49
2016-07-23,12
2016-07-24,4
2016-07-25,17
2016-07-26,37
2016-07-27,44
2016-07-28,34
2016-07-29,11
2016-07-30,12
2016-07-31,4
2016-08-01,27
2016-08-02,20
2016-08-03,20
2016-08-04,24
2016-08-05,15
2016-08-06,25
2016-08-07,8
2016-08-08,35
2016-08-09,28
2016-08-10,14
2016-08-11,21
2016-08-12,15
2016-08-13,0
2016-08-14,0
2016-08-15,22
2016-08-16,14
2016-08-17,11
2016-08-18,11
2016-08-19,22
2016-08-20,13
2016-08-21,0
2016-08-22,14
2016-08-23,11
2016-08-24,24
2016-08-25,13
2016-08-26,18
2016-08-27,4
2016-08-28,4
2016-08-29,13
2016-08-30,30
2016-08-31,16
2016-09-01,13
2016-09-02,10
2016-09-03,4
2016-09-04,0
2016-09-05,0
2016-09-06,20
2016-09-07,17
2016-09-08,20
2016-09-09,14
2016-09-10,12
2016-09-11,0
2016-09-12,14
2016-09-13,23
2016-09-14,7
2016-09-15,10
2016-09-16,21
2016-09-17,4
2016-09-18,0
2016-09-19,19
2016-09-20,13
2016-09-21,16
2016-09-22,33
2016-09-23,10
2016-09-24,0
2016-09-25,0
2016-09-26,10
2016-09-27,6
2016-09-28,13
2016-09-29,43
2016-09-30,38
2016-10-01,18
2016-10-02,4
2016-10-03,29
2016-10-04,26
2016-10-05,26
2016-10-06,23
2016-10-07,37
2016-10-08,4
2016-10-09,0
2016-10-10,10
2016-10-11,13
2016-10-12,16
2016-10-13,10
2016-10-14,17
2016-10-15,4
2016-10-16,7
2016-10-17,16
2016-10-18,22
2016-10-19,13
2016-10-20,16
2016-10-21,34
2016-10-22,8
2016-10-23,4
2016-10-24,29
2016-10-25,19
2016-10-26,19
2016-10-27,68
2016-10-28,37
2016-10-29,4
2016-10-30,7
2016-10-31,26
2016-11-01,33
2016-11-02,32
2016-11-03,38
2016-11-04,30
2016-11-05,15
2016-11-06,4
2016-11-07,22
2016-11-08,31
2016-11-09,35
2016-11-10,32
2016-11-11,30
2016-11-12,0
2016-11-13,4
2016-11-14,13
2016-11-15,19
2016-11-16,10
2016-11-17,19
2016-11-18,30
2016-11-19,7
2016-11-20,4
2016-11-21,22
2016-11-22,19
2016-11-23,6
2016-11-24,7
2016-11-25,23
2016-11-26,7
2016-11-27,7
2016-11-28,21
2016-11-29,27
2016-11-30,9
2016-12-01,41
2016-12-02,22
2016-12-03,7
2016-12-04,0
2016-12-05,14
2016-12-06,18
2016-12-07,24
2016-12-08,34
2016-12-09,26
2016-12-10,14
2016-12-11,3
2016-12-12,15
2016-12-13,15
2016-12-14,24
2016-12-15,16
2016-12-16,23
2016-12-17,11
2016-12-18,4
2016-12-19,9
2016-12-20,25
2016-12-21,10
2016-12-22,3
2016-12-23,3
2016-12-24,0
2016-12-25,8
2016-12-26,14
2016-12-27,10
2016-12-28,20
2016-12-29,20
2016-12-30,28
2016-12-31,8
2017-01-01,12
2017-01-02,16
2017-01-03,19
2017-01-04,31
2017-01-05,19
2017-01-06,19
2017-01-07,10
2017-01-08,3
2017-01-09,18
2017-01-10,9
2017-01-11,15
2017-01-12,15
2017-01-13,12
2017-01-14,17
2017-01-15,3
2017-01-16,3
2017-01-17,30
2017-01-18,38
2017-01-19,21
