date,Expedia,isPartial
2017-05-29,82,False
2017-05-30,86,False
2017-05-31,86,False
2017-06-01,84,False
2017-06-02,77,False
2017-06-03,73,False
2017-06-04,81,False
2017-06-05,91,False
2017-06-06,95,False
2017-06-07,86,False
2017-06-08,79,False
2017-06-09,75,False
2017-06-10,76,False
2017-06-11,85,False
2017-06-12,90,False
2017-06-13,89,False
2017-06-14,89,False
2017-06-15,82,False
2017-06-16,80,False
2017-06-17,77,False
2017-06-18,83,False
2017-06-19,93,False
2017-06-20,89,False
2017-06-21,87,False
2017-06-22,87,False
2017-06-23,86,False
2017-06-24,77,False
2017-06-25,84,False
2017-06-26,95,False
2017-06-27,95,False
2017-06-28,95,False
2017-06-29,85,False
2017-06-30,85,False
2017-07-01,79,False
2017-07-02,84,False
2017-07-03,90,False
2017-07-04,87,False
2017-07-05,86,False
2017-07-06,91,False
2017-07-07,88,False
2017-07-08,82,False
2017-07-09,89,False
2017-07-10,94,False
2017-07-11,94,False
2017-07-12,94,False
2017-07-13,90,False
2017-07-14,92,False
2017-07-15,83,False
2017-07-16,94,False
2017-07-17,96,False
2017-07-18,97,False
2017-07-19,96,False
2017-07-20,90,False
2017-07-21,85,False
2017-07-22,88,False
2017-07-23,87,False
2017-07-24,97,False
2017-07-25,96,False
2017-07-26,95,False
2017-07-27,89,False
2017-07-28,94,False
2017-07-29,81,False
2017-07-30,85,False
2017-07-31,96,False
2017-08-01,96,False
2017-08-02,95,False
2017-08-03,95,False
2017-08-04,92,False
2017-08-05,80,False
2017-08-06,85,False
2017-08-07,92,False
2017-08-08,97,False
2017-08-09,100,False
2017-08-10,92,False
2017-08-11,85,False
2017-08-12,82,False
2017-08-13,85,False
2017-08-14,84,False
2017-08-15,90,False
2017-08-16,87,False
2017-08-17,86,False
2017-08-18,83,False
2017-08-19,75,False
2017-08-20,77,False
2017-08-21,86,False
2017-08-22,89,False
2017-08-23,91,False
2017-08-24,81,False
2017-08-25,79,False
2017-08-26,71,False
2017-08-27,73,False
2017-08-28,91,False
2017-08-29,89,False
2017-08-30,89,False
2017-08-31,87,False
2017-09-01,83,False
2017-09-02,73,False
2017-09-03,77,False
2017-09-04,81,False
2017-09-05,87,False
2017-09-06,88,False
2017-09-07,89,False
2017-09-08,84,False
2017-09-09,72,False
2017-09-10,71,False
2017-09-11,84,False
2017-09-12,84,False
2017-09-13,83,False
2017-09-14,81,False
2017-09-15,73,False
2017-09-16,72,False
2017-09-17,76,False
2017-09-18,81,False
2017-09-19,79,False
2017-09-20,78,False
2017-09-21,77,False
2017-09-22,76,False
2017-09-23,67,False
2017-09-24,69,False
2017-09-25,83,False
2017-09-26,88,False
2017-09-27,79,False
2017-09-28,73,False
2017-09-29,74,False
2017-09-30,70,False
2017-10-01,73,False
2017-10-02,80,False
2017-10-03,84,False
2017-10-04,78,False
2017-10-05,76,False
2017-10-06,73,False
2017-10-07,70,False
2017-10-08,73,False
2017-10-09,78,False
2017-10-10,84,False
2017-10-11,77,False
2017-10-12,76,False
2017-10-13,73,False
2017-10-14,70,False
2017-10-15,74,False
2017-10-16,78,False
2017-10-17,78,False
