date,Expedia,isPartial
2014-03-16,82,False
2014-03-17,84,False
2014-03-18,83,False
2014-03-19,80,False
2014-03-20,79,False
2014-03-21,74,False
2014-03-22,74,False
2014-03-23,81,False
2014-03-24,82,False
2014-03-25,82,False
2014-03-26,81,False
2014-03-27,77,False
2014-03-28,73,False
2014-03-29,73,False
2014-03-30,76,False
2014-03-31,83,False
2014-04-01,83,False
2014-04-02,83,False
2014-04-03,75,False
2014-04-04,78,False
2014-04-05,75,False
2014-04-06,80,False
2014-04-07,86,False
2014-04-08,83,False
2014-04-09,83,False
2014-04-10,77,False
2014-04-11,75,False
2014-04-12,71,False
2014-04-13,74,False
2014-04-14,84,False
2014-04-15,81,False
2014-04-16,81,False
2014-04-17,76,False
2014-04-18,73,False
2014-04-19,64,False
2014-04-20,69,False
2014-04-21,82,False
2014-04-22,86,False
2014-04-23,84,False
2014-04-24,78,False
2014-04-25,72,False
2014-04-26,66,False
2014-04-27,78,False
2014-04-28,81,False
2014-04-29,82,False
2014-04-30,81,False
2014-05-01,85,False
2014-05-02,73,False
2014-05-03,68,False
2014-05-04,73,False
2014-05-05,81,False
2014-05-06,80,False
2014-05-07,81,False
2014-05-08,76,False
2014-05-09,78,False
2014-05-10,69,False
2014-05-11,72,False
2014-05-12,81,False
2014-05-13,83,False
2014-05-14,77,False
2014-05-15,76,False
2014-05-16,76,False
2014-05-17,70,False
2014-05-18,78,False
2014-05-19,83,False
2014-05-20,82,False
2014-05-21,83,False
2014-05-22,79,False
2014-05-23,76,False
2014-05-24,69,False
2014-05-25,75,False
2014-05-26,74,False
2014-05-27,83,False
2014-05-28,86,False
2014-05-29,79,False
2014-05-30,77,False
2014-05-31,71,False
2014-06-01,80,False
2014-06-02,84,False
2014-06-03,85,False
2014-06-04,87,False
2014-06-05,84,False
2014-06-06,76,False
2014-06-07,73,False
2014-06-08,83,False
2014-06-09,88,False
2014-06-10,86,False
2014-06-11,86,False
2014-06-12,84,False
2014-06-13,73,False
2014-06-14,69,False
2014-06-15,77,False
2014-06-16,85,False
2014-06-17,88,False
2014-06-18,81,False
2014-06-19,83,False
2014-06-20,77,False
2014-06-21,74,False
2014-06-22,83,False
2014-06-23,85,False
2014-06-24,88,False
2014-06-25,87,False
2014-06-26,81,False
2014-06-27,81,False
2014-06-28,78,False
2014-06-29,88,False
2014-06-30,90,False
2014-07-01,91,False
2014-07-02,90,False
2014-07-03,88,False
2014-07-04,79,False
2014-07-05,72,False
2014-07-06,91,False
2014-07-07,100,False
2014-07-08,96,False
2014-07-09,96,False
