date,Expedia,isPartial
2011-05-11,81,False
2011-05-12,80,False
2011-05-13,76,False
2011-05-14,74,False
2011-05-15,81,False
2011-05-16,82,False
2011-05-17,89,False
2011-05-18,88,False
2011-05-19,81,False
2011-05-20,71,False
2011-05-21,76,False
2011-05-22,79,False
2011-05-23,89,False
2011-05-24,86,False
2011-05-25,82,False
2011-05-26,78,False
2011-05-27,75,False
2011-05-28,73,False
2011-05-29,79,False
2011-05-30,75,False
2011-05-31,84,False
2011-06-01,87,False
2011-06-02,84,False
2011-06-03,78,False
2011-06-04,75,False
2011-06-05,83,False
2011-06-06,87,False
2011-06-07,86,False
2011-06-08,88,False
2011-06-09,84,False
2011-06-10,75,False
2011-06-11,77,False
2011-06-12,85,False
2011-06-13,85,False
2011-06-14,91,False
2011-06-15,85,False
2011-06-16,83,False
2011-06-17,78,False
2011-06-18,76,False
2011-06-19,83,False
2011-06-20,91,False
2011-06-21,90,False
2011-06-22,86,False
2011-06-23,85,False
2011-06-24,87,False
2011-06-25,76,False
2011-06-26,91,False
2011-06-27,92,False
2011-06-28,88,False
2011-06-29,93,False
2011-06-30,82,False
2011-07-01,82,False
2011-07-02,76,False
2011-07-03,82,False
2011-07-04,80,False
2011-07-05,88,False
2011-07-06,97,False
2011-07-07,94,False
2011-07-08,90,False
2011-07-09,85,False
2011-07-10,99,False
2011-07-11,94,False
2011-07-12,99,False
2011-07-13,97,False
2011-07-14,94,False
2011-07-15,86,False
2011-07-16,83,False
2011-07-17,94,False
2011-07-18,97,False
2011-07-19,100,False
2011-07-20,98,False
2011-07-21,95,False
2011-07-22,84,False
2011-07-23,85,False
2011-07-24,96,False
2011-07-25,97,False
2011-07-26,94,False
2011-07-27,91,False
2011-07-28,88,False
2011-07-29,84,False
2011-07-30,76,False
2011-07-31,89,False
2011-08-01,95,False
2011-08-02,96,False
2011-08-03,95,False
2011-08-04,91,False
2011-08-05,82,False
2011-08-06,82,False
2011-08-07,86,False
2011-08-08,85,False
2011-08-09,86,False
2011-08-10,86,False
2011-08-11,86,False
2011-08-12,79,False
2011-08-13,77,False
2011-08-14,89,False
2011-08-15,87,False
2011-08-16,87,False
2011-08-17,90,False
2011-08-18,78,False
2011-08-19,76,False
2011-08-20,72,False
2011-08-21,77,False
2011-08-22,81,False
2011-08-23,85,False
2011-08-24,80,False
2011-08-25,75,False
2011-08-26,74,False
