date,DISH stock
2018-02-13,36
2018-02-14,36
2018-02-15,60
2018-02-16,44
2018-02-17,14
2018-02-18,27
2018-02-19,30
2018-02-20,53
2018-02-21,64
2018-02-22,47
2018-02-23,55
2018-02-24,47
2018-02-25,13
2018-02-26,46
2018-02-27,64
2018-02-28,47
2018-03-01,57
2018-03-02,37
2018-03-03,27
2018-03-04,33
2018-03-05,40
2018-03-06,64
2018-03-07,53
2018-03-08,54
2018-03-09,43
2018-03-10,54
2018-03-11,20
2018-03-12,17
2018-03-13,70
2018-03-14,58
2018-03-15,100
2018-03-16,61
2018-03-17,34
2018-03-18,33
2018-03-19,29
2018-03-20,82
2018-03-21,64
2018-03-22,65
2018-03-23,49
2018-03-24,21
2018-03-25,20
2018-03-26,53
2018-03-27,66
2018-03-28,31
2018-03-29,57
2018-03-30,47
2018-03-31,42
2018-04-01,43
2018-04-02,56
2018-04-03,82
2018-04-04,24
2018-04-05,78
2018-04-06,12
2018-04-07,21
2018-04-08,27
2018-04-09,70
