date,DISH stock
2015-08-18,12
2015-08-19,24
2015-08-20,46
2015-08-21,36
2015-08-22,28
2015-08-23,27
2015-08-24,56
2015-08-25,90
2015-08-26,23
2015-08-27,68
2015-08-28,48
2015-08-29,14
2015-08-30,40
2015-08-31,34
2015-09-01,33
2015-09-02,22
2015-09-03,0
2015-09-04,35
2015-09-05,0
2015-09-06,27
2015-09-07,12
2015-09-08,45
2015-09-09,44
2015-09-10,34
2015-09-11,46
2015-09-12,0
2015-09-13,13
2015-09-14,44
2015-09-15,11
2015-09-16,66
2015-09-17,78
2015-09-18,35
2015-09-19,26
2015-09-20,13
2015-09-21,0
2015-09-22,33
2015-09-23,22
2015-09-24,11
2015-09-25,12
2015-09-26,13
2015-09-27,26
2015-09-28,43
2015-09-29,33
2015-09-30,33
2015-10-01,22
2015-10-02,23
2015-10-03,26
2015-10-04,13
2015-10-05,33
2015-10-06,0
2015-10-07,54
2015-10-08,55
2015-10-09,46
2015-10-10,26
2015-10-11,65
2015-10-12,22
2015-10-13,21
2015-10-14,43
2015-10-15,44
2015-10-16,57
2015-10-17,0
2015-10-18,13
2015-10-19,21
2015-10-20,32
2015-10-21,33
2015-10-22,44
2015-10-23,34
2015-10-24,26
2015-10-25,13
2015-10-26,11
2015-10-27,65
2015-10-28,64
2015-10-29,77
2015-10-30,23
2015-10-31,0
2015-11-01,0
2015-11-02,54
2015-11-03,43
2015-11-04,32
2015-11-05,54
2015-11-06,11
2015-11-07,25
2015-11-08,25
2015-11-09,21
2015-11-10,21
2015-11-11,22
2015-11-12,0
2015-11-13,23
2015-11-14,13
2015-11-15,0
2015-11-16,32
2015-11-17,63
2015-11-18,54
2015-11-19,22
2015-11-20,45
2015-11-21,0
2015-11-22,50
2015-11-23,43
2015-11-24,43
2015-11-25,0
2015-11-26,23
2015-11-27,11
2015-11-28,63
2015-11-29,86
2015-11-30,53
2015-12-01,11
2015-12-02,0
2015-12-03,22
2015-12-04,0
2015-12-05,38
2015-12-06,25
2015-12-07,11
2015-12-08,33
2015-12-09,22
2015-12-10,11
2015-12-11,23
2015-12-12,26
2015-12-13,37
2015-12-14,11
2015-12-15,33
2015-12-16,67
2015-12-17,11
2015-12-18,36
2015-12-19,40
2015-12-20,13
2015-12-21,23
2015-12-22,0
2015-12-23,24
2015-12-24,14
2015-12-25,0
2015-12-26,14
2015-12-27,53
2015-12-28,82
2015-12-29,12
2015-12-30,12
2015-12-31,13
2016-01-01,30
2016-01-02,14
2016-01-03,40
2016-01-04,35
2016-01-05,23
2016-01-06,47
2016-01-07,59
2016-01-08,59
2016-01-09,26
2016-01-10,13
2016-01-11,45
2016-01-12,34
2016-01-13,45
2016-01-14,34
2016-01-15,24
2016-01-16,40
2016-01-17,0
2016-01-18,11
2016-01-19,57
2016-01-20,57
2016-01-21,35
2016-01-22,24
2016-01-23,13
2016-01-24,26
2016-01-25,0
2016-01-26,79
2016-01-27,34
2016-01-28,46
2016-01-29,60
2016-01-30,26
2016-01-31,38
2016-02-01,34
2016-02-02,45
2016-02-03,45
2016-02-04,47
2016-02-05,36
2016-02-06,27
2016-02-07,26
2016-02-08,46
2016-02-09,58
2016-02-10,68
2016-02-11,57
2016-02-12,35
2016-02-13,26
2016-02-14,13
2016-02-15,23
2016-02-16,22
2016-02-17,45
2016-02-18,45
2016-02-19,46
2016-02-20,26
2016-02-21,38
2016-02-22,55
2016-02-23,56
2016-02-24,11
2016-02-25,45
2016-02-26,12
2016-02-27,39
2016-02-28,25
2016-02-29,22
2016-03-01,0
2016-03-02,55
2016-03-03,11
2016-03-04,46
2016-03-05,13
2016-03-06,13
2016-03-07,33
2016-03-08,22
2016-03-09,11
2016-03-10,0
2016-03-11,0
2016-03-12,26
2016-03-13,50
2016-03-14,22
2016-03-15,56
2016-03-16,67
2016-03-17,58
2016-03-18,12
2016-03-19,13
2016-03-20,13
2016-03-21,34
2016-03-22,79
2016-03-23,46
2016-03-24,48
2016-03-25,13
2016-03-26,27
2016-03-27,13
2016-03-28,47
2016-03-29,34
2016-03-30,23
2016-03-31,23
2016-04-01,59
2016-04-02,26
2016-04-03,0
2016-04-04,56
2016-04-05,67
2016-04-06,100
2016-04-07,11
2016-04-08,47
2016-04-09,26
2016-04-10,38
2016-04-11,11
2016-04-12,67
2016-04-13,34
2016-04-14,46
2016-04-15,24
2016-04-16,53
2016-04-17,39
2016-04-18,0
2016-04-19,34
2016-04-20,90
2016-04-21,57
2016-04-22,12
2016-04-23,13
2016-04-24,0
2016-04-25,44
2016-04-26,33
2016-04-27,45
2016-04-28,23
2016-04-29,12
2016-04-30,27
2016-05-01,40
2016-05-02,58
2016-05-03,34
2016-05-04,46
