date,DISH stock
2011-05-11,49
2011-05-12,50
2011-05-13,21
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,20
2011-05-18,0
2011-05-19,30
2011-05-20,21
2011-05-21,25
2011-05-22,0
2011-05-23,39
2011-05-24,40
2011-05-25,39
2011-05-26,30
2011-05-27,0
2011-05-28,26
2011-05-29,0
2011-05-30,21
2011-05-31,39
2011-06-01,40
2011-06-02,42
2011-06-03,21
2011-06-04,0
2011-06-05,0
2011-06-06,20
2011-06-07,19
2011-06-08,20
2011-06-09,20
2011-06-10,31
2011-06-11,0
2011-06-12,76
2011-06-13,0
2011-06-14,0
2011-06-15,39
2011-06-16,30
2011-06-17,21
2011-06-18,25
2011-06-19,0
2011-06-20,0
2011-06-21,20
2011-06-22,20
2011-06-23,62
2011-06-24,21
2011-06-25,25
2011-06-26,0
2011-06-27,30
2011-06-28,0
2011-06-29,20
2011-06-30,20
2011-07-01,32
2011-07-02,26
2011-07-03,0
2011-07-04,42
2011-07-05,20
2011-07-06,40
2011-07-07,20
2011-07-08,42
2011-07-09,52
2011-07-10,26
2011-07-11,0
2011-07-12,20
2011-07-13,40
2011-07-14,21
2011-07-15,21
2011-07-16,26
2011-07-17,26
2011-07-18,20
2011-07-19,30
2011-07-20,40
2011-07-21,51
2011-07-22,21
2011-07-23,37
2011-07-24,0
2011-07-25,58
2011-07-26,20
2011-07-27,20
2011-07-28,50
2011-07-29,32
2011-07-30,0
2011-07-31,25
2011-08-01,0
2011-08-02,20
2011-08-03,50
2011-08-04,60
2011-08-05,21
2011-08-06,25
2011-08-07,0
2011-08-08,0
2011-08-09,76
2011-08-10,39
2011-08-11,29
2011-08-12,31
2011-08-13,0
2011-08-14,0
2011-08-15,51
2011-08-16,30
2011-08-17,60
2011-08-18,0
2011-08-19,0
2011-08-20,25
2011-08-21,24
2011-08-22,19
2011-08-23,37
2011-08-24,19
2011-08-25,19
2011-08-26,40
2011-08-27,24
2011-08-28,23
2011-08-29,38
2011-08-30,19
2011-08-31,29
2011-09-01,29
2011-09-02,29
2011-09-03,47
2011-09-04,0
2011-09-05,38
2011-09-06,36
2011-09-07,28
2011-09-08,19
2011-09-09,29
2011-09-10,34
2011-09-11,23
2011-09-12,27
2011-09-13,18
2011-09-14,36
2011-09-15,28
2011-09-16,20
2011-09-17,0
2011-09-18,22
2011-09-19,36
2011-09-20,53
2011-09-21,36
2011-09-22,100
2011-09-23,19
2011-09-24,23
2011-09-25,22
2011-09-26,54
2011-09-27,62
2011-09-28,45
2011-09-29,64
2011-09-30,48
2011-10-01,68
2011-10-02,22
2011-10-03,55
2011-10-04,26
2011-10-05,0
2011-10-06,45
2011-10-07,38
2011-10-08,44
2011-10-09,0
2011-10-10,53
2011-10-11,58
2011-10-12,60
2011-10-13,18
2011-10-14,37
2011-10-15,22
2011-10-16,0
2011-10-17,35
2011-10-18,52
2011-10-19,35
2011-10-20,27
2011-10-21,28
2011-10-22,44
2011-10-23,0
2011-10-24,35
2011-10-25,52
2011-10-26,71
2011-10-27,71
2011-10-28,19
2011-10-29,22
2011-10-30,21
2011-10-31,18
2011-11-01,46
2011-11-02,53
2011-11-03,35
2011-11-04,45
2011-11-05,0
2011-11-06,0
2011-11-07,35
2011-11-08,43
2011-11-09,35
2011-11-10,18
2011-11-11,19
2011-11-12,21
2011-11-13,0
2011-11-14,26
2011-11-15,52
2011-11-16,26
2011-11-17,35
2011-11-18,55
2011-11-19,42
2011-11-20,42
2011-11-21,17
2011-11-22,17
2011-11-23,26
2011-11-24,37
2011-11-25,0
2011-11-26,42
2011-11-27,21
2011-11-28,25
2011-11-29,17
2011-11-30,42
2011-12-01,43
2011-12-02,36
2011-12-03,21
2011-12-04,0
2011-12-05,51
2011-12-06,17
2011-12-07,17
2011-12-08,17
2011-12-09,18
2011-12-10,21
2011-12-11,21
2011-12-12,34
2011-12-13,17
2011-12-14,26
2011-12-15,17
2011-12-16,18
2011-12-17,42
2011-12-18,21
2011-12-19,0
2011-12-20,0
2011-12-21,36
2011-12-22,0
2011-12-23,20
2011-12-24,24
2011-12-25,25
2011-12-26,41
2011-12-27,28
2011-12-28,37
2011-12-29,37
2011-12-30,20
2011-12-31,46
2012-01-01,24
2012-01-02,36
2012-01-03,0
2012-01-04,17
2012-01-05,0
2012-01-06,44
2012-01-07,0
2012-01-08,0
2012-01-09,33
2012-01-10,16
2012-01-11,33
2012-01-12,16
2012-01-13,51
2012-01-14,0
2012-01-15,19
2012-01-16,24
2012-01-17,24
2012-01-18,0
2012-01-19,49
2012-01-20,17
2012-01-21,39
2012-01-22,39
2012-01-23,24
2012-01-24,48
2012-01-25,16
2012-01-26,33
