date,DISH stock
2012-06-04,0
2012-06-05,19
2012-06-06,19
2012-06-07,0
2012-06-08,40
2012-06-09,0
2012-06-10,0
2012-06-11,19
2012-06-12,19
2012-06-13,0
2012-06-14,39
2012-06-15,0
2012-06-16,24
2012-06-17,0
2012-06-18,0
2012-06-19,39
2012-06-20,59
2012-06-21,39
2012-06-22,0
2012-06-23,0
2012-06-24,24
2012-06-25,0
2012-06-26,0
2012-06-27,19
2012-06-28,79
2012-06-29,21
2012-06-30,0
2012-07-01,24
2012-07-02,59
2012-07-03,0
2012-07-04,21
2012-07-05,0
2012-07-06,0
2012-07-07,25
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,40
2012-07-12,40
2012-07-13,0
2012-07-14,25
2012-07-15,25
2012-07-16,0
2012-07-17,0
2012-07-18,59
2012-07-19,60
2012-07-20,21
2012-07-21,25
2012-07-22,0
2012-07-23,40
2012-07-24,0
2012-07-25,39
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,58
2012-07-31,39
2012-08-01,20
2012-08-02,40
2012-08-03,0
2012-08-04,49
2012-08-05,49
2012-08-06,39
2012-08-07,20
2012-08-08,40
2012-08-09,40
2012-08-10,42
2012-08-11,49
2012-08-12,49
2012-08-13,59
2012-08-14,20
2012-08-15,41
2012-08-16,60
2012-08-17,21
2012-08-18,49
2012-08-19,0
2012-08-20,0
2012-08-21,20
2012-08-22,0
2012-08-23,80
2012-08-24,41
2012-08-25,0
2012-08-26,0
2012-08-27,38
2012-08-28,76
2012-08-29,0
2012-08-30,78
2012-08-31,20
2012-09-01,24
2012-09-02,0
2012-09-03,20
2012-09-04,19
2012-09-05,38
2012-09-06,0
2012-09-07,20
2012-09-08,0
2012-09-09,0
2012-09-10,74
2012-09-11,0
2012-09-12,0
2012-09-13,76
2012-09-14,20
2012-09-15,0
2012-09-16,0
2012-09-17,19
2012-09-18,74
2012-09-19,74
2012-09-20,0
2012-09-21,20
2012-09-22,23
2012-09-23,22
2012-09-24,19
2012-09-25,19
2012-09-26,0
2012-09-27,19
2012-09-28,40
2012-09-29,22
2012-09-30,22
2012-10-01,19
2012-10-02,18
2012-10-03,0
2012-10-04,73
2012-10-05,57
2012-10-06,22
2012-10-07,43
2012-10-08,0
2012-10-09,89
2012-10-10,0
2012-10-11,37
2012-10-12,38
2012-10-13,22
2012-10-14,0
2012-10-15,18
2012-10-16,0
2012-10-17,36
2012-10-18,71
2012-10-19,75
2012-10-20,0
2012-10-21,21
2012-10-22,35
2012-10-23,0
2012-10-24,18
2012-10-25,36
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,17
2012-10-30,17
2012-10-31,36
2012-11-01,0
2012-11-02,38
2012-11-03,21
2012-11-04,0
2012-11-05,0
2012-11-06,17
2012-11-07,51
2012-11-08,18
2012-11-09,56
2012-11-10,0
2012-11-11,42
2012-11-12,35
2012-11-13,36
2012-11-14,18
2012-11-15,54
2012-11-16,36
2012-11-17,41
2012-11-18,0
2012-11-19,0
2012-11-20,35
2012-11-21,70
2012-11-22,0
2012-11-23,56
2012-11-24,0
2012-11-25,0
2012-11-26,34
2012-11-27,34
2012-11-28,34
2012-11-29,17
2012-11-30,0
2012-12-01,41
2012-12-02,0
2012-12-03,0
2012-12-04,68
2012-12-05,17
2012-12-06,18
2012-12-07,72
2012-12-08,21
2012-12-09,0
2012-12-10,34
2012-12-11,35
2012-12-12,0
2012-12-13,52
2012-12-14,73
2012-12-15,21
2012-12-16,0
2012-12-17,0
2012-12-18,35
2012-12-19,36
2012-12-20,18
2012-12-21,38
2012-12-22,22
2012-12-23,0
2012-12-24,0
2012-12-25,23
2012-12-26,39
2012-12-27,19
2012-12-28,19
2012-12-29,63
2012-12-30,21
2012-12-31,63
2013-01-01,45
2013-01-02,18
2013-01-03,69
2013-01-04,18
2013-01-05,40
2013-01-06,40
2013-01-07,68
2013-01-08,100
2013-01-09,17
2013-01-10,34
2013-01-11,35
2013-01-12,0
2013-01-13,38
2013-01-14,49
2013-01-15,32
2013-01-16,33
2013-01-17,17
2013-01-18,17
2013-01-19,0
2013-01-20,57
2013-01-21,32
2013-01-22,16
2013-01-23,82
2013-01-24,33
2013-01-25,34
2013-01-26,20
2013-01-27,19
2013-01-28,16
2013-01-29,16
2013-01-30,48
2013-01-31,0
2013-02-01,0
2013-02-02,0
2013-02-03,19
2013-02-04,0
2013-02-05,16
2013-02-06,16
2013-02-07,16
2013-02-08,17
2013-02-09,0
2013-02-10,0
2013-02-11,33
2013-02-12,33
2013-02-13,33
2013-02-14,34
2013-02-15,17
2013-02-16,58
2013-02-17,19
2013-02-18,0
2013-02-19,48
