date,Electronic Arts,isPartial
2015-08-18,56,False
2015-08-19,55,False
2015-08-20,35,False
2015-08-21,45,False
2015-08-22,30,False
2015-08-23,40,False
2015-08-24,42,False
2015-08-25,49,False
2015-08-26,40,False
2015-08-27,37,False
2015-08-28,39,False
2015-08-29,63,False
2015-08-30,59,False
2015-08-31,45,False
2015-09-01,61,False
2015-09-02,54,False
2015-09-03,44,False
2015-09-04,35,False
2015-09-05,65,False
2015-09-06,65,False
2015-09-07,51,False
2015-09-08,57,False
2015-09-09,57,False
2015-09-10,67,False
2015-09-11,51,False
2015-09-12,35,False
2015-09-13,31,False
2015-09-14,63,False
2015-09-15,51,False
2015-09-16,54,False
2015-09-17,57,False
2015-09-18,56,False
2015-09-19,53,False
2015-09-20,55,False
2015-09-21,68,False
2015-09-22,62,False
2015-09-23,39,False
2015-09-24,59,False
2015-09-25,44,False
2015-09-26,46,False
2015-09-27,32,False
2015-09-28,50,False
2015-09-29,62,False
2015-09-30,57,False
2015-10-01,62,False
2015-10-02,74,False
2015-10-03,46,False
2015-10-04,59,False
2015-10-05,67,False
2015-10-06,73,False
2015-10-07,62,False
2015-10-08,77,False
2015-10-09,86,False
2015-10-10,62,False
2015-10-11,53,False
2015-10-12,61,False
2015-10-13,70,False
2015-10-14,67,False
2015-10-15,42,False
2015-10-16,58,False
2015-10-17,52,False
2015-10-18,37,False
2015-10-19,58,False
2015-10-20,64,False
2015-10-21,64,False
2015-10-22,59,False
2015-10-23,59,False
2015-10-24,31,False
2015-10-25,47,False
2015-10-26,46,False
2015-10-27,50,False
2015-10-28,55,False
2015-10-29,71,False
2015-10-30,65,False
2015-10-31,56,False
2015-11-01,35,False
2015-11-02,65,False
2015-11-03,63,False
2015-11-04,44,False
2015-11-05,49,False
2015-11-06,55,False
2015-11-07,69,False
2015-11-08,64,False
2015-11-09,52,False
2015-11-10,58,False
2015-11-11,48,False
2015-11-12,78,False
2015-11-13,59,False
2015-11-14,64,False
2015-11-15,51,False
2015-11-16,76,False
2015-11-17,64,False
2015-11-18,88,False
2015-11-19,86,False
2015-11-20,64,False
2015-11-21,58,False
2015-11-22,57,False
2015-11-23,77,False
2015-11-24,84,False
2015-11-25,58,False
2015-11-26,24,False
2015-11-27,52,False
2015-11-28,64,False
2015-11-29,36,False
2015-11-30,59,False
2015-12-01,57,False
2015-12-02,73,False
2015-12-03,83,False
2015-12-04,69,False
2015-12-05,41,False
2015-12-06,51,False
2015-12-07,50,False
2015-12-08,53,False
2015-12-09,69,False
2015-12-10,77,False
2015-12-11,63,False
2015-12-12,38,False
2015-12-13,51,False
2015-12-14,68,False
2015-12-15,54,False
2015-12-16,39,False
2015-12-17,52,False
2015-12-18,100,False
2015-12-19,48,False
