date,Electronic Arts,isPartial
2013-11-06,58,False
2013-11-07,69,False
2013-11-08,81,False
2013-11-09,83,False
2013-11-10,54,False
2013-11-11,60,False
2013-11-12,50,False
2013-11-13,51,False
2013-11-14,35,False
2013-11-15,34,False
2013-11-16,46,False
2013-11-17,35,False
2013-11-18,38,False
2013-11-19,33,False
2013-11-20,38,False
2013-11-21,33,False
2013-11-22,28,False
2013-11-23,25,False
2013-11-24,30,False
2013-11-25,30,False
2013-11-26,26,False
2013-11-27,27,False
2013-11-28,18,False
2013-11-29,29,False
2013-11-30,25,False
2013-12-01,29,False
2013-12-02,20,False
2013-12-03,34,False
2013-12-04,27,False
2013-12-05,20,False
2013-12-06,36,False
2013-12-07,23,False
2013-12-08,20,False
2013-12-09,21,False
2013-12-10,17,False
2013-12-11,24,False
2013-12-12,26,False
2013-12-13,28,False
2013-12-14,30,False
2013-12-15,26,False
2013-12-16,24,False
2013-12-17,27,False
2013-12-18,27,False
2013-12-19,25,False
2013-12-20,27,False
2013-12-21,23,False
2013-12-22,31,False
2013-12-23,28,False
2013-12-24,40,False
2013-12-25,29,False
2013-12-26,31,False
2013-12-27,40,False
2013-12-28,26,False
2013-12-29,28,False
2013-12-30,35,False
2013-12-31,37,False
2014-01-01,19,False
2014-01-02,28,False
2014-01-03,36,False
2014-01-04,30,False
2014-01-05,23,False
2014-01-06,25,False
2014-01-07,25,False
2014-01-08,26,False
2014-01-09,24,False
2014-01-10,27,False
2014-01-11,18,False
2014-01-12,24,False
2014-01-13,34,False
2014-01-14,23,False
2014-01-15,20,False
2014-01-16,26,False
2014-01-17,20,False
2014-01-18,27,False
2014-01-19,22,False
2014-01-20,26,False
2014-01-21,22,False
2014-01-22,26,False
2014-01-23,29,False
2014-01-24,32,False
2014-01-25,21,False
2014-01-26,24,False
2014-01-27,25,False
2014-01-28,28,False
2014-01-29,25,False
2014-01-30,29,False
2014-01-31,15,False
2014-02-01,27,False
2014-02-02,25,False
2014-02-03,26,False
2014-02-04,18,False
2014-02-05,22,False
2014-02-06,21,False
2014-02-07,36,False
2014-02-08,16,False
2014-02-09,11,False
2014-02-10,25,False
2014-02-11,31,False
2014-02-12,21,False
2014-02-13,16,False
2014-02-14,23,False
2014-02-15,17,False
2014-02-16,26,False
2014-02-17,20,False
2014-02-18,26,False
2014-02-19,36,False
2014-02-20,26,False
2014-02-21,26,False
2014-02-22,33,False
2014-02-23,19,False
2014-02-24,30,False
2014-02-25,21,False
2014-02-26,27,False
2014-02-27,18,False
2014-02-28,28,False
2014-03-01,17,False
2014-03-02,15,False
2014-03-03,38,False
2014-03-04,30,False
2014-03-05,14,False
2014-03-06,15,False
2014-03-07,20,False
2014-03-08,21,False
2014-03-09,29,False
2014-03-10,21,False
2014-03-11,35,False
2014-03-12,22,False
2014-03-13,31,False
2014-03-14,34,False
2014-03-15,26,False
2014-03-16,26,False
2014-03-17,14,False
2014-03-18,23,False
2014-03-19,32,False
2014-03-20,25,False
2014-03-21,19,False
2014-03-22,21,False
2014-03-23,20,False
2014-03-24,24,False
2014-03-25,37,False
2014-03-26,21,False
2014-03-27,20,False
2014-03-28,29,False
2014-03-29,14,False
2014-03-30,23,False
2014-03-31,26,False
2014-04-01,22,False
2014-04-02,25,False
2014-04-03,33,False
2014-04-04,24,False
2014-04-05,19,False
2014-04-06,22,False
2014-04-07,21,False
2014-04-08,27,False
2014-04-09,21,False
2014-04-10,26,False
2014-04-11,27,False
2014-04-12,10,False
2014-04-13,13,False
2014-04-14,27,False
2014-04-15,18,False
2014-04-16,13,False
2014-04-17,26,False
2014-04-18,25,False
2014-04-19,25,False
2014-04-20,30,False
2014-04-21,23,False
2014-04-22,42,False
2014-04-23,22,False
2014-04-24,18,False
2014-04-25,26,False
2014-04-26,22,False
2014-04-27,22,False
2014-04-28,26,False
2014-04-29,14,False
2014-04-30,12,False
2014-05-01,34,False
2014-05-02,26,False
2014-05-03,24,False
2014-05-04,22,False
2014-05-05,22,False
2014-05-06,21,False
2014-05-07,35,False
2014-05-08,27,False
2014-05-09,24,False
2014-05-10,25,False
2014-05-11,16,False
2014-05-12,29,False
2014-05-13,34,False
2014-05-14,15,False
2014-05-15,26,False
2014-05-16,23,False
2014-05-17,14,False
2014-05-18,16,False
2014-05-19,19,False
2014-05-20,22,False
2014-05-21,19,False
2014-05-22,17,False
2014-05-23,19,False
2014-05-24,30,False
2014-05-25,20,False
2014-05-26,18,False
2014-05-27,16,False
2014-05-28,18,False
2014-05-29,40,False
2014-05-30,43,False
2014-05-31,19,False
2014-06-01,25,False
2014-06-02,21,False
2014-06-03,20,False
2014-06-04,19,False
2014-06-05,25,False
2014-06-06,25,False
2014-06-07,36,False
2014-06-08,34,False
2014-06-09,100,False
2014-06-10,40,False
2014-06-11,29,False
2014-06-12,30,False
2014-06-13,35,False
2014-06-14,24,False
2014-06-15,16,False
2014-06-16,26,False
2014-06-17,24,False
2014-06-18,28,False
2014-06-19,21,False
2014-06-20,21,False
2014-06-21,27,False
2014-06-22,16,False
2014-06-23,14,False
2014-06-24,29,False
2014-06-25,24,False
2014-06-26,28,False
2014-06-27,27,False
2014-06-28,13,False
2014-06-29,18,False
2014-06-30,13,False
2014-07-01,19,False
2014-07-02,27,False
2014-07-03,23,False
2014-07-04,26,False
2014-07-05,15,False
2014-07-06,14,False
2014-07-07,17,False
2014-07-08,29,False
2014-07-09,13,False
2014-07-10,20,False
2014-07-11,11,False
2014-07-12,14,False
2014-07-13,20,False
2014-07-14,23,False
2014-07-15,24,False
2014-07-16,22,False
2014-07-17,28,False
2014-07-18,26,False
2014-07-19,22,False
2014-07-20,19,False
2014-07-21,20,False
2014-07-22,29,False
2014-07-23,31,False
2014-07-24,40,False
