date,Charter,isPartial
2016-05-04,62,False
2016-05-05,60,False
2016-05-06,61,False
2016-05-07,45,False
2016-05-08,38,False
2016-05-09,63,False
2016-05-10,62,False
2016-05-11,59,False
2016-05-12,100,False
2016-05-13,60,False
2016-05-14,46,False
2016-05-15,43,False
2016-05-16,62,False
2016-05-17,64,False
2016-05-18,65,False
2016-05-19,64,False
2016-05-20,58,False
2016-05-21,49,False
2016-05-22,46,False
2016-05-23,61,False
2016-05-24,64,False
2016-05-25,62,False
2016-05-26,60,False
2016-05-27,57,False
2016-05-28,47,False
2016-05-29,42,False
2016-05-30,43,False
2016-05-31,63,False
2016-06-01,66,False
2016-06-02,61,False
2016-06-03,59,False
2016-06-04,49,False
2016-06-05,45,False
2016-06-06,62,False
2016-06-07,63,False
2016-06-08,58,False
2016-06-09,61,False
2016-06-10,58,False
2016-06-11,46,False
2016-06-12,44,False
2016-06-13,60,False
2016-06-14,63,False
2016-06-15,58,False
2016-06-16,56,False
2016-06-17,54,False
2016-06-18,43,False
2016-06-19,42,False
2016-06-20,57,False
2016-06-21,58,False
2016-06-22,58,False
2016-06-23,57,False
2016-06-24,50,False
2016-06-25,45,False
2016-06-26,45,False
2016-06-27,58,False
2016-06-28,60,False
2016-06-29,54,False
2016-06-30,58,False
2016-07-01,55,False
2016-07-02,45,False
2016-07-03,45,False
2016-07-04,40,False
2016-07-05,60,False
2016-07-06,60,False
2016-07-07,65,False
2016-07-08,58,False
2016-07-09,47,False
2016-07-10,50,False
2016-07-11,59,False
2016-07-12,57,False
2016-07-13,57,False
2016-07-14,59,False
2016-07-15,56,False
2016-07-16,46,False
2016-07-17,45,False
2016-07-18,61,False
2016-07-19,63,False
2016-07-20,59,False
2016-07-21,57,False
2016-07-22,57,False
2016-07-23,49,False
2016-07-24,48,False
2016-07-25,63,False
2016-07-26,59,False
2016-07-27,62,False
2016-07-28,61,False
2016-07-29,59,False
2016-07-30,54,False
2016-07-31,50,False
2016-08-01,71,False
2016-08-02,74,False
2016-08-03,67,False
2016-08-04,68,False
2016-08-05,63,False
2016-08-06,55,False
2016-08-07,50,False
2016-08-08,66,False
2016-08-09,71,False
2016-08-10,70,False
2016-08-11,65,False
2016-08-12,70,False
2016-08-13,55,False
2016-08-14,50,False
2016-08-15,70,False
2016-08-16,64,False
2016-08-17,65,False
2016-08-18,65,False
2016-08-19,65,False
2016-08-20,50,False
2016-08-21,52,False
2016-08-22,76,False
2016-08-23,79,False
2016-08-24,74,False
2016-08-25,68,False
2016-08-26,65,False
2016-08-27,53,False
2016-08-28,53,False
2016-08-29,72,False
2016-08-30,70,False
2016-08-31,67,False
2016-09-01,69,False
2016-09-02,63,False
2016-09-03,52,False
2016-09-04,46,False
2016-09-05,48,False
2016-09-06,74,False
2016-09-07,73,False
2016-09-08,70,False
2016-09-09,68,False
2016-09-10,54,False
2016-09-11,52,False
2016-09-12,66,False
2016-09-13,66,False
2016-09-14,61,False
2016-09-15,66,False
2016-09-16,62,False
2016-09-17,54,False
2016-09-18,52,False
2016-09-19,67,False
2016-09-20,63,False
2016-09-21,64,False
2016-09-22,61,False
2016-09-23,60,False
2016-09-24,47,False
2016-09-25,44,False
2016-09-26,59,False
2016-09-27,59,False
2016-09-28,60,False
2016-09-29,57,False
2016-09-30,57,False
2016-10-01,47,False
2016-10-02,47,False
2016-10-03,61,False
2016-10-04,65,False
2016-10-05,60,False
2016-10-06,59,False
2016-10-07,54,False
2016-10-08,46,False
2016-10-09,48,False
2016-10-10,58,False
2016-10-11,63,False
2016-10-12,59,False
2016-10-13,61,False
2016-10-14,57,False
2016-10-15,44,False
2016-10-16,45,False
2016-10-17,60,False
2016-10-18,62,False
2016-10-19,63,False
2016-10-20,58,False
2016-10-21,60,False
2016-10-22,44,False
2016-10-23,49,False
2016-10-24,66,False
2016-10-25,60,False
2016-10-26,58,False
2016-10-27,58,False
2016-10-28,56,False
2016-10-29,42,False
2016-10-30,42,False
2016-10-31,55,False
2016-11-01,59,False
2016-11-02,62,False
2016-11-03,64,False
2016-11-04,61,False
2016-11-05,48,False
2016-11-06,43,False
2016-11-07,58,False
2016-11-08,64,False
2016-11-09,53,False
2016-11-10,58,False
2016-11-11,51,False
2016-11-12,44,False
2016-11-13,43,False
2016-11-14,57,False
2016-11-15,59,False
2016-11-16,58,False
2016-11-17,55,False
2016-11-18,60,False
2016-11-19,43,False
2016-11-20,38,False
2016-11-21,52,False
2016-11-22,50,False
2016-11-23,49,False
2016-11-24,42,False
2016-11-25,44,False
2016-11-26,45,False
2016-11-27,42,False
2016-11-28,56,False
2016-11-29,68,False
2016-11-30,62,False
2016-12-01,61,False
2016-12-02,61,False
2016-12-03,49,False
2016-12-04,47,False
2016-12-05,55,False
2016-12-06,56,False
2016-12-07,55,False
2016-12-08,54,False
2016-12-09,56,False
2016-12-10,40,False
2016-12-11,42,False
2016-12-12,55,False
2016-12-13,57,False
2016-12-14,54,False
2016-12-15,53,False
2016-12-16,54,False
2016-12-17,39,False
2016-12-18,42,False
2016-12-19,48,False
2016-12-20,49,False
2016-12-21,53,False
2016-12-22,42,False
2016-12-23,41,False
2016-12-24,32,False
2016-12-25,31,False
2016-12-26,38,False
2016-12-27,47,False
2016-12-28,46,False
2016-12-29,47,False
2016-12-30,47,False
2016-12-31,44,False
2017-01-01,42,False
2017-01-02,55,False
2017-01-03,62,False
2017-01-04,57,False
2017-01-05,62,False
2017-01-06,55,False
2017-01-07,47,False
2017-01-08,45,False
2017-01-09,60,False
2017-01-10,61,False
2017-01-11,59,False
2017-01-12,61,False
2017-01-13,57,False
2017-01-14,49,False
2017-01-15,42,False
2017-01-16,51,False
2017-01-17,66,False
2017-01-18,62,False
2017-01-19,67,False
